Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2024,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2024
Buol,67.19,67.8,68.07,71.26,71.75,72.01
Parigi Moutong,62.25,62.75,62.79,66.18,66.58,66.63
Tojo Una-Una,64.13,64.5,64.69,67.94,68.41,68.61
Sigi,68.11,68.43,68.56,72,72.36,72.49
Banggai Laut,63.84,64.18,64.41,67.76,68.08,68.31
Morowali Utara,67.59,68.04,68.14,71.72,71.99,72.08
Kota Palu,69.1,69.51,69.62,73.12,73.49,73.6
SULAWESI SELATAN,69.03,69.28,69.49,72.96,73.24,73.47
Kepulauan Selayar,66.63,67.11,67.33,70.72,71.07,71.29
Bulukumba,66.29,66.91,67.07,70.48,70.87,71.03
Bantaeng,68.72,69.17,69.36,72.82,73.13,73.33
Jeneponto,64.72,65.07,65.23,68.76,69.01,69.18
Takalar,65.47,65.96,66.17,69.6,69.95,70.15
Gowa,68.61,68.96,69.13,72.59,72.91,73.08
Sinjai,65.63,65.97,66.18,69.58,69.96,70.17
Maros,67.16,67.52,67.76,71.3,71.48,71.71
Pangkajene dan Kepulauan,65.02,65.43,65.65,69.05,69.39,69.62
Barru,67.26,67.62,67.81,71.31,71.57,71.75
Bone,65.35,65.91,66.16,69.51,69.9,70.14
Soppeng,68.27,68.58,68.86,71.99,72.51,72.81
Wajo,65.68,66.16,66.38,69.76,70.15,70.36
Sidenreng Rappang,68.28,68.82,69.1,72.34,72.76,73.05
Pinrang,68.08,68.57,68.73,71.94,72.5,72.67
Enrekang,69.11,69.41,69.57,73.06,73.38,73.54
Luwu,68.68,69.07,69.3,72.65,73.02,73.26
Tana Toraja,71.77,72.23,72.44,75.54,75.95,76.77
Luwu Utara,66.89,67.43,67.74,71,71.39,71.69
Luwu Timur,68.86,69.26,69.49,72.9,73.22,73.46
Toraja Utara,71.64,72.06,72.3,75.47,75.8,76.46
Kota Makasar,70.4,70.63,70.82,74.27,74.66,74.85
Kota Parepare,69.55,69.83,70.03,73.44,73.82,74.03
Kota Palopo,69.15,69.46,69.65,73.06,73.43,73.63
SULAWESI TENGGARA,69.44,69.54,69.66,73.47,73.51,73.64
Buton,66.27,66.39,66.73,70.67,70.69,70.7
Muna,68.27,68.44,68.75,72.6,72.7,72.75
Konawe,68.23,68.32,68.6,72.48,72.58,72.63
Kolaka,69.22,69.33,69.62,73.54,73.56,73.59
Konawe Selatan,68.83,68.91,69.17,73.1,73.16,73.23
Bombana,67.02,67.19,67.56,71.42,71.47,71.52
Wakatobi,68.43,68.61,68.95,72.75,72.86,72.89
Kolaka Utara,68.37,68.56,68.64,72.51,72.61,72.71
Buton Utara,68.86,68.91,69.16,73.07,73.16,73.24
Konawe Utara,67.32,67.53,67.85,71.74,71.81,71.89
Kolaka Timur,70.82,70.96,71.09,75.09,75.16,75.28
Konawe Kepulauan,66.31,66.34,66.66,70.61,70.64,70.69
Muna Barat,68.25,68.34,68.63,72.48,72.6,72.64
Buton Tengah,65.62,65.7,66.08,69.82,70.02,70.07
Buton Selatan,65.59,65.66,66.02,69.79,69.98,70.01
Kota Kendari,71.91,72.04,72.38,76,76.22,76.77
Kota Baubau,69.2,69.41,69.73,73.53,73.65,73.71
GORONTALO,66.56,66.9,67.16,70.53,70.87,71.12
Boalemo,67.66,67.99,68.19,71.57,71.94,72.13
Gorontalo,65.63,66.15,67.16,69.88,70.14,71.12
Pohuwato,62.69,63.07,63.31,66.51,66.92,67.16
Bone Bolango,66.56,67.31,67.56,70.83,71.27,71.52
Gorontalo Utara,64.3,64.76,65.03,68.17,68.68,68.97
Kota Gorontalo,70.94,71.17,71.36,74.74,75.43,75.85
SULAWESI BARAT,63.74,64.11,64.37,67.6,68,68.27
Majene,60.22,60.73,61.05,63.94,64.48,64.82
Polewali Mandar,60.89,61.35,61.61,64.72,65.13,65.4
Mamasa,69.25,69.52,69.64,73.12,73.49,73.62
Mamuju,66.13,66.73,67.09,70.17,70.7,71.05
Mamuju Utara / Pasangkayu,64.92,65.4,65.72,68.73,69.36,69.69
Mamuju Tengah,66.88,67.44,67.76,70.94,71.4,71.7
MALUKU,64.53,64.87,65.05,68.43,68.8,68.96
Maluku Tenggara Barat / Kepulauan Tanimbar,61.73,62.13,62.25,65.59,65.94,66.06
Maluku Tenggara,63.43,63.89,64.12,67.33,67.76,68.01
Maluku Tengah,64.65,65.11,65.33,68.62,69.05,69.29
Buru,64.65,65.1,65.28,68.6,69.04,69.23
Kepulauan Aru,61.27,61.72,61.9,65.12,65.52,65.71
Seram Bagian Barat,60.18,60.78,61.06,64.06,64.54,64.83
Seram Bagian Timur,58.06,58.68,59,61.8,62.34,62.68
Maluku Barat Daya,60.98,61.54,61.85,64.84,65.33,65.65
Buru Selatan,64.65,65.04,65.22,68.63,68.98,69.17
Kota Ambon,68.97,69.43,69.68,72.91,73.4,73.66
Kota Tual,64.14,64.74,65.09,68.05,68.66,69.03
MALUKU UTARA,66.84,67.17,67.28,70.79,71.14,71.36
Halmahera Barat,64.63,64.99,65.2,68.54,68.93,69.15
Halmahera Tengah,62.5,63.18,63.47,66.48,67.03,67.32
Kepulauan Sula,61.68,62.09,62.35,65.55,65.89,66.17
Halmahera Selatan,64.22,64.59,64.79,68.09,68.5,68.72
Halmahera Utara,67.82,68.19,68.43,71.84,72.13,72.36
Halmahera Timur,67.51,67.97,68.12,71.44,71.92,72.06
Pulau Morotai,65.65,66.16,66.44,69.66,70.15,70.42
Pulau Taliabu,60.56,60.95,61.21,64.37,64.72,64.98
Kota Ternate,69.35,69.76,70.03,73.28,73.74,74.02
Kota Tidore Kepulauan,67.74,68.18,68.3,71.65,72.12,72.24
PAPUA BARAT,64.54,64.88,65.13,68.44,68.81,69.07
Fakfak,66.74,67.08,67.09,70.72,71.05,71.13
Kaimana,63.28,63.74,63.96,67.23,67.61,67.83
Teluk Wondama,58.68,59.07,59.26,62.44,62.75,62.95
Teluk Bintuni,59.48,59.95,60.14,63.28,63.67,63.89
Manokwari,67.15,67.62,67.66,71.21,71.57,71.74
Sorong Selatan,64.68,65.09,-,68.7,69.03,-
Sorong,64.55,64.98,-,68.57,68.91,-
Raja Ampat,63.11,63.53,-,67.1,67.39,-
Tambrauw,58.82,59.34,-,62.5,63.03,-
Maybrat,63.46,63.92,-,67.54,67.8,-
Manokwari Selatan,65.83,66.14,66.28,69.77,70.13,70.29
Pegunungan Arfak,65.49,65.77,65.87,69.46,69.74,69.81
Kota Sorong,69.37,69.97,-,73.42,73.96,-
PAPUA BARAT DAYA,-,-,65.88,-,-,69.82
Raja Ampat,-,-,63.68,-,-,67.54
Sorong,-,-,65.18,-,-,69.09
Sorong Selatan,-,-,65.2,-,-,69.11
Maybrat,-,-,64.07,-,-,67.95
Tambrauw,-,-,59.51,-,-,63.22
Kota Sorong,-,-,70.16,-,-,74.19
PAPUA,64.34,64.53,66.76,68.16,68.45,70.79
Merauke,65.57,65.66,-,69.23,69.63,-
Jayawijaya,58.47,58.71,-,62.01,62.38,-
Jayapura,64.98,65.84,66.12,69.46,69.82,70.11
Nabire,66.05,66.79,-,70.41,70.76,-
Kepulauan Yapen,67.09,67.71,67.89,71.39,71.66,71.77
Biak Numfor,66.23,66.81,66.92,70.53,70.78,70.96
Paniai,64.46,65.3,-,68.9,69.25,-
Puncak Jaya,63.76,64.01,-,67.59,67.89,-
Mimika,70.69,70.86,-,74.51,74.9,-
Boven Digoel,58.97,59.17,-,62.56,62.86,-
Mappi,63.75,64.01,-,67.56,67.89,-
Asmat,57.15,57.44,-,60.66,61.03,-
Yahukimo,64.33,64.51,-,68.28,68.42,-
Pegunungan Bintang,62.48,63.11,-,66.73,66.96,-
Tolikara,64.13,64.42,-,67.99,68.33,-
Sarmi,64.79,65.14,65.42,68.69,69.09,69.35
Keerom,64.86,65.31,65.48,69.03,69.26,69.41
Waropen,64.7,65,65.17,68.64,68.94,69.08
Supiori,64.39,64.75,64.99,68.33,68.67,68.91
Mamberamo Raya,56.6,56.81,56.94,60.04,60.37,60.51
Nduga,53.86,54.08,-,57.36,57.45,-
Lanny Jaya,64.18,64.6,-,68.28,68.51,-
Mamberamo Tengah,62.14,62.28,-,65.95,66.09,-
Yalimo,63.56,64.05,-,67.68,67.94,-
Puncak,64.51,64.57,-,68.07,68.4,-
Dogiyai,64.19,64.48,-,68.07,68.39,-
Intan Jaya,63.89,64.22,-,67.86,68.11,-
Deiyai,63.72,64.04,-,67.61,67.92,-
Kota Jayapura,68.75,69.14,69.42,72.79,73.1,73.33
PAPUA SELATAN,-,-,64.53,-,-,68.42
Merauke,-,-,65.8,-,-,69.74
Boven Digoel,-,-,59.37,-,-,63.08
Mappi,-,-,64.1,-,-,67.98
Asmat,-,-,57.54,-,-,61.16
PAPUA TENGAH,-,-,65.05,-,-,68.97
Mimika,-,-,71.11,-,-,75.15
Dogiyai,-,-,64.58,-,-,68.48
Deiyai,-,-,64.17,-,-,68.05
Nabire,-,-,66.96,-,-,71
Paniai,-,-,65.42,-,-,69.35
Intan Jaya,-,-,64.27,-,-,68.16
Puncak,-,-,64.61,-,-,68.51
Puncak Jaya,-,-,64.14,-,-,68.02
PAPUA PEGUNUNGAN,-,-,62.83,-,-,66.68
Nduga,-,-,54.22,-,-,57.59
Jayawijaya,-,-,58.86,-,-,62.53
Lanny Jaya,-,-,64.7,-,-,68.6
Tolikara,-,-,64.61,-,-,68.51
Mamberamo Tengah,-,-,62.39,-,-,66.21
Yalimo,-,-,64.21,-,-,68.1
Yahukimo,-,-,64.63,-,-,68.52
Pegunungan Bintang,-,-,63.18,-,-,67.04
INDONESIA,69.93,70.17,70.32,73.83,74.18,74.21
