Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2018,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2018
Situbondo,68.8,66.49,66.68,72.68,70.46,70.66
Probolinggo,68.8,64.46,64.69,72.68,68.36,68.6
Pasuruan,68.8,67.87,67.99,72.68,71.81,71.92
Sidoarjo,68.8,71.78,71.89,72.68,75.54,75.66
Mojokerto,68.8,70.11,70.25,72.68,73.97,74.12
Jombang,68.8,69.88,70.05,72.68,73.75,73.92
Nganjuk,68.8,69.1,69.24,72.68,73,73.14
Madiun,68.8,68.75,68.95,72.68,72.67,72.86
Magetan,68.8,70.18,70.33,72.68,74.03,74.17
Ngawi,68.8,69.74,69.92,72.68,73.62,73.81
Bojonegoro,68.8,68.81,69.05,72.68,72.73,72.97
Tuban,68.8,68.78,68.99,72.68,72.7,72.9
Lamongan,68.8,69.88,70.05,72.68,73.75,73.92
Gresik,68.8,70.38,70.48,72.68,74.22,74.32
Bangkalan,68.8,67.79,67.91,72.68,71.73,71.85
Sampang,68.8,65.63,65.75,72.68,69.58,69.7
Pamekasan,68.8,65.03,65.2,72.68,68.95,69.12
Sumenep,68.8,68.69,68.92,72.68,72.62,72.85
Kota Kediri,68.8,71.76,71.88,72.68,75.51,75.61
Kota Blitar,68.8,71.22,71.41,72.68,75.02,75.21
Kota Malang,68.8,70.8,70.97,72.68,74.62,74.77
Kota Probolinggo,68.8,67.84,67.98,72.68,71.78,71.92
Kota Pasuruan,68.8,69.01,69.17,72.68,72.92,73.08
Kota Mojokerto,68.8,70.9,71.06,72.68,74.71,74.86
Kota Madiun,68.8,70.5,70.61,72.68,74.34,74.45
Kota Surabaya,68.8,71.96,72.06,72.68,75.7,75.8
Kota Batu,68.8,70.27,70.39,72.68,74.11,74.22
BANTEN,67.54,67.57,67.72,71.44,71.47,71.62
Pandeglang,67.54,62.08,62.28,71.44,65.88,66.08
Lebak,67.54,64.58,64.77,71.44,68.48,68.69
Tangerang,67.54,67.44,67.58,71.44,71.39,71.53
Serang,67.54,62.06,62.25,71.44,65.87,66.08
Kota Tangerang,67.54,69.38,69.45,71.44,73.27,73.34
Kota Cilegon,67.54,64.32,64.43,71.44,68.21,68.32
Kota Serang,67.54,65.43,65.63,71.44,69.3,69.51
Kota Tangerang Selatan,67.54,70.17,70.27,71.44,74.09,74.19
BALI,69.55,69.58,69.8,73.32,73.35,73.57
Jembrana,69.55,69.71,69.92,73.32,73.58,73.78
Tabanan,69.55,71.07,71.28,73.32,74.88,75.07
Badung,69.55,72.63,72.81,73.32,76.47,76.65
Gianyar,69.55,71.1,71.31,73.32,74.9,75.09
Klungkung,69.55,68.42,68.68,73.32,72.35,72.6
Bangli,69.55,67.81,68.03,73.32,71.75,71.97
Karangasem,69.55,67.82,68.02,73.32,71.76,71.95
Buleleng,69.55,69.13,69.35,73.32,73.03,73.24
Kota Denpasar,69.55,72.26,72.47,73.32,75.98,76.18
NUSA TENGGARA BARAT,63.55,63.57,63.88,67.39,67.42,67.75
Lombok Barat,63.55,63.79,64.16,67.39,67.66,68.05
Lombok Tengah,63.55,63.3,63.6,67.39,67.15,67.47
Lombok Timur,63.55,63.04,63.35,67.39,66.88,67.2
Sumbawa,63.55,64.57,64.88,67.39,68.47,68.79
Dompu,63.55,63.89,64.19,67.39,67.77,68.09
Bima,63.55,63.41,63.71,67.39,67.27,67.58
Sumbawa Barat,63.55,64.96,65.31,67.39,68.88,69.24
Lombok Utara,63.55,64.17,64.49,67.39,68.06,68.4
Kota Mataram,63.55,68.97,69.24,67.39,72.88,73.14
Kota Bima,63.55,67.55,67.81,67.39,71.49,71.74
NUSA TENGGARA TIMUR,64.17,64.2,64.51,67.92,67.96,68.28
Sumba Barat,64.17,64.2,64.57,67.92,68.08,68.47
Sumba Timur,64.17,62.16,62.49,67.92,65.97,66.3
Kupang,64.17,61.54,61.91,67.92,65.33,65.71
Timor Tengah Selatan,64.17,63.66,63.91,67.92,67.52,67.79
Timor Tengah Utara,64.17,64.19,64.44,67.92,68.07,68.34
Belu,64.17,61.47,61.85,67.92,65.26,65.65
Alor,64.17,58.59,58.92,67.92,62.25,62.58
Lembata,64.17,64.19,64.57,67.92,68.08,68.47
Flores Timur,64.17,62.48,62.73,67.92,66.3,66.55
Sikka,64.17,64.3,64.61,67.92,68.19,68.5
Ende,64.17,62.51,62.77,67.92,66.34,66.62
Ngada,64.17,65.38,65.61,67.92,69.27,69.5
Manggarai,64.17,63.85,64.24,67.92,67.72,68.12
Rote Ndao,64.17,61.46,61.85,67.92,65.25,65.65
Manggarai Barat,64.17,64.28,64.62,67.92,68.08,68.48
Sumba Tengah,64.17,65.84,66.06,67.92,69.69,69.91
Sumba Barat Daya,64.17,65.73,65.98,67.92,69.68,69.95
Nagekeo,64.17,64.35,64.63,67.92,68.25,68.5
Manggarai Timur,64.17,65.47,65.69,67.92,69.31,69.53
Sabu Raijua,64.17,57.16,57.68,67.92,60.74,61.28
Malaka,64.17,62.5,62.72,67.92,66.09,66.33
Kota Kupang,64.17,66.54,66.86,67.92,70.51,70.83
KALIMANTAN BARAT,67.99,68,68.26,71.89,71.9,72.16
Sambas,67.99,66.13,66.44,71.89,70.1,70.43
Bengkayang,67.99,71.08,71.32,71.89,74.95,75.19
Landak,67.99,70.14,70.36,71.89,73.99,74.21
Mempawah,67.99,68.35,68.57,71.89,72.23,72.45
Sanggau,67.99,68.73,69.03,71.89,72.65,72.95
Ketapang,67.99,68.55,68.72,71.89,72.43,72.6
Sintang,67.99,69.1,69.27,71.89,73,73.18
Kapuas Hulu,67.99,69.96,70.12,71.89,73.86,74.03
Sekadau,67.99,68.97,69.23,71.89,72.88,73.14
Melawi,67.99,70.42,70.6,71.89,74.3,74.47
Kayong Utara,67.99,65.53,65.78,71.89,69.37,69.62
Kubu Raya,67.99,67.81,68.05,71.89,71.71,71.95
Kota Pontianak,67.99,70.18,70.42,71.89,74.03,74.26
Kota Singkawang,67.99,69.12,69.4,71.89,73.02,73.29
KALIMANTAN TENGAH,67.68,67.69,67.74,71.49,71.5,71.55
Kotawaringin Barat,67.68,68.31,68.4,71.49,72.25,72.34
Kotawaringin Timur,67.68,67.67,67.72,71.49,71.61,71.66
Kapuas,67.68,66.55,66.59,71.49,70.51,70.57
Barito Selatan,67.68,64.76,64.86,71.49,68.68,68.8
Barito Utara,67.68,69.25,69.26,71.49,73.15,73.17
Sukamara,67.68,69.41,69.45,71.49,73.3,73.34
Lamandau,67.68,67.25,67.28,71.49,71.2,71.23
Seruyan,67.68,67.29,67.3,71.49,71.06,71.08
Katingan,67.68,63.55,63.64,71.49,67.4,67.49
Pulang Pisau,67.68,65.82,65.87,71.49,69.78,69.85
Gunung Mas,67.68,68.13,68.23,71.49,72.06,72.15
Barito Timur,67.68,65.93,66.02,71.49,69.89,69.98
Murung Raya,67.68,67.36,67.4,71.49,71.31,71.35
Kota Palangka Raya,67.68,71.17,71.21,71.49,74.97,75
KALIMANTAN SELATAN,65.92,65.98,66.16,69.84,69.95,70.19
Tanah Laut,65.92,66.86,67.06,69.84,70.81,71
Kotabaru,65.92,66.68,66.85,69.84,70.64,70.81
Banjar,65.92,64.38,64.65,69.84,68.27,68.55
Barito Kuala,65.92,63.35,63.61,69.84,67.2,67.47
Tapin,65.92,67.74,67.95,69.84,71.68,71.88
Hulu Sungai Selatan,65.92,63.41,63.61,69.84,67.26,67.46
Hulu Sungai Tengah,65.92,63.32,63.55,69.84,67.17,67.41
Hulu Sungai Utara,65.92,61,61.29,69.84,64.77,65.07
Tabalong,65.92,67.93,68.1,69.84,71.87,72.04
Tanah Bumbu,65.92,67.41,67.69,69.84,71.36,71.68
Balangan,65.92,65.17,65.35,69.84,69.1,69.28
Kota Banjarmasin,65.92,68.52,68.72,69.84,72.45,72.65
Kota Banjar Baru,65.92,69.5,69.67,69.84,73.38,73.54
KALIMANTAN TIMUR,71.85,71.87,72.13,75.59,75.61,75.87
Paser,71.85,70.07,70.31,75.59,73.92,74.15
Kutai Barat,71.85,70.39,70.59,75.59,74.23,74.42
Kutai Kartanegara,71.85,69.68,69.93,75.59,73.56,73.81
Kutai Timur,71.85,70.54,70.79,75.59,74.37,74.62
Berau,71.85,69.44,69.68,75.59,73.32,73.55
Penajam Paser Utara,71.85,69.3,69.53,75.59,73.08,73.31
Mahakam Ulu,71.85,69.24,69.55,75.59,73.14,73.45
Kota Balikpapan,71.85,72.05,72.26,75.59,75.88,76.09
Kota Samarinda,71.85,71.78,72,75.59,75.68,75.9
Kota Bontang,71.85,71.79,72.02,75.59,75.66,75.88
KALIMANTAN UTARA,70.49,70.5,70.52,74.3,74.34,74.37
Malinau,70.49,71.17,71.18,74.3,71.61,71.62
Bulungan,70.49,71.42,71.48,74.3,73.53,73.55
Tana Tidung,70.49,70.57,70.59,74.3,71.41,71.43
Nunukan,70.49,70.47,70.49,74.3,72.12,72.14
Kota Tarakan,70.49,73.26,73.28,74.3,74.35,74.39
SULAWESI UTARA,69.09,69.11,69.33,72.99,73.01,73.23
Bolaang Mongondow,69.09,66.58,66.83,72.99,70.54,70.79
Minahasa,69.09,68.44,68.65,72.99,72.37,72.58
Kepulauan Sangihe,69.09,67.32,67.57,72.99,71.27,71.52
Kepulauan Talaud,69.09,67.45,67.68,72.99,71.4,71.63
Minahasa Selatan,69.09,67.21,67.45,72.99,71.16,71.39
Minahasa Utara,69.09,68.84,69.01,72.99,72.76,72.94
Bolaang Mongondow Utara,69.09,64.96,65.18,72.99,68.88,69.12
Siau Tagulandang Biaro,69.09,67.82,68.11,72.99,71.76,72.05
Minahasa Tenggara,69.09,67.55,67.74,72.99,71.5,71.7
Bolaang Mongondow Selatan,69.09,62.13,62.29,72.99,65.88,66.04
