units,dropouts,learning_rate,f1_pos_label_1,f1_weighted,f1_macro
"[128, 32]","[0.2, 0.3]",0.001,0.9859956132791247,0.9761063073885857,0.9521081185836513
"[128, 16]","[0.3, 0.3]",0.01,0.985997890787469,0.9760798859093485,0.952013319442095
"[128, 16]","[0.3, 0.5]",0.001,0.9862874672094478,0.9762687085700629,0.951956820242888
"[128, 64]","[0.3, 0.2]",0.005,0.9862949300052413,0.9762404263634344,0.9518412025398946
"[64, 32]","[0.5, 0.3]",0.01,0.9860155296133302,0.9760194266800782,0.9517634822835292
"[128, 64]","[0.3, 0.2]",0.001,0.9862986448559452,0.9762137956614917,0.9517406130280516
"[128, 32]","[0.2, 0.5]",0.001,0.9863011405112544,0.9762074420528603,0.9517172270981461
"[128, 64]","[0.3, 0.3]",0.001,0.9860225733658083,0.9759856260456238,0.9516317393317321
"[128, 32]","[0.5, 0.5]",0.01,0.9860259385845898,0.9759789815724274,0.9515979634630005
"[64, 16]","[0.5, 0.5]",0.01,0.9863117629862259,0.9761614529595634,0.951532201807532
"[128, 32]","[0.3, 0.3]",0.005,0.9860331858069383,0.9759377775501509,0.9514410078896302
[128],[0.3],0.01,0.9860322850938105,0.9759273109693177,0.9514053253805326
"[128, 32]","[0.2, 0.2]",0.005,0.9857656926406927,0.9756634412720745,0.95114992642274
[128],[0.5],0.01,0.9860557041401408,0.9758459894524555,0.9510697321299695
"[128, 16]","[0.2, 0.5]",0.005,0.9857715985036325,0.9756403251680226,0.9510538416658934
"[64, 32]","[0.2, 0.5]",0.01,0.9854946546185998,0.9754043645914425,0.9509171827941673
"[64, 16]","[0.5, 0.2]",0.005,0.9857799088742866,0.9756015656861989,0.9509007446005496
"[128, 16]","[0.2, 0.2]",0.001,0.9855268584244047,0.9752697996934759,0.9503798102505958
"[128, 64]","[0.2, 0.2]",0.001,0.9858175090883469,0.9754454333028825,0.9502756373420906
[128],[0.3],0.005,0.9855339428526126,0.9752443821978508,0.9502740037751107
[64],[0.5],0.01,0.9855347234138382,0.9752354462242862,0.9502409267606886
"[64, 32]","[0.2, 0.5]",0.005,0.9858247759572828,0.975406248018527,0.9501249191403777
"[128, 32]","[0.3, 0.3]",0.01,0.9855441111749886,0.9751880715027537,0.9500579812873711
"[128, 32]","[0.5, 0.2]",0.001,0.9855456660528649,0.9751839247956723,0.9500416194927338
[64],[0.3],0.01,0.9855493903413522,0.975179492798956,0.9500130989015378
"[128, 16]","[0.2, 0.5]",0.01,0.9855497000392553,0.9751759145594638,0.9500009084697916
