Kabupaten/Kota,Tahun,Indeks Pembangunan Manusia
Bolaang Mongondow,2024,70.29
Bolaang Mongondow Selatan,2018,64.49
Bolaang Mongondow Selatan,2019,65.28
Bolaang Mongondow Selatan,2020,65.0
Bolaang Mongondow Selatan,2021,65.42
Bolaang Mongondow Selatan,2022,65.9
Bolaang Mongondow Selatan,2023,66.4
Bolaang Mongondow Selatan,2024,67.14
Bolaang Mongondow Timur,2018,65.21
Bolaang Mongondow Timur,2019,66.08
Bolaang Mongondow Timur,2020,65.99
Bolaang Mongondow Timur,2021,66.55
Bolaang Mongondow Timur,2022,67.21
Bolaang Mongondow Timur,2023,67.95
Bolaang Mongondow Timur,2024,68.53
Bolaang Mongondow Utara,2018,66.32
Bolaang Mongondow Utara,2019,66.91
Bolaang Mongondow Utara,2020,66.99
Bolaang Mongondow Utara,2021,67.39
Bolaang Mongondow Utara,2022,68.06
Bolaang Mongondow Utara,2023,68.64
Bolaang Mongondow Utara,2024,69.32
Bombana,2018,65.04
Bombana,2019,65.65
Bombana,2020,66.05
Bombana,2021,66.25
Bombana,2022,66.81
Bombana,2023,67.43
Bombana,2024,68.15
Bondowoso,2018,65.27
Bondowoso,2019,66.09
Bondowoso,2020,66.43
Bondowoso,2021,66.59
Bondowoso,2022,67.31
Bondowoso,2023,67.99
Bondowoso,2024,68.65
Bone,2018,65.04
Bone,2019,65.67
Bone,2020,66.06
Bone,2021,66.4
Bone,2022,67.01
Bone,2023,67.81
Bone,2024,68.36
Bone Bolango,2018,69.06
Bone Bolango,2019,69.63
Bone Bolango,2020,69.98
Bone Bolango,2021,70.25
Bone Bolango,2022,70.9
Bone Bolango,2023,71.51
Bone Bolango,2024,72.38
Boven Digoel,2018,60.83
Boven Digoel,2019,61.51
Boven Digoel,2020,61.53
Boven Digoel,2021,61.62
Boven Digoel,2022,62.52
Boven Digoel,2023,63.46
Boven Digoel,2024,64.26
Boyolali,2018,73.22
Boyolali,2019,73.8
Boyolali,2020,74.25
Boyolali,2021,74.4
Boyolali,2022,74.97
Boyolali,2023,75.41
Boyolali,2024,75.96
Brebes,2018,65.68
Brebes,2019,66.12
Brebes,2020,66.11
Brebes,2021,66.32
Brebes,2022,67.03
Brebes,2023,67.95
Brebes,2024,68.46
Buleleng,2018,71.7
Buleleng,2019,72.3
Buleleng,2020,72.55
Buleleng,2021,72.56
Buleleng,2022,73.45
Buleleng,2023,73.97
Buleleng,2024,74.52
Bulukumba,2018,67.7
Bulukumba,2019,68.28
Bulukumba,2020,68.99
Bulukumba,2021,69.62
Bulukumba,2022,70.34
Bulukumba,2023,71.21
Bulukumba,2024,71.97
Bulungan,2018,71.23
Bulungan,2019,71.66
Bulungan,2020,71.1
Bulungan,2021,71.8
Bulungan,2022,72.08
Bulungan,2023,72.72
