Kabupaten/Kota,Tahun,Pengeluaran Perkapita Daging
Bolaang Mongondow Timur,2021,3574.51
Bolaang Mongondow Timur,2022,6803.03
Bolaang Mongondow Timur,2023,4537.68
Bolaang Mongondow Timur,2024,3678.0
Bolaang Mongondow Utara,2018,2253.6
Bolaang Mongondow Utara,2019,3316.73
Bolaang Mongondow Utara,2020,2552.9
Bolaang Mongondow Utara,2021,3979.32
Bolaang Mongondow Utara,2022,3656.88
Bolaang Mongondow Utara,2023,2639.09
Bolaang Mongondow Utara,2024,2979.0
Bombana,2018,910.08
Bombana,2019,1372.83
Bombana,2020,1442.27
Bombana,2021,1914.89
Bombana,2022,1907.58
Bombana,2023,1993.96
Bombana,2024,2537.0
Bondowoso,2018,2499.94
Bondowoso,2019,2869.72
Bondowoso,2020,3046.43
Bondowoso,2021,4375.43
Bondowoso,2022,4969.23
Bondowoso,2023,5146.09
Bondowoso,2024,6599.0
Bone,2018,1059.42
Bone,2019,1032.56
Bone,2020,1628.01
Bone,2021,2376.61
Bone,2022,2074.97
Bone,2023,1231.02
Bone,2024,1196.0
Bone Bolango,2018,2769.3
Bone Bolango,2019,2117.56
Bone Bolango,2020,2272.94
Bone Bolango,2021,3404.04
Bone Bolango,2022,3517.96
Bone Bolango,2023,2516.37
Bone Bolango,2024,3905.0
Boven Digoel,2018,7763.79
Boven Digoel,2019,11758.01
Boven Digoel,2020,9999.76
Boven Digoel,2021,11269.08
Boven Digoel,2022,8269.2
Boven Digoel,2023,10892.95
Boven Digoel,2024,18240.0
Boyolali,2018,4048.12
Boyolali,2019,3796.24
Boyolali,2020,3460.6
Boyolali,2021,5057.98
Boyolali,2022,5453.54
Boyolali,2023,5455.34
Boyolali,2024,6197.0
Brebes,2018,3158.55
Brebes,2019,3290.25
Brebes,2020,3216.1
Brebes,2021,4129.16
Brebes,2022,4100.8
Brebes,2023,4875.3
Brebes,2024,4903.0
Buleleng,2018,7129.02
Buleleng,2019,6916.29
Buleleng,2020,9997.36
Buleleng,2021,8403.71
Buleleng,2022,9397.95
Buleleng,2023,6657.71
Buleleng,2024,13306.0
Bulukumba,2018,1843.74
Bulukumba,2019,2061.91
Bulukumba,2020,2361.56
Bulukumba,2021,2964.25
Bulukumba,2022,3436.83
Bulukumba,2023,2306.41
Bulukumba,2024,4000.0
Bulungan,2018,6633.68
Bulungan,2019,8183.65
Bulungan,2020,9017.19
Bulungan,2021,8708.83
Bulungan,2022,8183.3
Bulungan,2023,11470.21
Bulungan,2024,12024.0
Bungo,2018,5234.62
Bungo,2019,5662.37
Bungo,2020,5534.29
Bungo,2021,6412.5
Bungo,2022,7619.03
Bungo,2023,7294.57
Bungo,2024,8164.0
Buol,2018,2026.68
Buol,2019,2554.32
Buol,2020,4249.76
Buol,2021,2442.13
Buol,2022,1889.11
Buol,2023,2096.9
Buol,2024,3540.0
Buru,2018,3100.25
Buru,2019,2632.5
Buru,2020,2151.3
Buru,2021,3150.44
Buru,2022,2991.85
Buru,2023,2416.98
Buru,2024,2651.0
Buru Selatan,2018,1115.17
Buru Selatan,2019,1629.38
Buru Selatan,2020,2058.79
Buru Selatan,2021,3347.17
Buru Selatan,2022,2592.33
Buru Selatan,2023,2406.82
Buru Selatan,2024,1827.0
