Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2020,108.55,Blitar
2021,112.62,Blitar
2022,101.94,Blitar
2023,101.94,Blitar
2024,95.91,Blitar
2018,102.5,Blora
2019,97.86,Blora
2020,103.73,Blora
2021,107.05,Blora
2022,99.83,Blora
2023,99.61,Blora
2024,99.14,Blora
2018,32.83,Boalemo
2019,31.31,Boalemo
2020,31.63,Boalemo
2021,31.83,Boalemo
2022,31.97,Boalemo
2023,31.94,Boalemo
2024,31.53,Boalemo
2018,415.02,Bogor
2019,395.03,Bogor
2020,465.67,Bogor
2021,491.24,Bogor
2022,474.74,Bogor
2023,453.76,Bogor
2024,446.79,Bogor
2018,163.94,Bojonegoro
2019,154.64,Bojonegoro
2020,161.1,Bojonegoro
2021,166.52,Bojonegoro
2022,153.4,Bojonegoro
2023,153.25,Bojonegoro
2024,147.33,Bojonegoro
2018,18.49,Bolaang Mongondow
2019,18.3,Bolaang Mongondow
2020,18.07,Bolaang Mongondow
2021,19.08,Bolaang Mongondow
2022,17.96,Bolaang Mongondow
2023,19.02,Bolaang Mongondow
2024,20.19,Bolaang Mongondow
2018,8.82,Bolaang Mongondow Selatan
2019,8.74,Bolaang Mongondow Selatan
2020,8.53,Bolaang Mongondow Selatan
2021,8.63,Bolaang Mongondow Selatan
2022,8.1,Bolaang Mongondow Selatan
2023,8.28,Bolaang Mongondow Selatan
2024,7.88,Bolaang Mongondow Selatan
2018,4.3,Bolaang Mongondow Timur
2019,4.41,Bolaang Mongondow Timur
2020,4.3,Bolaang Mongondow Timur
2021,4.47,Bolaang Mongondow Timur
2022,4.32,Bolaang Mongondow Timur
2023,4.32,Bolaang Mongondow Timur
2024,4.41,Bolaang Mongondow Timur
2018,6.84,Bolaang Mongondow Utara
2019,6.77,Bolaang Mongondow Utara
2020,6.82,Bolaang Mongondow Utara
2021,6.53,Bolaang Mongondow Utara
2022,6.01,Bolaang Mongondow Utara
2023,6.56,Bolaang Mongondow Utara
2024,6.6,Bolaang Mongondow Utara
2018,19.77,Bombana
2019,19.37,Bombana
2020,18.84,Bombana
2021,19.73,Bombana
2022,19.21,Bombana
2023,20.52,Bombana
2024,20.56,Bombana
2018,110.98,Bondowoso
2019,103.33,Bondowoso
2020,110.24,Bondowoso
2021,115.18,Bondowoso
2022,105.69,Bondowoso
2023,105.13,Bondowoso
2024,99.62,Bondowoso
2018,79.57,Bone
2019,76.25,Bone
2020,81.33,Bone
2021,79.64,Bone
2022,80.34,Bone
2023,80.12,Bone
2024,73.03,Bone
2018,27.61,Bone Bolango
2019,25.91,Bone Bolango
2020,25.72,Bone Bolango
2021,25.76,Bone Bolango
2022,25.47,Bone Bolango
2023,24.72,Bone Bolango
2024,23.67,Bone Bolango
2018,13.7,Boven Digoel
2019,13.54,Boven Digoel
2020,13.86,Boven Digoel
2021,13.88,Boven Digoel
2022,14.2,Boven Digoel
2023,14.25,Boven Digoel
2024,14.05,Boven Digoel
2018,98.23,Boyolali
2019,93.75,Boyolali
2020,100.59,Boyolali
2021,104.82,Boyolali
2022,97.18,Boyolali
2023,97.48,Boyolali
2024,95.96,Boyolali
2018,309.17,Brebes
2019,293.18,Brebes
2020,308.78,Brebes
2021,314.95,Brebes
2022,290.66,Brebes
2023,286.14,Brebes
2024,283.28,Brebes
2018,35.2,Buleleng
2019,34.26,Buleleng
2020,35.25,Buleleng
2021,40.92,Buleleng
2022,41.68,Buleleng
2023,39.52,Buleleng
2024,36.55,Buleleng
2018,31.25,Bulukumba
2019,30.49,Bulukumba
2020,30.0,Bulukumba
2021,31.31,Bulukumba
2022,31.29,Bulukumba
2023,30.65,Bulukumba
2024,28.6,Bulukumba
2018,13.03,Bulungan
2019,12.4,Bulungan
2020,13.08,Bulungan
2021,13.48,Bulungan
2022,12.58,Bulungan
2023,12.19,Bulungan
2024,11.95,Bulungan
2018,21.11,Bungo
2019,20.87,Bungo
2020,22.07,Bungo
2021,23.64,Bungo
2022,20.69,Bungo
2023,20.65,Bungo
2024,20.04,Bungo
2018,25.4,Buol
2019,24.51,Buol
2020,22.93,Buol
2021,23.46,Buol
2022,21.84,Buol
2023,23.13,Buol
2024,23.05,Buol
2018,23.62,Buru
2019,23.89,Buru
2020,24.42,Buru
2021,25.23,Buru
2022,23.6,Buru
2023,25.19,Buru
2024,25.02,Buru
2018,10.12,Buru Selatan
