Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2022,19.78,Kota Tegal
2023,19.22,Kota Tegal
2024,19.17,Kota Tegal
2018,6.76,Kota Ternate
2019,7.25,Kota Ternate
2020,8.18,Kota Ternate
2021,8.45,Kota Ternate
2022,7.54,Kota Ternate
2023,8.36,Kota Ternate
2024,7.88,Kota Ternate
2018,5.95,Kota Tidore Kepulauan
2019,6.17,Kota Tidore Kepulauan
2020,6.66,Kota Tidore Kepulauan
2021,6.64,Kota Tidore Kepulauan
2022,6.08,Kota Tidore Kepulauan
2023,6.48,Kota Tidore Kepulauan
2024,6.72,Kota Tidore Kepulauan
2018,6.25,Kota Tomohon
2019,5.99,Kota Tomohon
2020,6.06,Kota Tomohon
2021,6.18,Kota Tomohon
2022,5.79,Kota Tomohon
2023,6.24,Kota Tomohon
2024,6.07,Kota Tomohon
2018,17.13,Kota Tual
2019,17.03,Kota Tual
2020,17.36,Kota Tual
2021,17.76,Kota Tual
2022,16.01,Kota Tual
2023,16.41,Kota Tual
2024,16.17,Kota Tual
2018,29.75,Kota Yogyakarta
2019,29.45,Kota Yogyakarta
2020,31.62,Kota Yogyakarta
2021,34.07,Kota Yogyakarta
2022,29.68,Kota Yogyakarta
2023,29.48,Kota Yogyakarta
2024,28.79,Kota Yogyakarta
2018,12.9,Kotawaringin Barat
2019,12.76,Kotawaringin Barat
2020,11.46,Kotawaringin Barat
2021,12.29,Kotawaringin Barat
2022,12.44,Kotawaringin Barat
2023,13.44,Kotawaringin Barat
2024,13.43,Kotawaringin Barat
2018,28.2,Kotawaringin Timur
2019,27.38,Kotawaringin Timur
2020,26.64,Kotawaringin Timur
2021,27.06,Kotawaringin Timur
2022,27.56,Kotawaringin Timur
2023,26.57,Kotawaringin Timur
2024,26.69,Kotawaringin Timur
2018,32.1,Kuantan Singingi
2019,31.22,Kuantan Singingi
2020,29.34,Kuantan Singingi
2021,28.9,Kuantan Singingi
2022,26.61,Kuantan Singingi
2023,26.1,Kuantan Singingi
2024,25.56,Kuantan Singingi
2018,28.86,Kubu Raya
2019,27.37,Kubu Raya
2020,25.9,Kubu Raya
2021,25.47,Kubu Raya
2022,24.39,Kubu Raya
2023,25.33,Kubu Raya
2024,24.72,Kubu Raya
2018,59.99,Kudus
2019,58.0,Kudus
2020,64.24,Kudus
2021,67.06,Kudus
2022,66.06,Kudus
2023,65.16,Kudus
2024,65.69,Kudus
2018,77.72,Kulon Progo
2019,74.62,Kulon Progo
2020,78.06,Kulon Progo
2021,81.14,Kulon Progo
2022,73.21,Kulon Progo
2023,70.74,Kulon Progo
2024,71.48,Kulon Progo
2018,131.16,Kuningan
2019,123.16,Kuningan
2020,139.2,Kuningan
2021,143.35,Kuningan
2022,140.25,Kuningan
2023,133.88,Kuningan
2024,131.83,Kuningan
2018,88.67,Kupang
2019,92.02,Kupang
2020,94.94,Kupang
2021,91.25,Kupang
2022,88.02,Kupang
2023,90.23,Kupang
2024,90.34,Kupang
2018,13.49,Kutai Barat
2019,13.45,Kutai Barat
2020,13.78,Kutai Barat
2021,15.38,Kutai Barat
2022,15.38,Kutai Barat
2023,14.69,Kutai Barat
2024,14.49,Kutai Barat
2018,56.56,Kutai Kartanegara
2019,56.34,Kutai Kartanegara
2020,58.42,Kutai Kartanegara
2021,62.36,Kutai Kartanegara
2022,62.87,Kutai Kartanegara
2023,60.86,Kutai Kartanegara
2024,59.0,Kutai Kartanegara
2018,33.02,Kutai Timur
2019,35.31,Kutai Timur
2020,36.98,Kutai Timur
2021,37.78,Kutai Timur
2022,36.84,Kutai Timur
2023,37.04,Kutai Timur
2024,37.11,Kutai Timur
2018,41.7,Labuhan Batu
2019,41.52,Labuhan Batu
2020,42.17,Labuhan Batu
2021,45.03,Labuhan Batu
2022,43.27,Labuhan Batu
2023,42.58,Labuhan Batu
2024,42.45,Labuhan Batu
2018,33.14,Labuhan Batu Selatan
2019,30.17,Labuhan Batu Selatan
2020,28.63,Labuhan Batu Selatan
2021,30.36,Labuhan Batu Selatan
2022,29.38,Labuhan Batu Selatan
2023,29.83,Labuhan Batu Selatan
2024,29.19,Labuhan Batu Selatan
2018,36.45,Labuhan Batu Utara
2019,34.76,Labuhan Batu Utara
2020,34.86,Labuhan Batu Utara
2021,37.13,Labuhan Batu Utara
2022,33.91,Labuhan Batu Utara
2023,34.13,Labuhan Batu Utara
2024,34.0,Labuhan Batu Utara
2018,65.31,Lahat
2019,65.03,Lahat
2020,65.75,Lahat
2021,68.4,Lahat
2022,65.39,Lahat
2023,63.36,Lahat
2024,60.19,Lahat
2018,2.52,Lamandau
2019,2.47,Lamandau
2020,2.61,Lamandau
2021,2.92,Lamandau
2022,2.78,Lamandau
2023,2.63,Lamandau
2024,2.79,Lamandau
2018,164.0,Lamongan
2019,157.11,Lamongan
2020,164.68,Lamongan
2021,166.82,Lamongan
2022,151.08,Lamongan
2023,149.94,Lamongan
2024,146.98,Lamongan
2018,40.62,Lampung Barat
2019,39.05,Lampung Barat
2020,38.12,Lampung Barat
2021,39.36,Lampung Barat
2022,36.2,Lampung Barat
2023,34.73,Lampung Barat
2024,33.43,Lampung Barat
2018,148.54,Lampung Selatan
2019,144.44,Lampung Selatan
2020,143.33,Lampung Selatan
2021,145.85,Lampung Selatan
2022,136.21,Lampung Selatan
2023,133.67,Lampung Selatan
2024,132.38,Lampung Selatan
2018,160.12,Lampung Tengah
2019,153.84,Lampung Tengah
2020,152.28,Lampung Tengah
2021,155.77,Lampung Tengah
2022,143.34,Lampung Tengah
2023,140.29,Lampung Tengah
2024,137.41,Lampung Tengah
2018,162.94,Lampung Timur
2019,158.9,Lampung Timur
2020,153.57,Lampung Timur
2021,159.79,Lampung Timur
2022,149.12,Lampung Timur
2023,148.26,Lampung Timur
2024,142.7,Lampung Timur
2018,128.02,Lampung Utara
2019,122.65,Lampung Utara
2020,119.35,Lampung Utara
2021,121.91,Lampung Utara
2022,114.67,Lampung Utara
2023,107.21,Lampung Utara
2024,105.91,Lampung Utara
2018,43.73,Landak
2019,43.16,Landak
2020,42.36,Landak
2021,42.01,Landak
2022,38.65,Landak
2023,38.92,Landak
2024,35.38,Landak
2018,105.46,Langkat
2019,103.08,Langkat
2020,101.87,Langkat
2021,106.59,Langkat
2022,100.45,Langkat
2023,98.16,Langkat
2024,96.54,Langkat
2018,71.08,Lanny Jaya
2019,70.6,Lanny Jaya
2020,68.62,Lanny Jaya
2021,76.75,Lanny Jaya
2022,76.46,Lanny Jaya
2023,76.43,Lanny Jaya
2024,72.1,Lanny Jaya
2018,108.82,Lebak
2019,107.93,Lebak
2020,120.83,Lebak
2021,134.75,Lebak
2022,117.22,Lebak
2023,114.54,Lebak
2024,111.71,Lebak
2018,13.25,Lebong
2019,13.67,Lebong
2020,13.97,Lebong
2021,13.97,Lebong
2022,14.14,Lebong
2023,13.23,Lebong
2024,12.51,Lebong
2018,36.95,Lembata
2019,37.46,Lembata
2020,37.92,Lembata
2021,38.75,Lembata
2022,37.88,Lembata
2023,37.94,Lembata
2024,37.72,Lembata
2018,26.47,Lima Puluh Kota
2019,26.64,Lima Puluh Kota
2020,26.43,Lima Puluh Kota
2021,28.51,Lima Puluh Kota
2022,26.0,Lima Puluh Kota
2023,27.02,Lima Puluh Kota
2024,27.72,Lima Puluh Kota
2018,12.13,Lingga
2019,11.56,Lingga
2020,12.45,Lingga
2021,12.58,Lingga
2022,12.7,Lingga
2023,10.18,Lingga
2024,9.02,Lingga
2018,103.77,Lombok Barat
2019,105.04,Lombok Barat
2020,100.25,Lombok Barat
2021,105.24,Lombok Barat
2022,99.01,Lombok Barat
2023,102.71,Lombok Barat
2024,96.57,Lombok Barat
2018,130.0,Lombok Tengah
2019,128.82,Lombok Tengah
2020,128.1,Lombok Tengah
2021,131.94,Lombok Tengah
2022,128.0,Lombok Tengah
2023,129.74,Lombok Tengah
2024,122.32,Lombok Tengah
2018,196.87,Lombok Timur
2019,193.56,Lombok Timur
2020,183.84,Lombok Timur
2021,190.84,Lombok Timur
2022,189.64,Lombok Timur
2023,197.63,Lombok Timur
2024,185.03,Lombok Timur
2018,62.86,Lombok Utara
2019,63.84,Lombok Utara
2020,59.86,Lombok Utara
2021,61.7,Lombok Utara
2022,59.82,Lombok Utara
2023,60.13,Lombok Utara
2024,56.43,Lombok Utara
2018,103.69,Lumajang
2019,98.88,Lumajang
2020,102.6,Lumajang
2021,105.25,Lumajang
2022,95.04,Lumajang
2023,93.82,Lumajang
2024,91.05,Lumajang
2018,47.91,Luwu
2019,46.18,Luwu
2020,46.04,Luwu
2021,46.26,Luwu
2022,46.5,Luwu
2023,47.67,Luwu
2024,44.24,Luwu
2018,21.15,Luwu Timur
2019,20.83,Luwu Timur
2020,20.82,Luwu Timur
2021,20.99,Luwu Timur
2022,20.89,Luwu Timur
2023,21.57,Luwu Timur
2024,20.7,Luwu Timur
2018,42.43,Luwu Utara
2019,42.48,Luwu Utara
2020,42.2,Luwu Utara
2021,43.15,Luwu Utara
2022,42.29,Luwu Utara
2023,40.79,Luwu Utara
2024,36.46,Luwu Utara
2018,77.75,Madiun
2019,71.91,Madiun
2020,78.3,Madiun
2021,81.61,Madiun
2022,74.07,Madiun
2023,75.87,Madiun
2024,73.15,Madiun
2018,143.44,Magelang
2019,137.45,Magelang
2020,146.34,Magelang
2021,154.91,Magelang
2022,145.33,Magelang
2023,144.49,Magelang
2024,143.8,Magelang
2018,64.86,Magetan
2019,60.43,Magetan
2020,65.09,Magetan
2021,67.75,Magetan
2022,62.65,Magetan
2023,62.49,Magetan
2024,59.51,Magetan
2018,3.25,Mahakam Hulu
2019,3.19,Mahakam Hulu
2020,3.26,Mahakam Hulu
2021,3.18,Mahakam Hulu
2022,3.1,Mahakam Hulu
2023,3.06,Mahakam Hulu
2024,2.9,Mahakam Hulu
2018,129.29,Majalengka
2019,121.06,Majalengka
2020,138.21,Majalengka
2021,151.14,Majalengka
2022,147.12,Majalengka
2023,138.74,Majalengka
2024,134.58,Majalengka
2018,23.53,Majene
2019,23.76,Majene
2020,24.12,Majene
2021,25.01,Majene
2022,26.62,Majene
2023,25.8,Majene
2024,24.41,Majene
2018,30.79,Malaka
2019,30.83,Malaka
2020,31.12,Malaka
2021,32.17,Malaka
2022,30.48,Malaka
2023,29.19,Malaka
2024,28.54,Malaka
2018,268.49,Malang
2019,246.6,Malang
2020,265.56,Malang
2021,276.58,Malang
2022,252.88,Malang
2023,251.36,Malang
2024,240.14,Malang
2018,6.63,Malinau
2019,6.23,Malinau
2020,6.16,Malinau
2021,6.39,Malinau
2022,5.93,Malinau
2023,5.95,Malinau
2024,6.45,Malinau
2018,21.98,Maluku Barat Daya
2019,21.49,Maluku Barat Daya
2020,21.37,Maluku Barat Daya
2021,21.74,Maluku Barat Daya
2022,20.36,Maluku Barat Daya
2023,21.23,Maluku Barat Daya
2024,20.63,Maluku Barat Daya
2018,74.85,Maluku Tengah
2019,74.8,Maluku Tengah
2020,74.18,Maluku Tengah
2021,74.59,Maluku Tengah
2022,65.73,Maluku Tengah
2023,67.22,Maluku Tengah
2024,66.65,Maluku Tengah
2018,23.16,Maluku Tenggara
2019,22.69,Maluku Tenggara
2020,22.59,Maluku Tenggara
2021,22.89,Maluku Tenggara
2022,21.38,Maluku Tenggara
2023,22.02,Maluku Tenggara
2024,21.47,Maluku Tenggara
2018,31.53,Maluku Tenggara Barat
2019,30.76,Maluku Tenggara Barat
2020,30.74,Maluku Tenggara Barat
2021,30.7,Maluku Tenggara Barat
2022,26.94,Maluku Tenggara Barat
2023,27.64,Maluku Tenggara Barat
2024,26.76,Maluku Tenggara Barat
2018,21.22,Mamasa
2019,21.64,Mamasa
2020,21.86,Mamasa
2021,22.29,Mamasa
2022,23.7,Mamasa
2023,23.58,Mamasa
2024,23.61,Mamasa
2018,6.94,Mamberamo Raya
2019,6.96,Mamberamo Raya
2020,6.98,Mamberamo Raya
2021,7.04,Mamberamo Raya
2022,7.68,Mamberamo Raya
2023,7.56,Mamberamo Raya
2024,7.89,Mamberamo Raya
2018,17.75,Mamberamo Tengah
2019,17.79,Mamberamo Tengah
2020,17.72,Mamberamo Tengah
2021,19.66,Mamberamo Tengah
2022,19.66,Mamberamo Tengah
2023,19.83,Mamberamo Tengah
2024,20.2,Mamberamo Tengah
2018,20.42,Mamuju
2019,20.57,Mamuju
2020,20.65,Mamuju
2021,22.3,Mamuju
2022,23.26,Mamuju
2023,23.5,Mamuju
2024,22.64,Mamuju
2018,9.28,Mamuju Tengah
2019,9.16,Mamuju Tengah
2020,9.25,Mamuju Tengah
2021,9.74,Mamuju Tengah
2022,9.98,Mamuju Tengah
2023,10.39,Mamuju Tengah
2024,11.16,Mamuju Tengah
2018,7.65,Mamuju Utara
2019,7.42,Mamuju Utara
2020,7.95,Mamuju Utara
2021,8.53,Mamuju Utara
2022,9.3,Mamuju Utara
2023,8.94,Mamuju Utara
2024,9.95,Mamuju Utara
2018,42.39,Mandailing Natal
2019,40.64,Mandailing Natal
2020,41.31,Mandailing Natal
2021,43.24,Mandailing Natal
2022,40.98,Mandailing Natal
2023,41.04,Mandailing Natal
2024,40.56,Mandailing Natal
2018,69.32,Manggarai
2019,69.33,Manggarai
2020,69.52,Manggarai
2021,71.03,Manggarai
2022,69.68,Manggarai
2023,70.0,Manggarai
2024,68.39,Manggarai
2018,48.53,Manggarai Barat
2019,49.23,Manggarai Barat
2020,49.4,Manggarai Barat
2021,51.15,Manggarai Barat
2022,49.95,Manggarai Barat
2023,49.95,Manggarai Barat
2024,50.68,Manggarai Barat
2018,74.88,Manggarai Timur
2019,75.83,Manggarai Timur
2020,76.69,Manggarai Timur
2021,77.17,Manggarai Timur
2022,74.55,Manggarai Timur
2023,74.4,Manggarai Timur
2024,74.59,Manggarai Timur
2018,37.73,Manokwari
2019,36.67,Manokwari
2020,35.92,Manokwari
2021,35.63,Manokwari
2022,34.96,Manokwari
2023,33.35,Manokwari
2024,33.29,Manokwari
2018,7.24,Manokwari Selatan
2019,7.21,Manokwari Selatan
2020,7.09,Manokwari Selatan
2021,7.65,Manokwari Selatan
2022,7.68,Manokwari Selatan
2023,7.69,Manokwari Selatan
2024,7.64,Manokwari Selatan
2018,25.21,Mappi
2019,26.1,Mappi
2020,26.91,Mappi
2021,26.36,Mappi
2022,26.76,Mappi
2023,26.82,Mappi
2024,27.18,Mappi
2018,35.97,Maros
2019,34.85,Maros
2020,34.62,Maros
2021,34.11,Maros
2022,33.9,Maros
2023,34.96,Maros
2024,34.0,Maros
2018,13.12,Maybrat
2019,13.11,Maybrat
2020,12.8,Maybrat
2021,13.48,Maybrat
2022,13.66,Maybrat
2023,13.57,Maybrat
2024,13.35,Maybrat
2018,26.24,Melawi
2019,25.71,Melawi
2020,25.34,Melawi
2021,25.47,Melawi
2022,24.57,Melawi
2023,24.18,Melawi
2024,23.36,Melawi
2018,33.95,Merangin
2019,32.88,Merangin
2020,33.92,Merangin
2021,35.44,Merangin
2022,34.14,Merangin
2023,35.19,Merangin
2024,33.49,Merangin
2018,23.72,Merauke
2019,23.49,Merauke
2020,22.89,Merauke
2021,23.83,Merauke
2022,23.96,Merauke
2023,24.03,Merauke
2024,24.72,Merauke
2018,15.01,Mesuji
2019,14.94,Mesuji
2020,14.72,Mesuji
2021,15.24,Mesuji
2022,13.88,Mesuji
2023,13.71,Mesuji
2024,12.91,Mesuji
2018,31.18,Mimika
2019,31.79,Mimika
2020,31.75,Mimika
2021,30.95,Mimika
2022,31.58,Mimika
2023,30.31,Mimika
2024,32.09,Mimika
2018,24.49,Minahasa
2019,24.32,Minahasa
2020,24.95,Minahasa
2021,26.3,Minahasa
2022,24.34,Minahasa
2023,23.86,Minahasa
2024,22.78,Minahasa
2018,19.54,Minahasa Selatan
2019,19.49,Minahasa Selatan
2020,19.38,Minahasa Selatan
2021,19.77,Minahasa Selatan
2022,19.07,Minahasa Selatan
2023,18.9,Minahasa Selatan
2024,19.13,Minahasa Selatan
2018,14.73,Minahasa Tenggara
2019,14.22,Minahasa Tenggara
2020,13.73,Minahasa Tenggara
2021,13.31,Minahasa Tenggara
2022,12.61,Minahasa Tenggara
2023,12.7,Minahasa Tenggara
2024,12.59,Minahasa Tenggara
2018,14.13,Minahasa Utara
2019,14.09,Minahasa Utara
2020,14.33,Minahasa Utara
2021,14.49,Minahasa Utara
2022,13.5,Minahasa Utara
2023,13.66,Minahasa Utara
2024,14.32,Minahasa Utara
2018,111.55,Mojokerto
2019,108.81,Mojokerto
2020,118.8,Mojokerto
2021,120.54,Mojokerto
2022,111.03,Mojokerto
2023,112.86,Mojokerto
2024,108.72,Mojokerto
2018,17.03,Morowali
2019,16.61,Morowali
2020,16.5,Morowali
2021,17.07,Morowali
2022,15.86,Morowali
2023,15.75,Morowali
2024,14.99,Morowali
2018,19.4,Morowali Utara
2019,19.25,Morowali Utara
2020,18.38,Morowali Utara
2021,18.4,Morowali Utara
2022,17.49,Morowali Utara
2023,17.66,Morowali Utara
2024,16.74,Morowali Utara
2018,78.58,Muara Enim
2019,78.75,Muara Enim
2020,79.27,Muara Enim
2021,80.4,Muara Enim
2022,73.53,Muara Enim
2023,73.24,Muara Enim
2024,66.42,Muara Enim
2018,17.38,Muaro Jambi
2019,16.86,Muaro Jambi
2020,17.3,Muaro Jambi
2021,20.49,Muaro Jambi
2022,20.64,Muaro Jambi
2023,20.83,Muaro Jambi
2024,17.48,Muaro Jambi
2018,21.5,Mukomuko
2019,22.56,Mukomuko
2020,23.1,Mukomuko
2021,22.5,Mukomuko
2022,21.81,Mukomuko
2023,20.7,Mukomuko
2024,20.88,Mukomuko
2018,29.12,Muna
2019,28.47,Muna
2020,28.73,Muna
2021,30.54,Muna
2022,30.48,Muna
2023,32.24,Muna
2024,31.82,Muna
2018,11.39,Muna Barat
2019,11.52,Muna Barat
2020,11.32,Muna Barat
2021,11.55,Muna Barat
2022,11.56,Muna Barat
2023,11.81,Muna Barat
2024,11.36,Muna Barat
2018,7.39,Murung Raya
2019,7.21,Murung Raya
2020,7.18,Murung Raya
2021,7.31,Murung Raya
2022,7.69,Murung Raya
2023,7.81,Murung Raya
2024,8.05,Murung Raya
2018,105.15,Musi Banyuasin
2019,105.83,Musi Banyuasin
2020,105.38,Musi Banyuasin
2021,105.23,Musi Banyuasin
2022,102.24,Musi Banyuasin
2023,101.63,Musi Banyuasin
2024,88.94,Musi Banyuasin
2018,54.75,Musi Rawas
2019,53.82,Musi Rawas
2020,54.95,Musi Rawas
2021,57.46,Musi Rawas
2022,55.8,Musi Rawas
2023,59.75,Musi Rawas
2024,57.44,Musi Rawas
2018,36.19,Musi Rawas Utara
2019,36.63,Musi Rawas Utara
2020,37.75,Musi Rawas Utara
2021,39.5,Musi Rawas Utara
2022,36.65,Musi Rawas Utara
2023,36.68,Musi Rawas Utara
2024,35.29,Musi Rawas Utara
2018,37.06,Nabire
2019,37.14,Nabire
2020,36.75,Nabire
2021,35.08,Nabire
2022,35.43,Nabire
2023,34.83,Nabire
2024,36.02,Nabire
2018,31.06,Nagan Raya
2019,29.93,Nagan Raya
2020,29.99,Nagan Raya
2021,30.71,Nagan Raya
2022,29.63,Nagan Raya
2023,29.78,Nagan Raya
2024,29.6,Nagan Raya
2018,18.69,Nagekeo
2019,18.7,Nagekeo
2020,18.51,Nagekeo
2021,19.11,Nagekeo
2022,18.01,Nagekeo
2023,18.57,Nagekeo
2024,18.68,Nagekeo
2018,3.6,Natuna
2019,3.43,Natuna
2020,3.47,Natuna
2021,3.98,Natuna
2022,4.32,Natuna
2023,4.3,Natuna
2024,4.17,Natuna
2018,37.14,Nduga
2019,37.6,Nduga
2020,36.54,Nduga
2021,41.17,Nduga
2022,41.76,Nduga
2023,43.27,Nduga
2024,43.42,Nduga
2018,20.79,Ngada
2019,20.31,Ngada
2020,20.62,Ngada
2021,20.98,Ngada
2022,20.14,Ngada
2023,20.57,Ngada
2024,20.48,Ngada
2018,127.28,Nganjuk
2019,118.51,Nganjuk
2020,122.73,Nganjuk
2021,125.53,Nganjuk
2022,113.63,Nganjuk
2023,115.86,Nganjuk
2024,108.37,Nganjuk
2018,123.09,Ngawi
2019,119.43,Ngawi
2020,128.19,Ngawi
2021,130.81,Ngawi
2022,119.02,Ngawi
2023,121.3,Ngawi
2024,116.47,Ngawi
2018,22.61,Nias
2019,22.1,Nias
2020,23.12,Nias
2021,24.33,Nias
2022,23.23,Nias
2023,21.99,Nias
2024,21.74,Nias
2018,23.0,Nias Barat
2019,22.08,Nias Barat
2020,22.33,Nias Barat
2021,21.75,Nias Barat
2022,20.42,Nias Barat
2023,18.86,Nias Barat
2024,18.78,Nias Barat
2018,52.7,Nias Selatan
2019,52.51,Nias Selatan
2020,53.88,Nias Selatan
2021,55.16,Nias Selatan
2022,54.16,Nias Selatan
2023,54.29,Nias Selatan
2024,54.48,Nias Selatan
2018,36.33,Nias Utara
2019,34.42,Nias Utara
2020,34.75,Nias Utara
2021,35.84,Nias Utara
2022,32.87,Nias Utara
2023,30.78,Nias Utara
2024,30.53,Nias Utara
2018,13.38,Nunukan
2019,12.69,Nunukan
2020,13.76,Nunukan
2021,13.94,Nunukan
2022,12.86,Nunukan
2023,11.88,Nunukan
2024,12.61,Nunukan
2018,55.87,Ogan Ilir
2019,57.06,Ogan Ilir
2020,57.97,Ogan Ilir
2021,60.5,Ogan Ilir
2022,54.55,Ogan Ilir
2023,59.33,Ogan Ilir
2024,55.49,Ogan Ilir
2018,124.86,Ogan Komering Ilir
2019,124.14,Ogan Komering Ilir
2020,123.34,Ogan Komering Ilir
2021,124.78,Ogan Komering Ilir
2022,113.79,Ogan Komering Ilir
2023,114.48,Ogan Komering Ilir
2024,106.37,Ogan Komering Ilir
2018,45.71,Ogan Komering Ulu
2019,46.84,Ogan Komering Ulu
2020,47.3,Ogan Komering Ulu
2021,47.5,Ogan Komering Ulu
2022,44.2,Ogan Komering Ulu
2023,44.11,Ogan Komering Ulu
2024,41.54,Ogan Komering Ulu
2018,37.87,Ogan Komering Ulu Selatan
2019,37.92,Ogan Komering Ulu Selatan
2020,39.5,Ogan Komering Ulu Selatan
2021,41.23,Ogan Komering Ulu Selatan
2022,39.61,Ogan Komering Ulu Selatan
2023,39.3,Ogan Komering Ulu Selatan
2024,37.81,Ogan Komering Ulu Selatan
2018,70.65,Ogan Komering Ulu Timur
2019,70.4,Ogan Komering Ulu Timur
2020,71.1,Ogan Komering Ulu Timur
2021,72.89,Ogan Komering Ulu Timur
2022,69.69,Ogan Komering Ulu Timur
2023,69.91,Ogan Komering Ulu Timur
2024,68.74,Ogan Komering Ulu Timur
2018,78.64,Pacitan
2019,75.86,Pacitan
2020,80.82,Pacitan
2021,84.19,Pacitan
2022,76.93,Pacitan
2023,76.2,Pacitan
2024,73.03,Pacitan
2018,23.05,Padang Lawas
2019,23.17,Padang Lawas
2020,23.87,Padang Lawas
2021,25.78,Padang Lawas
2022,24.45,Padang Lawas
2023,24.51,Padang Lawas
2024,24.96,Padang Lawas
2018,26.82,Padang Lawas Utara
2019,26.06,Padang Lawas Utara
2020,26.79,Padang Lawas Utara
2021,28.37,Padang Lawas Utara
2022,26.09,Padang Lawas Utara
2023,26.17,Padang Lawas Utara
2024,27.21,Padang Lawas Utara
2018,33.2,Padang Pariaman
2019,29.48,Padang Pariaman
2020,28.98,Padang Pariaman
2021,30.41,Padang Pariaman
2022,26.44,Padang Pariaman
2023,26.93,Padang Pariaman
2024,26.76,Padang Pariaman
2018,4.66,Pakpak Bharat
2019,4.52,Pakpak Bharat
2020,4.59,Pakpak Bharat
2021,4.79,Pakpak Bharat
2022,4.52,Pakpak Bharat
2023,4.01,Pakpak Bharat
2024,3.73,Pakpak Bharat
2018,125.76,Pamekasan
2019,122.43,Pamekasan
2020,129.41,Pamekasan
2021,137.12,Pamekasan
2022,126.02,Pamekasan
2023,126.43,Pamekasan
2024,123.46,Pamekasan
2018,116.16,Pandeglang
2019,114.09,Pandeglang
2020,120.44,Pandeglang
2021,131.43,Pandeglang
2022,114.65,Pandeglang
2023,114.23,Pandeglang
2024,113.45,Pandeglang
2018,32.19,Pangandaran
2019,30.73,Pangandaran
2020,36.05,Pangandaran
2021,39.07,Pangandaran
2022,37.91,Pangandaran
2023,36.7,Pangandaran
2024,35.95,Pangandaran
2018,50.12,Pangkajene Dan Kepulauan
2019,47.07,Pangkajene Dan Kepulauan
2020,47.12,Pangkajene Dan Kepulauan
2021,48.4,Pangkajene Dan Kepulauan
2022,47.53,Pangkajene Dan Kepulauan
2023,46.06,Pangkajene Dan Kepulauan
2024,42.94,Pangkajene Dan Kepulauan
2018,64.46,Paniai
2019,65.54,Paniai
2020,65.98,Paniai
2021,62.57,Paniai
2022,62.97,Paniai
2023,61.14,Paniai
2024,64.34,Paniai
2018,83.66,Parigi Moutong
2019,81.36,Parigi Moutong
2020,78.76,Parigi Moutong
2021,76.79,Parigi Moutong
2022,74.6,Parigi Moutong
2023,77.18,Parigi Moutong
2024,74.57,Parigi Moutong
2018,20.31,Pasaman
2019,20.22,Pasaman
2020,20.29,Pasaman
2021,21.57,Pasaman
2022,19.94,Pasaman
2023,19.99,Pasaman
2024,20.01,Pasaman
2018,31.83,Pasaman Barat
2019,31.53,Pasaman Barat
2020,31.64,Pasaman Barat
2021,34.97,Pasaman Barat
2022,32.91,Pasaman Barat
2023,33.52,Pasaman Barat
2024,34.6,Pasaman Barat
2018,25.14,Paser
2019,25.45,Paser
2020,26.77,Paser
2021,27.56,Paser
2022,27.02,Paser
2023,26.39,Paser
2024,25.28,Paser
2018,152.48,Pasuruan
2019,141.09,Pasuruan
2020,151.43,Pasuruan
2021,159.78,Pasuruan
2022,148.62,Pasuruan
2023,154.09,Pasuruan
2024,144.84,Pasuruan
2018,123.94,Pati
2019,118.98,Pati
2020,127.37,Pati
2021,128.74,Pati
2022,118.04,Pati
2023,118.18,Pati
2024,116.84,Pati
2018,10.8,Pegunungan Arfak
2019,10.74,Pegunungan Arfak
2020,10.68,Pegunungan Arfak
2021,11.85,Pegunungan Arfak
2022,11.87,Pegunungan Arfak
2023,11.71,Pegunungan Arfak
2024,11.87,Pegunungan Arfak
2018,22.81,Pegunungan Bintang
2019,23.01,Pegunungan Bintang
2020,23.03,Pegunungan Bintang
2021,23.38,Pegunungan Bintang
2022,23.5,Pegunungan Bintang
2023,23.32,Pegunungan Bintang
2024,22.87,Pegunungan Bintang
2018,89.54,Pekalongan
2019,87.01,Pekalongan
2020,91.86,Pekalongan
2021,95.26,Pekalongan
2022,87.53,Pekalongan
2023,87.93,Pekalongan
2024,81.72,Pekalongan
2018,44.29,Pelalawan
2019,45.98,Pelalawan
2020,45.88,Pelalawan
2021,49.3,Pelalawan
2022,47.84,Pelalawan
2023,45.3,Pelalawan
2024,49.2,Pelalawan
2018,208.34,Pemalang
2019,200.67,Pemalang
2020,209.03,Pemalang
2021,215.08,Pemalang
2022,195.84,Pemalang
2023,195.57,Pemalang
2024,194.2,Pemalang
2018,11.76,Penajam Paser Utara
2019,11.52,Penajam Paser Utara
2020,11.93,Penajam Paser Utara
2021,12.13,Penajam Paser Utara
2022,11.59,Penajam Paser Utara
2023,11.19,Penajam Paser Utara
2024,10.78,Penajam Paser Utara
2018,25.78,Penukal Abab Lematang Ilir
2019,25.47,Penukal Abab Lematang Ilir
2020,24.17,Penukal Abab Lematang Ilir
2021,25.1,Penukal Abab Lematang Ilir
2022,23.14,Penukal Abab Lematang Ilir
2023,21.72,Penukal Abab Lematang Ilir
2024,19.79,Penukal Abab Lematang Ilir
2018,70.14,Pesawaran
2019,67.36,Pesawaran
2020,66.04,Pesawaran
2021,68.31,Pesawaran
2022,63.17,Pesawaran
2023,59.29,Pesawaran
2024,55.01,Pesawaran
2018,22.98,Pesisir Barat
