Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Aceh Selatan,2020,405786.0,67.12,30.91,2.13,0.46,1698.31,4290.43,5088.0,2735.19,1285.78,4441.17,18674.8,18703.92,4714.93,780.68,12.87,8.57,9.19,8.41,0.8,13.09,54.14,0.77,42.92,5.08,64.27,0.0,5
Aceh Selatan,2021,418689.0,67.44,32.25,1.69,0.4,1705.46,4544.18,4481.0,1851.06,1324.44,4627.96,21073.57,23434.49,4492.04,998.81,13.18,7.81,9.2,8.42,0.57,12.87,44.16,0.13,32.74,2.6,64.35,0.0,5
Aceh Selatan,2022,446224.0,67.87,30.78,1.31,0.23,1567.87,4537.47,5103.7,2349.96,1016.84,5987.98,20460.89,25418.42,3604.5,882.98,12.43,16.02,9.21,8.43,0.78,13.18,52.86,0.0,46.34,2.43,64.4,27.3,5
Aceh Selatan,2023,494565.0,68.44,30.36,1.85,0.46,1559.87,4059.68,4589.2,2602.29,886.61,4512.95,20389.22,25916.49,3858.72,603.42,12.1,13.7,9.23,8.45,0.98,12.43,47.68,0.21,41.78,1.67,64.64,37.2,5
Aceh Selatan,2024,528243.0,69.1,30.53,1.57,0.31,1922.0,5024.0,5682.0,2896.0,1452.0,5400.0,23639.0,22777.0,4774.0,1160.0,12.02,10.44,9.24,8.46,0.84,12.1,37.42,0.0,34.05,2.22,64.81,40.2,5
Aceh Singkil,2018,427804.0,68.02,25.74,4.85,1.52,1583.83,4002.09,5269.0,3161.96,1634.99,4376.22,17210.34,21707.28,6708.68,1206.67,21.25,6.36,8.62,7.47,4.31,22.11,40.27,1.07,42.45,3.05,67.07,38.7,2
Aceh Singkil,2019,450217.0,68.91,25.66,3.83,0.98,1163.26,3474.23,4574.0,1816.19,1610.57,4172.96,21861.22,18165.89,4844.37,1143.24,20.78,8.35,8.94,7.94,5.0,21.25,31.52,0.29,46.02,2.93,67.16,26.94,2
Aceh Singkil,2020,473983.0,68.94,25.43,3.55,1.03,1610.21,3976.31,5172.0,3398.81,1759.09,4360.32,18257.11,18407.61,5871.37,1164.51,20.2,7.19,8.96,7.95,3.97,20.78,39.47,0.0,42.4,2.79,67.36,0.0,3
Aceh Singkil,2021,487249.0,69.22,25.48,3.67,0.91,1778.9,4179.61,5344.0,4030.94,2033.93,4687.54,18547.31,18517.4,5499.81,1649.46,20.36,6.37,9.01,8.17,4.18,20.2,35.53,0.19,39.69,3.22,67.39,0.0,3
Aceh Singkil,2022,518951.0,69.62,24.33,3.18,0.74,1993.21,4035.05,7859.03,5926.13,2189.15,5993.47,17497.09,20336.85,5539.81,1687.95,19.18,9.8,9.02,8.21,3.97,20.36,42.55,0.0,40.41,2.41,67.43,29.6,3
Aceh Singkil,2023,568691.0,70.14,24.62,2.99,0.8,2268.93,4562.82,7377.18,5324.23,2433.11,6387.26,23467.27,28321.17,7063.68,1967.68,19.15,7.31,9.03,8.28,5.0,19.18,35.0,0.0,41.74,0.48,67.65,23.4,2
Aceh Singkil,2024,609322.0,70.75,24.84,3.06,0.74,1829.0,4839.0,6363.0,4672.0,2394.0,5937.0,27628.0,24703.0,7327.0,1608.0,19.06,7.41,9.05,8.29,5.0,19.15,50.07,0.0,40.31,1.74,67.78,34.1,2
Aceh Tamiang,2018,420841.0,68.45,41.21,1.54,0.31,1357.55,3589.57,4368.0,2604.11,1885.44,3665.86,12292.96,13199.57,6973.56,760.76,14.21,12.96,9.02,8.4,0.53,14.69,35.35,0.28,23.93,2.83,69.16,32.4,6
Aceh Tamiang,2019,437991.0,69.23,39.35,1.65,0.37,1340.94,3523.33,4297.0,2588.47,1696.94,3202.95,13888.71,13523.69,5566.8,658.99,13.38,13.66,9.13,8.66,1.01,14.21,29.25,0.33,22.92,2.51,69.28,33.42,6
Aceh Tamiang,2020,459387.0,69.24,38.93,1.61,0.28,1266.54,3830.99,4139.0,2265.12,1937.36,3492.21,15904.82,13839.42,5695.89,674.5,13.08,12.29,9.14,8.67,0.74,13.38,43.4,0.57,22.02,2.52,69.52,0.0,6
Aceh Tamiang,2021,479801.0,69.48,40.03,1.67,0.35,1431.16,4489.19,4585.0,2668.53,1955.06,3746.21,17563.62,14433.9,6043.43,845.2,13.34,9.29,9.15,8.83,0.71,13.08,32.82,0.09,27.19,1.31,69.58,0.0,6
Aceh Tamiang,2022,508599.0,70.43,38.25,1.8,0.39,1660.55,3929.7,5413.5,3702.36,1990.74,4851.92,16906.79,17014.34,6341.87,991.31,12.61,15.13,9.28,8.84,0.74,13.34,34.54,0.21,18.58,1.18,69.63,30.8,6
Aceh Tamiang,2023,555387.0,71.35,38.37,1.94,0.41,1710.36,3971.56,5965.12,4144.48,2519.55,4346.45,15418.57,18960.37,6488.04,1490.19,12.51,12.05,9.51,9.01,0.93,12.61,25.26,0.0,14.46,4.48,69.87,19.9,6
Aceh Tamiang,2024,583294.0,72.32,37.76,1.47,0.28,1715.0,4685.0,7426.0,4057.0,2529.0,4959.0,18448.0,18310.0,6396.0,1322.0,12.17,9.98,9.52,9.07,0.82,12.51,26.54,0.0,14.56,1.27,70.04,35.9,6
Aceh Tengah,2018,445250.0,72.64,32.31,1.75,0.39,1542.01,5624.32,7831.0,2958.26,2524.41,3668.49,22403.58,20377.16,6729.44,1461.21,15.58,6.71,9.84,9.63,1.79,16.84,42.96,0.0,53.57,3.85,68.53,37.2,4
Aceh Tengah,2019,468577.0,73.14,32.78,2.08,0.46,1858.75,4879.51,9698.0,2825.55,2401.82,3300.54,20649.97,20242.76,6535.74,1331.69,15.5,7.06,9.85,9.64,0.88,15.58,35.06,0.16,39.5,3.82,68.62,39.8,5
Aceh Tengah,2020,492227.0,73.24,32.48,2.89,0.95,1921.75,5394.31,10621.0,4924.44,2931.42,3748.67,20826.5,25062.25,8641.61,1736.72,15.08,6.47,10.02,9.68,1.54,15.5,27.05,0.08,36.6,3.35,68.82,42.87,5
Aceh Tengah,2021,505933.0,73.37,32.72,2.88,0.8,2187.55,6052.8,8549.0,5256.84,2953.51,3932.36,18808.6,27355.18,7861.01,1855.59,15.26,5.46,10.03,9.69,2.3,15.08,25.81,0.83,35.64,2.63,68.85,0.0,4
Aceh Tengah,2022,533810.0,73.95,31.5,2.41,0.59,2602.24,6254.61,10214.38,4043.4,2982.12,4929.98,20136.22,25063.9,6107.29,2061.64,14.5,10.0,10.04,9.7,2.57,15.26,28.92,0.24,42.25,2.45,68.86,34.3,4
Aceh Tengah,2023,584863.0,74.6,31.68,2.21,0.53,1938.85,5779.12,10500.46,4162.57,2857.38,4225.74,21497.99,26363.18,5887.02,2005.41,14.38,8.61,10.06,9.72,2.99,14.5,22.82,0.15,28.05,2.33,69.05,36.7,4
Aceh Tengah,2024,626090.0,75.41,31.85,2.12,0.48,2693.0,6710.0,14192.0,4511.0,3029.0,4834.0,24869.0,28471.0,6881.0,2278.0,14.27,8.9,10.07,9.92,2.67,14.38,20.61,0.08,26.3,2.16,69.18,23.6,5
Aceh Tenggara,2018,340196.0,68.67,30.2,2.23,0.51,1468.57,2896.79,3790.0,4220.86,1646.53,4469.6,21229.76,20625.24,5316.18,1114.19,14.29,7.54,10.19,9.11,0.33,14.86,58.78,2.02,56.35,4.86,67.62,38.2,5
Aceh Tenggara,2019,357015.0,69.36,28.93,2.37,0.66,1507.44,2850.38,3903.0,4829.47,1656.69,4175.9,21090.73,20346.15,4468.18,1088.34,13.43,10.56,10.2,9.12,0.41,14.29,50.21,0.86,37.51,4.84,67.77,45.3,5
Aceh Tenggara,2020,392493.0,69.37,28.98,1.62,0.36,1389.55,3035.8,4255.0,4944.16,1475.51,4365.51,22245.29,20164.26,4944.96,673.83,13.21,9.42,10.21,9.13,0.26,13.43,58.42,0.4,49.34,6.14,68.04,42.83,5
Aceh Tenggara,2021,404725.0,69.44,29.31,2.51,0.71,1649.02,3105.74,3960.0,5433.72,1812.45,5178.1,21822.6,21578.18,6054.92,1202.41,13.41,6.75,10.22,9.21,0.22,13.21,46.15,0.53,43.56,3.01,68.14,0.0,6
Aceh Tenggara,2022,430825.0,70.32,28.42,1.92,0.44,1702.96,2827.47,4289.9,5363.19,1864.99,5576.68,21137.41,22941.6,4681.51,1122.85,12.83,13.69,10.24,9.55,0.28,13.41,38.71,0.0,41.55,2.87,68.22,34.1,6
Aceh Tenggara,2023,471301.0,71.05,27.96,1.59,0.33,1794.26,3212.52,5381.6,5480.93,1723.46,4856.17,23587.04,24973.65,5847.89,1077.42,12.45,12.97,10.39,9.81,0.33,12.83,25.28,0.07,47.3,1.77,68.48,34.0,6
Aceh Tenggara,2024,496074.0,71.7,27.28,1.64,0.35,1865.0,2833.0,6046.0,6801.0,1942.0,5713.0,23920.0,24582.0,5916.0,1367.0,11.99,9.44,10.4,9.82,0.51,12.45,46.16,0.0,44.19,2.2,68.65,32.9,6
Aceh Timur,2018,398493.0,66.82,61.64,2.03,0.41,1095.42,4077.95,3905.0,2451.62,1218.32,3429.42,15132.31,22081.74,4662.81,699.58,14.49,7.28,8.29,7.5,0.51,15.25,47.94,0.6,50.06,3.68,68.33,43.6,5
Aceh Timur,2019,417715.0,67.39,62.79,1.89,0.4,1062.53,3788.18,4019.0,2313.81,1055.31,3417.63,16350.48,21699.18,3648.91,610.62,14.47,10.42,8.3,7.51,0.42,14.49,43.55,0.68,41.64,3.2,68.44,42.8,5
Aceh Timur,2020,440455.0,67.63,62.34,2.29,0.61,1295.79,4371.95,5131.0,2188.94,1461.96,3803.63,16134.62,25768.38,4915.78,917.18,14.08,7.03,8.56,7.84,0.55,14.47,58.23,0.87,44.3,3.09,68.67,25.5,5
Aceh Timur,2021,460422.0,67.83,63.69,2.31,0.54,1393.59,4239.0,3598.0,2226.39,1329.52,4087.42,16763.85,22930.88,4622.94,1068.12,14.45,7.2,8.57,7.96,0.47,14.08,41.57,0.42,43.11,2.17,68.72,0.0,6
Aceh Timur,2022,491550.0,68.72,62.16,2.78,0.67,1671.94,4300.53,6676.82,5580.89,1482.39,4938.54,17213.56,28301.91,4549.02,1235.28,13.91,9.05,8.58,8.13,0.52,14.45,32.76,0.0,33.96,2.01,68.74,38.2,6
Aceh Timur,2023,530934.0,69.32,60.63,2.43,0.65,1642.98,3771.4,5630.94,4263.38,1354.07,3847.67,20016.43,23444.44,4440.83,1081.03,13.39,8.61,8.6,8.38,0.58,13.91,37.31,0.07,45.47,2.37,68.94,34.8,6
Aceh Timur,2024,557943.0,69.87,60.86,2.04,0.46,1644.0,3617.0,5812.0,4447.0,1468.0,3970.0,21964.0,28377.0,4340.0,1213.0,13.26,8.71,8.61,8.47,0.72,13.39,31.97,0.45,38.66,1.68,69.07,29.7,6
Aceh Utara,2018,340086.0,68.36,111.27,3.2,0.87,1164.34,2968.16,3673.0,1655.03,1088.0,2621.29,17252.08,16490.66,3570.36,562.48,18.27,12.06,8.57,7.62,0.52,19.78,68.89,2.1,50.32,1.59,68.54,35.9,5
Aceh Utara,2019,353856.0,69.22,107.34,2.44,0.55,1208.32,3115.6,3641.0,1963.19,950.64,2616.93,14905.22,13353.47,5065.77,560.75,17.39,13.46,8.83,7.97,0.31,18.27,57.97,0.0,45.94,1.54,68.61,32.53,5
Aceh Utara,2020,375394.0,69.33,106.41,2.6,0.63,1211.76,3383.29,3480.0,2015.71,1192.99,2701.51,15954.78,16122.82,3866.53,645.94,17.02,11.25,8.86,8.19,0.28,17.39,54.59,0.0,41.08,1.07,68.79,0.0,6
Aceh Utara,2021,392412.0,69.46,109.49,2.17,0.43,1310.21,3353.9,3293.0,2576.19,1228.4,2728.57,15595.26,12529.73,3715.73,676.26,17.43,11.71,8.87,8.31,0.28,17.02,43.61,0.0,38.3,0.71,68.8,0.0,6
Aceh Utara,2022,420615.0,70.22,107.02,2.48,0.57,1471.06,4101.83,5172.69,3485.44,1556.62,4041.7,16212.13,16148.91,4036.21,1011.18,16.86,17.02,9.02,8.4,0.3,17.43,46.27,0.14,34.26,0.72,68.81,38.8,6
Aceh Utara,2023,454361.0,70.87,106.77,2.16,0.42,1479.98,3701.74,6295.52,5215.39,1578.73,3885.02,18166.26,15665.42,5058.06,1641.4,16.64,14.24,9.03,8.72,0.35,16.86,46.36,0.44,35.32,1.39,69.01,27.0,6
Aceh Utara,2024,473719.0,71.7,104.49,2.78,0.7,1271.0,3188.0,5004.0,3814.0,1173.0,3738.0,19023.0,16916.0,3654.0,1023.0,16.11,10.94,9.3,8.98,0.47,16.64,50.53,0.01,37.08,0.56,69.15,25.2,6
Agam,2018,341372.0,71.7,32.92,1.13,0.31,1951.7,3863.35,5694.0,5077.97,1745.88,4275.26,18506.74,18116.29,6954.42,1650.36,6.76,5.91,8.67,8.7,0.3,7.59,43.73,2.08,42.24,2.93,71.57,31.3,6
