Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Langkat,2019,392050.0,70.76,103.08,0.9,0.14,1406.84,3646.18,4429.0,3531.73,2029.16,3752.88,15690.54,17264.91,6981.74,1071.9,9.91,7.31,8.91,8.17,1.15,10.2,35.37,0.17,26.15,3.67,68.22,31.64,6
Langkat,2020,412422.0,71.0,101.87,1.52,0.33,1151.2,4194.84,4496.0,3130.67,1811.2,4139.1,16260.33,17685.64,6462.71,991.94,9.73,9.61,8.92,8.18,1.03,9.91,39.18,0.12,23.33,1.97,68.59,18.21,6
Langkat,2021,432371.0,71.35,106.59,1.17,0.23,1473.95,4400.77,4411.0,3516.42,2275.45,4873.49,17374.81,18601.83,6624.75,1335.33,10.12,7.96,8.93,8.19,0.95,9.73,29.23,0.0,28.46,1.97,68.8,0.0,6
Langkat,2022,453383.0,71.86,100.45,1.33,0.31,1760.13,4472.79,7111.17,6102.69,2747.81,6430.26,17766.77,19212.44,7460.74,1879.29,9.49,10.74,8.95,8.28,1.24,10.12,37.53,0.0,25.98,1.83,68.97,31.5,5
Langkat,2023,483543.0,72.21,98.16,2.22,0.79,1860.41,4301.71,6546.19,6233.32,2730.37,5592.69,20527.32,22445.75,8040.57,2108.32,9.23,10.75,9.04,8.32,1.36,9.49,40.49,0.21,28.61,2.04,69.39,28.6,6
Langkat,2024,507996.0,72.73,96.54,1.18,0.26,1754.0,4242.0,5939.0,5454.0,2581.0,5427.0,23056.0,25720.0,7788.0,1610.0,9.04,8.82,9.05,8.33,1.01,9.23,38.49,0.54,26.92,1.85,69.64,16.9,6
Lanny Jaya,2018,451802.0,47.34,71.08,14.59,8.3,3566.07,7104.85,2971.0,1558.45,14.55,4648.4,15904.78,19170.51,3038.27,83562.22,40.06,35.19,4.42,1.55,5.0,39.6,42.77,96.91,98.23,14.39,65.65,28.6,1
Lanny Jaya,2019,464328.0,48.0,70.6,16.35,8.68,7151.27,12842.56,6293.0,2750.24,46.32,7918.62,26915.94,20905.57,2997.65,86311.58,39.52,30.9,4.43,1.56,5.0,40.06,32.81,55.89,98.12,18.98,65.79,47.08,1
Lanny Jaya,2020,490508.0,47.86,68.62,13.87,6.51,6825.03,13002.06,5476.0,7100.25,273.52,8276.46,27407.4,20598.22,4453.0,75971.16,38.13,24.81,4.44,1.57,5.0,39.52,69.67,26.75,99.48,17.28,66.0,8.8,1
Lanny Jaya,2021,537322.0,48.68,76.75,14.87,8.12,10355.17,17914.75,9451.0,12480.12,92.58,8940.87,40486.29,36093.47,8429.96,117938.36,38.73,24.85,4.68,1.74,5.0,38.13,59.52,6.6,93.63,14.52,66.06,0.0,1
Lanny Jaya,2022,564670.0,49.62,76.46,13.73,7.59,11460.9,22000.94,10543.06,11960.81,510.56,11482.01,46366.52,36205.71,10661.14,131451.2,37.76,22.36,4.76,1.99,5.0,38.73,89.61,23.43,99.58,6.39,66.11,38.6,1
Lanny Jaya,2023,625677.0,50.56,76.43,13.15,6.58,9000.66,18440.63,8873.54,15228.55,431.15,11998.45,41589.01,34823.9,10808.16,112526.52,36.94,20.07,4.87,2.21,5.0,37.76,89.27,19.87,99.69,0.16,66.31,25.3,1
Lanny Jaya,2024,816044.0,51.59,72.1,6.73,2.01,5886.0,9679.0,4550.0,20088.0,1197.0,4539.0,16530.0,9047.0,8755.0,93349.0,34.12,12.0,4.97,2.5,5.0,36.94,91.5,21.3,99.62,8.67,66.51,39.5,1
Lebak,2018,283901.0,63.37,108.82,1.26,0.29,2423.86,4734.05,6646.0,3701.43,3162.97,3473.34,19606.12,25724.17,4767.41,807.04,8.41,3.84,6.61,5.71,0.59,8.64,41.79,0.25,63.64,1.88,66.59,37.3,5
Lebak,2019,298201.0,63.88,107.93,0.97,0.21,2347.73,4212.9,6879.0,3746.01,2609.44,3106.92,17485.81,27164.42,5489.06,1184.83,8.3,4.02,6.76,5.76,0.6,8.41,54.26,1.53,54.88,1.52,66.79,40.19,5
Lebak,2020,334509.0,63.91,120.83,1.14,0.24,2141.11,3938.36,6903.0,4956.95,2755.03,3074.8,16448.54,29343.94,5102.48,1130.56,9.24,3.14,6.77,5.98,0.64,8.3,57.73,1.18,62.59,1.4,67.04,32.96,5
Lebak,2021,358479.0,64.03,134.75,1.66,0.4,2760.37,5316.25,5270.0,6486.36,3368.47,4147.14,17045.98,30722.54,5693.36,1798.25,10.29,3.87,6.78,5.99,0.58,9.24,43.73,1.46,58.45,1.17,67.21,0.0,5
Lebak,2022,380681.0,64.71,117.22,1.35,0.33,3483.47,5101.38,7372.43,8376.02,3720.13,5749.36,19381.39,37061.1,6695.19,2060.89,8.91,3.45,7.06,6.09,0.65,10.29,41.24,0.45,60.22,1.1,67.33,27.3,5
Lebak,2023,419066.0,65.21,114.54,1.73,0.51,3068.23,4899.66,6130.86,7023.67,3902.14,4525.24,20919.02,30298.98,5678.53,2064.24,8.68,4.82,7.07,6.26,0.6,8.91,54.54,1.64,64.32,25.35,67.74,40.9,5
Lebak,2024,440705.0,65.86,111.71,1.02,0.23,2984.0,5071.0,11484.0,6120.0,3487.0,3858.0,27035.0,32877.0,6119.0,1653.0,8.44,2.52,7.08,6.27,0.64,8.68,47.81,1.45,58.52,1.01,68.13,35.5,5
Lebong,2018,389973.0,66.28,13.25,1.63,0.33,1850.78,4180.76,4625.0,4618.04,1829.94,3553.28,18461.08,21838.36,5458.23,1136.83,11.59,10.36,8.31,7.49,0.6,11.83,54.62,2.76,57.91,4.51,62.46,34.4,5
Lebong,2019,404368.0,66.84,13.67,1.27,0.21,1986.9,4577.07,4546.0,5366.97,2243.44,3721.27,17090.68,23240.07,5063.1,1147.73,11.77,9.37,8.32,7.5,0.73,11.59,48.95,2.69,42.68,4.52,62.73,26.06,5
Lebong,2020,424637.0,67.01,13.97,1.45,0.35,2081.59,4536.88,7799.0,5516.55,2211.23,4136.36,18783.1,20553.38,6611.17,1341.24,11.85,8.03,8.42,7.56,0.35,11.77,49.37,0.81,33.83,4.07,63.12,0.0,6
Lebong,2021,440127.0,67.46,13.97,1.42,0.29,2064.2,4917.59,4974.0,4653.44,2204.3,3878.61,17388.4,24844.72,5740.34,1624.91,12.0,9.51,8.54,7.79,0.42,11.85,43.61,0.84,42.8,3.94,63.29,0.0,5
Lebong,2022,472738.0,68.12,14.14,1.15,0.22,2399.44,4644.73,5088.94,6364.34,2345.18,6232.5,17506.81,25792.32,6278.79,1281.96,12.03,12.66,8.55,8.1,0.41,12.0,37.32,0.58,46.33,3.65,63.4,23.3,5
Lebong,2023,507046.0,68.71,13.23,1.45,0.31,2727.61,5566.08,5612.78,6754.82,2580.25,5341.08,21694.27,30068.86,6896.91,1883.63,11.15,9.94,8.57,8.12,0.36,12.03,41.82,0.56,49.38,0.3,63.68,24.9,6
Lebong,2024,532432.0,69.27,12.51,1.3,0.27,2300.0,5618.0,11058.0,6854.0,2580.0,4728.0,27441.0,29611.0,6557.0,1464.0,10.45,12.38,8.73,8.25,0.37,11.15,46.67,0.02,44.85,3.0,63.93,15.7,6
Lembata,2018,353957.0,63.96,36.95,4.48,1.09,784.48,4508.15,2146.0,1702.66,953.66,2630.74,22869.79,7356.54,2694.4,828.25,26.45,19.49,8.8,7.31,0.65,26.48,58.3,19.86,46.25,2.98,66.19,40.8,4
Lembata,2019,359792.0,64.91,37.46,5.03,1.28,587.48,3905.94,3179.0,1921.65,1200.55,2827.64,22742.13,8459.6,3582.37,655.7,26.3,21.82,9.06,7.56,0.87,26.45,42.29,10.94,33.3,2.47,66.57,43.13,4
Lembata,2020,388577.0,64.74,37.92,4.77,1.32,681.03,4625.32,3612.0,1694.16,1215.82,2684.39,23106.48,8790.59,4594.53,696.86,26.14,20.04,9.07,7.57,1.0,26.3,47.61,8.58,41.88,3.39,66.97,34.6,4
Lembata,2021,421901.0,64.75,38.75,5.64,1.65,772.06,4712.82,3493.0,2956.81,1209.92,2701.91,23863.33,12371.07,3640.68,1198.32,26.21,17.93,9.08,7.58,0.48,26.14,40.25,6.75,33.84,1.99,67.07,0.0,5
Lembata,2022,464542.0,65.47,37.88,4.84,1.48,1059.66,5108.29,4731.97,1423.59,1831.18,3722.22,22805.91,11494.08,3807.6,1648.02,25.18,18.36,9.1,7.6,1.1,26.21,38.97,3.32,33.59,1.7,67.2,31.7,4
Lembata,2023,508575.0,66.12,37.94,4.56,1.19,1533.12,5657.39,5853.51,2587.33,1715.34,3950.84,27852.09,13855.09,4956.67,1438.13,24.78,15.85,9.11,7.61,1.02,25.18,22.81,2.1,42.92,4.61,67.52,32.4,5
Lembata,2024,517948.0,66.62,37.72,4.35,1.06,1359.0,4773.0,5232.0,2467.0,1059.0,3468.0,30145.0,14780.0,5384.0,819.0,24.22,12.5,9.12,7.62,1.0,24.78,25.43,1.68,37.63,1.47,67.87,35.1,5
Lima Puluh Kota,2018,388689.0,69.17,26.47,1.09,0.24,1447.6,3091.99,5075.0,4161.82,1494.48,4805.82,18886.75,18464.39,5903.19,1461.46,6.99,7.04,8.25,7.97,0.36,7.15,63.56,3.58,42.59,4.53,69.31,27.0,6
Lima Puluh Kota,2019,403030.0,69.67,26.64,0.51,0.07,1332.37,3114.12,5331.0,3972.65,1558.57,4521.05,21247.02,20091.17,5622.99,1313.24,6.97,5.3,8.26,7.98,0.31,6.99,41.72,0.99,39.94,4.98,69.47,40.13,6
Lima Puluh Kota,2020,451295.0,69.47,26.43,0.78,0.14,1302.71,3369.99,7519.0,4149.55,1421.48,4846.57,20181.18,19716.12,5510.69,1369.79,6.86,6.12,8.27,7.99,0.39,6.97,41.28,1.11,36.68,4.9,69.7,28.94,6
Lima Puluh Kota,2021,475123.0,69.68,28.51,1.21,0.3,1743.21,3396.23,5343.0,4548.08,1556.4,5346.6,20717.3,22598.74,6538.46,1548.32,7.29,6.36,8.4,8.06,0.38,6.86,38.13,0.21,35.56,4.69,69.79,0.0,6
Lima Puluh Kota,2022,504670.0,70.28,26.0,0.92,0.24,2402.69,4273.53,7082.3,7316.18,1979.88,7666.99,21484.45,23973.0,6318.78,1890.37,6.59,7.24,8.41,8.07,0.44,7.29,38.06,0.87,36.53,3.89,69.84,28.2,6
Lima Puluh Kota,2023,553068.0,70.7,27.02,1.07,0.24,2708.97,4072.73,5713.53,6167.99,2366.17,6224.26,27119.07,26580.59,6871.92,2293.66,6.8,6.85,8.45,8.11,0.44,6.59,46.81,0.28,40.57,4.55,70.08,8.4,6
Lima Puluh Kota,2024,582794.0,71.14,27.72,0.77,0.16,2379.0,4306.0,7591.0,6954.0,2117.0,6863.0,28950.0,28638.0,6113.0,2201.0,6.92,8.83,8.46,8.12,0.41,6.8,30.94,0.05,33.84,3.12,70.3,28.6,6
Lingga,2018,411387.0,64.06,12.13,2.25,0.57,3269.34,6117.91,5164.0,3701.86,1609.62,4012.35,17856.96,14157.19,7747.88,1079.64,13.55,10.09,6.8,6.02,5.0,13.84,22.86,5.12,42.81,5.18,61.14,33.2,2
Lingga,2019,429764.0,64.98,11.56,1.97,0.46,2887.05,6274.09,5230.0,2855.31,1454.65,4156.7,18123.9,13807.86,8187.23,957.58,12.88,9.65,7.04,6.28,5.0,13.55,23.34,1.79,22.47,4.23,61.44,22.03,2
Lingga,2020,472384.0,65.29,12.45,2.32,0.58,3143.18,6045.63,5090.0,3672.81,1693.23,4408.18,18541.35,17941.9,8311.46,1177.27,13.85,13.47,7.2,6.42,5.0,12.88,26.77,0.78,23.34,3.97,61.75,16.49,2
Lingga,2021,484088.0,65.83,12.58,2.98,0.9,3609.88,6118.04,6195.0,4811.36,1780.18,4347.15,17443.27,18154.39,9074.55,1298.72,13.93,14.38,7.38,6.67,5.0,13.85,31.57,3.25,41.47,3.64,62.06,0.0,2
Lingga,2022,507223.0,66.57,12.7,2.53,0.64,4150.01,5727.39,6854.41,7138.84,2064.18,5545.26,16305.74,19639.66,9304.27,1800.27,14.05,17.33,7.44,6.93,3.57,13.93,23.55,3.44,20.93,3.78,62.39,25.4,3
Lingga,2023,540936.0,67.44,10.18,1.6,0.43,4391.03,6099.81,6383.42,5356.54,1918.56,4835.28,17389.83,20514.67,8607.76,1631.88,11.26,24.11,7.59,7.16,5.0,14.05,21.06,1.47,20.03,0.7,62.92,18.0,3
Lingga,2024,562906.0,68.19,9.02,1.25,0.37,3963.0,6566.0,8812.0,6520.0,2041.0,4598.0,19193.0,19417.0,7519.0,1230.0,9.99,20.0,7.65,7.45,5.0,11.26,17.8,2.77,23.63,3.31,63.5,20.5,3
Lombok Barat,2018,412487.0,67.18,103.77,3.07,0.95,2390.68,3527.67,9201.0,5172.82,3303.25,3007.94,20408.13,13588.09,4711.13,834.75,15.2,4.13,7.07,5.35,0.93,16.46,34.82,0.18,43.05,0.95,65.78,36.1,5
Lombok Barat,2019,431862.0,68.03,105.04,3.42,0.98,2867.95,3143.52,8083.0,7533.02,3349.01,2431.84,17838.4,16412.29,6060.98,747.98,15.17,2.04,7.22,5.58,1.0,15.2,57.01,0.37,31.09,0.71,66.16,33.61,5
Lombok Barat,2020,439595.0,68.2,100.25,2.91,0.82,2804.28,3689.24,9633.0,7020.72,3300.85,2785.18,16750.1,16977.33,5001.67,1021.27,14.28,2.4,7.25,5.68,0.78,15.17,27.92,0.0,23.15,0.84,66.64,36.3,6
Lombok Barat,2021,466495.0,68.61,105.24,1.7,0.31,2605.21,3953.36,5747.0,7042.5,3155.46,2831.65,15539.22,15459.59,4384.86,902.61,14.47,2.32,7.26,5.69,0.8,14.28,22.71,0.3,29.1,0.79,66.94,0.0,5
Lombok Barat,2022,503509.0,69.41,99.01,1.82,0.4,3157.19,3956.36,6252.8,7701.69,3579.84,4904.76,18999.73,15880.77,5448.26,1005.47,13.39,2.83,7.31,6.06,0.88,14.47,27.86,0.32,28.5,0.72,67.19,28.9,5
Lombok Barat,2023,546421.0,70.15,102.71,1.78,0.4,2820.92,3879.88,8412.24,7578.13,3939.68,3998.4,22390.55,17108.25,5360.52,1014.16,13.67,2.42,7.58,6.31,0.9,13.39,50.21,0.0,31.91,14.66,67.63,21.6,5
Lombok Barat,2024,576478.0,70.67,96.57,1.84,0.43,2424.0,3740.0,10901.0,7265.0,3004.0,3986.0,29162.0,17870.0,6503.0,1015.0,12.65,3.35,7.62,6.32,0.84,13.67,55.25,0.0,28.81,0.52,68.08,19.9,6
Lombok Tengah,2018,386676.0,65.36,130.0,2.31,0.54,2029.7,4237.07,7973.0,4581.53,2838.42,2949.86,18072.67,11894.28,4153.2,452.33,13.87,6.15,6.79,5.26,0.66,15.31,46.92,0.26,48.66,0.68,65.28,39.3,5
Lombok Tengah,2019,404633.0,66.36,128.82,1.56,0.25,2165.04,3222.83,5842.0,5550.34,2982.28,2381.08,17397.01,13841.89,3950.91,419.09,13.63,3.68,7.1,5.4,0.44,13.87,53.89,0.22,27.31,0.73,65.59,31.05,5
Lombok Tengah,2020,421439.0,66.43,128.1,1.42,0.26,2303.26,3412.58,7830.0,6173.2,2967.18,2736.11,16269.35,14540.74,5609.98,687.8,13.44,3.56,7.11,5.41,0.43,13.63,27.74,0.06,24.43,0.73,65.99,45.25,6
Lombok Tengah,2021,447200.0,66.72,131.94,1.69,0.35,2326.89,3525.48,5144.0,6771.43,3191.85,3062.57,16117.25,17832.0,4458.7,1075.1,13.44,2.18,7.12,5.54,0.5,13.44,26.87,0.15,24.82,0.6,66.21,0.0,6
Lombok Tengah,2022,480657.0,67.57,128.0,2.01,0.44,2353.25,3774.16,5440.91,6321.12,3529.21,4059.8,16859.09,15710.86,4478.51,770.82,12.89,2.82,7.14,5.88,0.48,13.44,33.77,0.0,24.26,0.45,66.38,32.1,6
Lombok Tengah,2023,520852.0,68.4,129.74,2.12,0.52,2582.76,3732.43,7971.54,7018.05,3886.55,3641.22,19020.87,17531.93,4628.09,973.74,12.93,2.98,7.15,6.15,0.5,12.89,53.78,0.0,27.47,3.87,66.75,21.8,5
Lombok Tengah,2024,549400.0,69.17,122.32,1.56,0.27,2351.0,3861.0,8423.0,6898.0,3401.0,3522.0,25584.0,18504.0,5248.0,618.0,12.07,3.84,7.35,6.17,0.48,12.93,47.99,0.06,22.48,0.37,67.12,17.6,6
Lombok Timur,2018,414721.0,65.35,196.87,2.67,0.64,2538.52,3145.97,8317.0,4778.9,2870.84,2867.38,16890.87,8303.91,4620.1,603.03,16.55,8.52,7.17,5.88,0.83,18.28,48.4,0.11,54.66,0.63,65.01,35.1,4
Lombok Timur,2019,430727.0,66.23,193.56,1.48,0.25,2312.4,2791.87,5067.0,5034.94,2920.66,2383.61,15467.92,10674.18,4542.72,841.83,16.15,3.18,7.43,6.04,0.73,16.55,56.99,0.4,34.98,0.6,65.33,43.52,5
Lombok Timur,2020,447263.0,66.3,183.84,1.84,0.42,2607.67,3624.99,7022.0,6184.3,3074.36,2877.38,16571.8,10723.89,5040.9,1006.52,15.24,3.43,7.44,6.17,0.64,16.15,38.09,0.1,32.91,0.63,65.74,39.57,5
Lombok Timur,2021,472304.0,66.66,190.84,2.88,0.88,3500.15,4400.08,8037.0,8295.29,4609.19,3949.7,19205.38,10534.86,6071.11,1661.87,15.38,0.98,7.5,6.18,0.76,15.24,31.9,0.1,32.7,0.43,65.97,0.0,5
Lombok Timur,2022,503525.0,67.59,189.64,2.58,0.85,3551.44,4544.66,8660.84,9424.46,4330.57,4641.8,19493.03,14064.1,6350.38,1607.87,15.14,1.32,7.51,6.62,0.72,15.38,30.27,0.14,29.93,0.4,66.16,37.6,5
Lombok Timur,2023,546404.0,68.41,197.63,3.57,1.16,4003.99,4293.98,11053.4,9172.02,4385.68,4678.83,23325.17,14285.74,6545.06,2166.08,15.63,1.52,7.55,6.76,0.84,15.14,61.11,0.18,34.72,47.99,66.55,14.8,5
Lombok Timur,2024,583957.0,69.23,185.03,2.66,0.77,3201.0,4582.0,15474.0,7780.0,3519.0,4080.0,32343.0,15167.0,6625.0,1692.0,14.51,2.37,7.8,6.98,0.8,15.63,52.77,0.34,35.08,0.35,66.95,27.6,5
Lombok Utara,2018,416705.0,63.83,62.86,6.98,2.56,2450.21,3516.12,12353.0,6455.35,3105.41,3262.8,18389.29,11051.47,5576.48,1104.2,28.83,4.91,6.66,5.04,0.78,32.06,39.9,0.23,53.39,1.88,66.17,37.6,4
Lombok Utara,2019,437543.0,64.49,63.84,7.39,2.42,2194.65,3557.6,9341.0,6225.65,2574.65,2818.04,16609.42,11980.94,4439.37,872.93,29.03,4.09,6.67,5.09,0.83,28.83,52.18,0.17,37.08,1.02,66.5,29.3,4
Lombok Utara,2020,451721.0,64.42,59.86,7.09,2.58,2568.28,3606.04,11229.0,7563.44,2982.11,2991.27,17364.5,11939.31,4899.14,1046.98,26.99,3.65,6.73,5.25,0.61,29.03,47.43,0.0,44.24,1.3,66.92,41.36,4
Lombok Utara,2021,478906.0,64.77,61.7,5.69,1.66,2769.48,3703.96,5918.0,7845.46,3064.82,3190.13,16802.7,10440.37,4789.65,1318.45,27.04,2.91,6.88,5.26,0.59,26.99,35.52,0.0,37.42,0.96,67.17,0.0,5
Lombok Utara,2022,514755.0,65.7,59.82,6.08,1.97,3135.61,5024.76,11102.94,8237.54,4037.56,5369.12,21998.27,10022.37,5133.53,1971.93,25.93,2.92,6.94,5.52,0.67,27.04,37.62,0.43,38.49,0.95,67.36,34.0,5
Lombok Utara,2023,556462.0,66.62,60.13,4.44,1.24,2714.56,3577.17,13338.92,9057.35,3451.86,4008.75,24189.49,12863.53,5162.35,1811.93,25.8,2.66,7.13,5.53,0.91,25.93,65.08,0.09,40.37,3.35,67.75,19.0,4
Lombok Utara,2024,594789.0,67.24,56.43,4.81,1.35,2267.0,3708.0,10737.0,11950.0,3487.0,3388.0,30603.0,10588.0,5422.0,1268.0,23.96,3.04,7.21,5.54,0.81,25.8,51.81,0.0,37.84,0.87,68.17,33.5,5
Lumajang,2018,281461.0,64.83,103.69,1.38,0.31,2100.21,3887.3,4887.0,3155.91,3181.56,2686.52,16541.47,10840.22,4754.45,883.01,9.98,8.6,6.82,5.65,0.54,10.87,48.29,0.16,55.18,1.19,69.5,28.1,5
Lumajang,2019,296633.0,65.33,98.88,1.09,0.2,2083.08,3884.88,5101.0,4111.83,3858.77,2710.99,14181.83,10805.31,4390.92,1111.53,9.49,9.42,6.83,5.66,0.5,9.98,39.89,0.0,33.7,1.03,69.7,34.01,6
Lumajang,2020,318196.0,65.46,102.6,1.14,0.21,1956.66,4395.14,4679.0,3834.31,3551.34,2918.92,14163.73,11529.64,4548.45,1296.41,9.83,11.29,7.01,5.87,0.5,9.49,41.52,0.0,42.1,0.87,69.94,0.0,6
Lumajang,2021,334906.0,66.07,105.25,1.57,0.34,3050.33,5092.88,6158.0,8274.93,4300.22,3701.36,16415.78,15144.91,6008.56,1817.89,10.05,7.84,7.23,6.16,0.52,9.83,37.32,0.0,35.96,0.79,70.1,0.0,6
Lumajang,2022,352776.0,66.95,95.04,1.34,0.31,3182.71,5173.97,6643.44,8093.61,4521.32,5547.64,19122.51,14762.53,6248.43,1985.03,9.06,9.25,7.41,6.42,0.54,10.05,38.82,0.41,27.74,0.66,70.21,30.1,6
Lumajang,2023,386995.0,67.87,93.82,1.41,0.3,3679.61,5574.72,8678.06,9523.78,5310.74,4727.62,20038.88,17654.77,6781.77,2420.52,8.93,8.77,7.66,6.69,0.58,9.06,41.27,0.05,38.11,1.79,70.61,35.3,6
Lumajang,2024,405136.0,68.8,91.05,1.23,0.26,3138.0,5879.0,10299.0,7953.0,4721.0,3933.0,25530.0,17048.0,7983.0,2211.0,8.65,8.44,7.68,6.82,0.55,8.93,43.77,0.14,33.64,0.62,70.96,29.9,6
Luwu,2018,305722.0,69.6,47.91,2.35,0.55,2045.52,3740.28,7924.0,3031.58,1462.46,2504.79,16177.41,14952.43,6143.15,1275.19,13.36,5.42,8.21,7.76,0.32,14.01,32.69,6.76,47.59,5.26,69.6,39.1,6
Luwu,2019,318911.0,70.39,46.18,2.71,0.72,1646.68,3271.05,10579.0,3602.88,1383.67,2063.95,14095.76,14764.4,4825.03,1152.51,12.78,6.93,8.56,7.91,0.26,13.36,30.51,2.63,33.76,4.18,69.84,30.31,6
Luwu,2020,347539.0,70.51,46.04,2.12,0.49,1805.6,3701.8,10357.0,3062.75,1327.66,2278.23,17639.09,16927.97,5870.51,1038.35,12.65,10.74,8.57,8.05,0.19,12.78,21.85,1.26,29.92,3.72,70.19,0.0,6
Luwu,2021,359925.0,70.85,46.26,1.77,0.46,2035.5,4119.03,3376.0,4260.26,1501.83,2388.46,18283.47,16882.33,6144.12,1500.83,12.53,7.76,8.58,8.22,0.24,12.65,29.02,2.42,34.52,2.46,70.34,0.0,6
Luwu,2022,381015.0,71.36,46.5,1.9,0.39,2074.87,3767.61,6335.87,4257.09,1526.75,3407.55,17799.13,17907.24,6321.97,1432.63,12.49,11.78,8.6,8.47,0.22,12.53,27.1,0.98,34.55,2.03,70.44,22.8,6
Luwu,2023,414118.0,72.16,47.67,2.19,0.55,2123.87,3609.64,8888.74,4164.12,1791.61,3240.5,20014.52,17583.16,6470.66,1418.16,12.71,7.61,8.86,8.61,0.24,12.49,28.74,0.55,40.63,42.0,70.75,35.4,6
Luwu,2024,433898.0,72.79,44.24,2.05,0.53,2041.0,4249.0,10017.0,4627.0,1668.0,2679.0,21760.0,19862.0,6622.0,1504.0,11.7,6.8,9.0,8.68,0.23,12.71,27.34,0.28,34.16,1.23,71.0,32.1,6
Luwu Timur,2018,315478.0,72.16,21.15,1.16,0.28,2438.5,4427.99,6869.0,3191.82,1943.35,2635.36,17528.08,17376.46,8003.89,1299.83,7.23,5.3,8.87,8.11,0.38,7.66,19.82,5.11,34.64,10.44,69.79,22.1,6
Luwu Timur,2019,333739.0,72.8,20.83,1.11,0.25,2263.35,3679.75,12168.0,4021.87,1854.19,2501.52,16575.19,18755.94,7596.56,1004.57,6.98,6.3,8.88,8.2,0.29,7.23,13.31,2.93,32.37,7.03,70.03,25.31,6
Luwu Timur,2020,350576.0,73.22,20.82,1.05,0.24,2219.09,4553.5,9619.0,5357.31,2117.86,2688.44,18270.45,17079.71,8450.94,1154.13,6.85,8.49,9.11,8.49,0.24,6.98,10.3,0.19,25.33,8.92,70.38,0.0,6
Luwu Timur,2021,371947.0,73.34,20.99,1.09,0.26,2380.21,5004.86,4866.0,5949.75,2144.24,2987.98,20105.8,19404.36,7745.3,1280.85,6.94,7.0,9.12,8.5,0.21,6.85,16.87,1.08,28.79,4.83,70.53,0.0,6
Luwu Timur,2022,394158.0,73.92,20.89,0.8,0.16,2829.87,4788.78,9865.74,4745.95,1895.76,3820.92,19726.63,21634.27,7331.09,1320.81,6.81,8.77,9.13,8.67,0.2,6.94,14.87,0.54,27.26,3.39,70.63,19.9,6
Luwu Timur,2023,438178.0,74.35,21.57,1.46,0.41,3094.21,4666.4,14675.26,5094.08,2306.27,3723.91,21578.06,23514.51,9299.9,1270.34,6.93,6.85,9.15,8.68,0.26,6.81,11.68,0.17,24.78,0.19,70.94,23.4,6
Luwu Timur,2024,460356.0,74.95,20.7,1.31,0.39,2312.0,4901.0,12204.0,4959.0,2226.0,3592.0,23627.0,26933.0,8975.0,1174.0,6.55,5.23,9.16,8.79,0.25,6.93,15.97,0.12,20.83,3.09,71.19,26.0,6
Luwu Utara,2018,329967.0,68.79,42.43,2.43,0.67,1911.38,4044.53,5575.0,2368.56,1394.24,2790.49,16776.02,17219.4,5299.01,1308.98,13.69,6.21,7.68,7.08,0.48,14.33,19.87,2.14,43.61,12.49,67.61,30.8,6
Luwu Utara,2019,342277.0,69.46,42.48,2.55,0.61,1691.01,3499.1,8365.0,2273.18,1356.04,2480.24,14562.82,17226.89,5665.69,1152.09,13.6,8.69,7.92,7.34,0.31,13.69,16.35,0.38,35.66,8.22,67.9,34.68,6
Luwu Utara,2020,354669.0,69.57,42.2,2.29,0.61,1796.76,4511.96,8380.0,3864.52,1650.42,2726.04,15865.99,20293.91,5833.89,1191.93,13.41,10.81,7.93,7.35,0.2,13.6,20.18,0.34,36.29,7.4,68.31,0.0,6
Luwu Utara,2021,368716.0,70.02,43.15,2.07,0.49,1753.94,4891.21,3689.0,2667.81,2117.47,2978.62,15575.47,25189.38,6307.87,1335.08,13.59,8.53,8.12,7.39,0.28,13.41,40.04,0.56,40.19,7.63,68.51,0.0,6
Luwu Utara,2022,382251.0,70.51,42.29,2.26,0.55,2040.11,4401.96,9052.36,2928.29,1859.74,3971.85,16188.29,22208.86,5833.84,1310.65,13.22,9.05,8.13,7.65,0.24,13.59,36.23,0.31,29.9,6.9,68.67,19.5,6
Luwu Utara,2023,414548.0,71.34,40.79,2.2,0.63,2448.85,4586.71,11685.99,3544.45,2147.15,4154.8,21863.25,24598.29,7466.41,1250.3,12.66,5.38,8.29,7.94,0.25,13.22,17.32,0.48,25.0,0.01,69.03,25.1,6
