Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Batang Hari,2018,1273.14
Batang Hari,2019,1265.59
Batang Hari,2020,1670.64
Batang Hari,2021,1466.37
Batang Hari,2022,1646.16
Batang Hari,2023,1675.08
Batang Hari,2024,1980.0
Batu Bara,2018,813.86
Batu Bara,2019,851.57
Batu Bara,2020,1036.6
Batu Bara,2021,1043.27
Batu Bara,2022,1272.68
Batu Bara,2023,1300.74
Batu Bara,2024,1058.0
Bekasi,2018,942.23
Bekasi,2019,1364.35
Bekasi,2020,925.8
Bekasi,2021,1392.3
Bekasi,2022,1739.11
Bekasi,2023,1837.46
Bekasi,2024,1446.0
Belitung,2018,882.39
Belitung,2019,1226.01
Belitung,2020,1460.49
Belitung,2021,1900.19
Belitung,2022,1663.63
Belitung,2023,1549.09
Belitung,2024,1642.0
Belitung Timur,2018,841.26
Belitung Timur,2019,1248.39
Belitung Timur,2020,1716.8
Belitung Timur,2021,1881.69
Belitung Timur,2022,1726.1
Belitung Timur,2023,1540.34
Belitung Timur,2024,1279.0
Belu,2018,737.06
Belu,2019,936.41
Belu,2020,662.85
Belu,2021,1370.33
Belu,2022,1600.98
Belu,2023,1500.0
Belu,2024,1157.0
Bener Meriah,2018,1506.6
Bener Meriah,2019,1530.5
Bener Meriah,2020,1817.91
Bener Meriah,2021,1787.56
Bener Meriah,2022,2175.68
Bener Meriah,2023,2468.88
Bener Meriah,2024,2845.0
Bengkalis,2018,1160.77
Bengkalis,2019,1561.03
Bengkalis,2020,1995.89
Bengkalis,2021,1762.59
Bengkalis,2022,2327.72
Bengkalis,2023,2803.88
Bengkalis,2024,2757.0
Bengkayang,2018,610.28
Bengkayang,2019,694.41
Bengkayang,2020,737.91
Bengkayang,2021,719.04
Bengkayang,2022,1273.54
Bengkayang,2023,1313.65
Bengkayang,2024,1022.0
Bengkulu Selatan,2018,574.31
Bengkulu Selatan,2019,804.0
Bengkulu Selatan,2020,821.92
Bengkulu Selatan,2021,988.03
Bengkulu Selatan,2022,1161.79
Bengkulu Selatan,2023,1017.38
Bengkulu Selatan,2024,823.0
Bengkulu Tengah,2018,1075.27
Bengkulu Tengah,2019,1073.25
Bengkulu Tengah,2020,1063.08
Bengkulu Tengah,2021,1333.16
Bengkulu Tengah,2022,1266.42
Bengkulu Tengah,2023,1559.63
Bengkulu Tengah,2024,1616.0
Bengkulu Utara,2018,1325.65
Bengkulu Utara,2019,1178.78
Bengkulu Utara,2020,1234.27
Bengkulu Utara,2021,1527.13
Bengkulu Utara,2022,1672.68
Bengkulu Utara,2023,1851.04
Bengkulu Utara,2024,1744.0
Berau,2018,1314.42
Berau,2019,1414.99
Berau,2020,1402.47
Berau,2021,1625.15
Berau,2022,1744.0
Berau,2023,1765.95
Berau,2024,1544.0
Biak Numfor,2018,3971.25
Biak Numfor,2019,5453.96
Biak Numfor,2020,6507.81
Biak Numfor,2021,7715.72
Biak Numfor,2022,6626.07
Biak Numfor,2023,5263.93
Biak Numfor,2024,6045.0
Bima,2018,90.86
Bima,2019,274.17
Bima,2020,228.34
Bima,2021,504.79
Bima,2022,575.35
Bima,2023,611.64
Bima,2024,549.0
Bintan,2018,1417.53
Bintan,2019,1224.24
Bintan,2020,1506.03
Bintan,2021,1787.23
Bintan,2022,2425.43
Bintan,2023,2075.91
Bintan,2024,1791.0
Bireuen,2018,502.65
Bireuen,2019,632.46
Bireuen,2020,512.49
Bireuen,2021,910.05
Bireuen,2022,1163.4
Bireuen,2023,999.09
Bireuen,2024,982.0
Blitar,2018,675.95
Blitar,2019,894.07
Blitar,2020,836.7
Blitar,2021,1066.03
Blitar,2022,897.63
Blitar,2023,1179.49
Blitar,2024,1052.0
Blora,2018,252.75
Blora,2019,459.85
Blora,2020,470.82
Blora,2021,716.01
Blora,2022,635.55
Blora,2023,505.16
Blora,2024,418.0
Boalemo,2018,971.02
Boalemo,2019,795.88
Boalemo,2020,1114.97
Boalemo,2021,1230.25
Boalemo,2022,1181.66
Boalemo,2023,1469.17
Boalemo,2024,1181.0
Bogor,2018,958.18
Bogor,2019,1211.55
Bogor,2020,1108.72
Bogor,2021,1520.73
Bogor,2022,1872.59
Bogor,2023,1487.49
Bogor,2024,1622.0
Bojonegoro,2018,721.35
Bojonegoro,2019,481.54
Bojonegoro,2020,701.5
Bojonegoro,2021,728.56
Bojonegoro,2022,869.43
Bojonegoro,2023,1159.04
Bojonegoro,2024,1046.0
Bolaang Mongondow,2018,1451.89
Bolaang Mongondow,2019,1609.06
Bolaang Mongondow,2020,1370.93
Bolaang Mongondow,2021,1668.87
Bolaang Mongondow,2022,2015.58
Bolaang Mongondow,2023,2857.13
Bolaang Mongondow,2024,1921.0
Bolaang Mongondow Selatan,2018,906.92
Bolaang Mongondow Selatan,2019,896.49
Bolaang Mongondow Selatan,2020,794.1
Bolaang Mongondow Selatan,2021,925.5
Bolaang Mongondow Selatan,2022,1158.5
Bolaang Mongondow Selatan,2023,1446.56
Bolaang Mongondow Selatan,2024,974.0
Bolaang Mongondow Timur,2018,1789.44
Bolaang Mongondow Timur,2019,1579.63
Bolaang Mongondow Timur,2020,1917.42
Bolaang Mongondow Timur,2021,1677.46
Bolaang Mongondow Timur,2022,1730.1
Bolaang Mongondow Timur,2023,1750.29
Bolaang Mongondow Timur,2024,1364.0
Bolaang Mongondow Utara,2018,1079.49
Bolaang Mongondow Utara,2019,1449.74
Bolaang Mongondow Utara,2020,1299.24
Bolaang Mongondow Utara,2021,1712.05
Bolaang Mongondow Utara,2022,1430.74
Bolaang Mongondow Utara,2023,1905.22
Bolaang Mongondow Utara,2024,1233.0
Bombana,2018,622.79
Bombana,2019,490.98
Bombana,2020,454.2
Bombana,2021,961.34
Bombana,2022,629.6
Bombana,2023,716.05
