Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Bekasi,2023,11002.71
Bekasi,2024,10887.0
Belitung,2018,11083.8
Belitung,2019,12505.53
Belitung,2020,11420.22
Belitung,2021,12180.2
Belitung,2022,12923.06
Belitung,2023,12247.71
Belitung,2024,12792.0
Belitung Timur,2018,11763.26
Belitung Timur,2019,12285.94
Belitung Timur,2020,14400.38
Belitung Timur,2021,12795.85
Belitung Timur,2022,13620.04
Belitung Timur,2023,12181.95
Belitung Timur,2024,14010.0
Belu,2018,3208.03
Belu,2019,4471.08
Belu,2020,4815.56
Belu,2021,4951.02
Belu,2022,4532.36
Belu,2023,4658.1
Belu,2024,4606.0
Bener Meriah,2018,5131.86
Bener Meriah,2019,5417.58
Bener Meriah,2020,6181.27
Bener Meriah,2021,5764.81
Bener Meriah,2022,5694.52
Bener Meriah,2023,6779.47
Bener Meriah,2024,7503.0
Bengkalis,2018,8023.58
Bengkalis,2019,8167.11
Bengkalis,2020,9064.98
Bengkalis,2021,8425.3
Bengkalis,2022,8525.37
Bengkalis,2023,9581.31
Bengkalis,2024,10092.0
Bengkayang,2018,6270.73
Bengkayang,2019,6425.18
Bengkayang,2020,7606.92
Bengkayang,2021,9532.83
Bengkayang,2022,8571.6
Bengkayang,2023,9408.06
Bengkayang,2024,7820.0
Bengkulu Selatan,2018,6352.23
Bengkulu Selatan,2019,6082.81
Bengkulu Selatan,2020,6991.92
Bengkulu Selatan,2021,7435.61
Bengkulu Selatan,2022,7954.37
Bengkulu Selatan,2023,6860.86
Bengkulu Selatan,2024,6743.0
Bengkulu Tengah,2018,6818.3
Bengkulu Tengah,2019,6133.41
Bengkulu Tengah,2020,5832.53
Bengkulu Tengah,2021,6013.87
Bengkulu Tengah,2022,5470.96
Bengkulu Tengah,2023,5510.13
Bengkulu Tengah,2024,7036.0
Bengkulu Utara,2018,7008.31
Bengkulu Utara,2019,6528.96
Bengkulu Utara,2020,6519.72
Bengkulu Utara,2021,6609.84
Bengkulu Utara,2022,6599.42
Bengkulu Utara,2023,7680.16
Bengkulu Utara,2024,7501.0
Berau,2018,12999.77
Berau,2019,14612.47
Berau,2020,13220.87
Berau,2021,13230.05
Berau,2022,13900.25
Berau,2023,12484.04
Berau,2024,12279.0
Biak Numfor,2018,6382.22
Biak Numfor,2019,6267.78
Biak Numfor,2020,7326.31
Biak Numfor,2021,6543.04
Biak Numfor,2022,6788.37
Biak Numfor,2023,5666.0
Biak Numfor,2024,4990.0
Bima,2018,4146.87
Bima,2019,4077.58
Bima,2020,4192.8
Bima,2021,5107.3
Bima,2022,4457.61
Bima,2023,4783.28
Bima,2024,5059.0
Bintan,2018,8777.61
Bintan,2019,9292.13
Bintan,2020,9667.15
Bintan,2021,10866.38
Bintan,2022,10006.16
Bintan,2023,10643.53
Bintan,2024,10939.0
Bireuen,2018,4667.76
Bireuen,2019,4808.06
Bireuen,2020,5627.4
Bireuen,2021,5200.48
Bireuen,2022,5746.3
Bireuen,2023,5328.19
Bireuen,2024,5751.0
Blitar,2018,5982.98
Blitar,2019,5807.3
Blitar,2020,5970.16
Blitar,2021,7392.47
Blitar,2022,5842.93
Blitar,2023,6783.78
Blitar,2024,7326.0
Blora,2018,3927.68
Blora,2019,4429.45
Blora,2020,4780.46
Blora,2021,5490.23
Blora,2022,5458.02
Blora,2023,5532.91
Blora,2024,7290.0
Boalemo,2018,4364.19
Boalemo,2019,4210.2
Boalemo,2020,4346.63
Boalemo,2021,5201.01
Boalemo,2022,5322.2
Boalemo,2023,6074.46
Boalemo,2024,5390.0
Bogor,2018,8198.15
Bogor,2019,7885.0
Bogor,2020,7248.19
Bogor,2021,7494.37
Bogor,2022,8458.67
Bogor,2023,8664.73
Bogor,2024,7776.0
Bojonegoro,2018,5503.41
Bojonegoro,2019,4872.37
Bojonegoro,2020,5141.68
Bojonegoro,2021,5135.35
Bojonegoro,2022,6056.82
Bojonegoro,2023,5499.28
Bojonegoro,2024,5814.0
Bolaang Mongondow,2018,5551.98
Bolaang Mongondow,2019,5843.77
Bolaang Mongondow,2020,6148.11
Bolaang Mongondow,2021,6740.57
Bolaang Mongondow,2022,6237.26
Bolaang Mongondow,2023,6385.56
Bolaang Mongondow,2024,7029.0
Bolaang Mongondow Selatan,2018,3972.15
Bolaang Mongondow Selatan,2019,5262.25
Bolaang Mongondow Selatan,2020,4596.15
Bolaang Mongondow Selatan,2021,5086.76
Bolaang Mongondow Selatan,2022,4796.77
Bolaang Mongondow Selatan,2023,5776.54
Bolaang Mongondow Selatan,2024,5679.0
Bolaang Mongondow Timur,2018,5537.03
Bolaang Mongondow Timur,2019,5724.73
