Kabupaten/Kota,Tahun,Angka Harapan Hidup
Alor,2022,60.08
Alor,2023,60.52
Alor,2024,60.78
Asahan,2018,65.76
Asahan,2019,66.07
Asahan,2020,66.22
Asahan,2021,66.34
Asahan,2022,66.63
Asahan,2023,67.15
Asahan,2024,67.34
Asmat,2018,55.12
Asmat,2019,55.74
Asmat,2020,56.28
Asmat,2021,56.83
Asmat,2022,57.15
Asmat,2023,57.44
Asmat,2024,57.54
Badung,2018,72.81
Badung,2019,73.11
Badung,2020,73.26
Badung,2021,73.35
Badung,2022,73.63
Badung,2023,74.02
Badung,2024,74.21
Balangan,2018,65.35
Balangan,2019,65.56
Balangan,2020,65.71
Balangan,2021,65.87
Balangan,2022,66.1
Balangan,2023,66.45
Balangan,2024,66.65
Bandung,2018,71.3
Bandung,2019,71.45
Bandung,2020,71.67
Bandung,2021,71.94
Bandung,2022,72.14
Bandung,2023,72.5
Bandung,2024,72.73
Bandung Barat,2018,70.04
Bandung Barat,2019,70.2
Bandung Barat,2020,70.43
Bandung Barat,2021,70.7
Bandung Barat,2022,70.88
Bandung Barat,2023,71.07
Bandung Barat,2024,71.23
Banggai,2018,68.29
Banggai,2019,68.58
Banggai,2020,68.9
Banggai,2021,68.9
Banggai,2022,68.9
Banggai,2023,69.09
Banggai,2024,69.16
Banggai Kepulauan,2018,63.15
Banggai Kepulauan,2019,63.72
Banggai Kepulauan,2020,64.33
Banggai Kepulauan,2021,64.64
Banggai Kepulauan,2022,64.77
Banggai Kepulauan,2023,64.95
Banggai Kepulauan,2024,65.15
Banggai Laut,2018,62.26
Banggai Laut,2019,62.82
Banggai Laut,2020,63.42
Banggai Laut,2021,63.72
Banggai Laut,2022,63.84
Banggai Laut,2023,64.18
Banggai Laut,2024,64.41
Bangka,2018,68.71
Bangka,2019,68.98
Bangka,2020,69.06
Bangka,2021,69.15
Bangka,2022,69.34
Bangka,2023,69.65
Bangka,2024,69.86
Bangka Barat,2018,67.78
Bangka Barat,2019,67.96
Bangka Barat,2020,68.05
Bangka Barat,2021,68.07
Bangka Barat,2022,68.19
Bangka Barat,2023,68.51
Bangka Barat,2024,68.67
Bangka Selatan,2018,65.45
Bangka Selatan,2019,65.86
Bangka Selatan,2020,66.1
Bangka Selatan,2021,66.26
Bangka Selatan,2022,66.51
Bangka Selatan,2023,67.05
Bangka Selatan,2024,67.31
Bangka Tengah,2018,68.74
Bangka Tengah,2019,69.15
Bangka Tengah,2020,69.39
Bangka Tengah,2021,69.57
Bangka Tengah,2022,69.84
Bangka Tengah,2023,70.16
Bangka Tengah,2024,70.4
Bangkalan,2018,67.91
Bangkalan,2019,68.08
Bangkalan,2020,68.15
Bangkalan,2021,68.19
Bangkalan,2022,68.45
Bangkalan,2023,68.86
Bangkalan,2024,69.04
Bangli,2018,68.03
Bangli,2019,68.34
Bangli,2020,68.51
Bangli,2021,68.61
Bangli,2022,68.9
Bangli,2023,69.4
Bangli,2024,69.68
Banjar,2018,64.65
Banjar,2019,64.96
Banjar,2020,65.22
Banjar,2021,65.45
Banjar,2022,65.72
Banjar,2023,66.07
Banjar,2024,66.32
Banjarnegara,2018,71.99
Banjarnegara,2019,72.09
Banjarnegara,2020,72.31
Banjarnegara,2021,72.4
Banjarnegara,2022,72.49
Banjarnegara,2023,72.71
Banjarnegara,2024,72.98
Bantaeng,2018,68.15
Bantaeng,2019,68.4
Bantaeng,2020,68.45
Bantaeng,2021,68.45
Bantaeng,2022,68.72
Bantaeng,2023,69.17
Bantaeng,2024,69.36
Bantul,2018,71.72
Bantul,2019,71.84
Bantul,2020,71.96
Bantul,2021,71.97
Bantul,2022,71.98
Bantul,2023,72.13
Bantul,2024,72.43
Banyu Asin,2018,66.61
Banyu Asin,2019,66.72
Banyu Asin,2020,66.8
Banyu Asin,2021,66.83
Banyu Asin,2022,67.01
Banyu Asin,2023,67.83
Banyu Asin,2024,68.03
Banyumas,2018,71.5
Banyumas,2019,71.59
Banyumas,2020,71.8
Banyumas,2021,71.93
Banyumas,2022,72.06
Banyumas,2023,72.2
Banyumas,2024,72.56
Banyuwangi,2018,68.33
Banyuwangi,2019,68.52
Banyuwangi,2020,68.61
Banyuwangi,2021,68.67
Banyuwangi,2022,68.94
Banyuwangi,2023,69.44
Banyuwangi,2024,69.63
Barito Kuala,2018,63.61
Barito Kuala,2019,63.89
Barito Kuala,2020,64.13
Barito Kuala,2021,64.33
Barito Kuala,2022,64.58
Barito Kuala,2023,64.89
Barito Kuala,2024,65.15
Barito Selatan,2018,64.86
Barito Selatan,2019,64.97
Barito Selatan,2020,65.08
Barito Selatan,2021,65.17
Barito Selatan,2022,65.41
Barito Selatan,2023,65.81
Barito Selatan,2024,65.92
Barito Timur,2018,66.02
Barito Timur,2019,66.09
Barito Timur,2020,66.16
Barito Timur,2021,66.24
Barito Timur,2022,66.47
Barito Timur,2023,66.97
Barito Timur,2024,67.08
Barito Utara,2018,69.26
Barito Utara,2019,69.29
Barito Utara,2020,69.3
Barito Utara,2021,69.31
Barito Utara,2022,69.47
Barito Utara,2023,69.73
Barito Utara,2024,69.85
Barru,2018,66.56
Barru,2019,66.87
Barru,2020,66.99
Barru,2021,67.04
Barru,2022,67.26
Barru,2023,67.62
Barru,2024,67.81
Batang,2018,72.66
Batang,2019,72.69
Batang,2020,72.84
Batang,2021,72.89
Batang,2022,72.93
Batang,2023,73.12
Batang,2024,73.42
Batang Hari,2018,68.24
Batang Hari,2019,68.42
Batang Hari,2020,68.61
Batang Hari,2021,68.7
Batang Hari,2022,68.97
Batang Hari,2023,69.29
Batang Hari,2024,69.61
Batu Bara,2018,64.38
Batu Bara,2019,64.74
Batu Bara,2020,64.95
Batu Bara,2021,65.13
Batu Bara,2022,65.44
Batu Bara,2023,65.94
Batu Bara,2024,66.17
Bekasi,2018,71.5
Bekasi,2019,71.62
Bekasi,2020,71.81
Bekasi,2021,71.99
Bekasi,2022,72.17
Bekasi,2023,72.53
Bekasi,2024,72.75
Belitung,2018,68.62
Belitung,2019,68.92
Belitung,2020,69.04
Belitung,2021,69.09
Belitung,2022,69.24
Belitung,2023,69.6
Belitung,2024,69.81
Belitung Timur,2018,69.58
Belitung Timur,2019,69.91
Belitung Timur,2020,70.07
Belitung Timur,2021,70.15
Belitung Timur,2022,70.35
Belitung Timur,2023,70.62
Belitung Timur,2024,70.88
Belu,2018,61.85
Belu,2019,62.39
Belu,2020,62.68
Belu,2021,63.0
Belu,2022,63.36
Belu,2023,63.74
Belu,2024,64.03
Bener Meriah,2018,66.96
Bener Meriah,2019,67.16
Bener Meriah,2020,67.21
Bener Meriah,2021,67.27
Bener Meriah,2022,67.49
Bener Meriah,2023,67.71
Bener Meriah,2024,67.87
Bengkalis,2018,68.83
Bengkalis,2019,69.1
Bengkalis,2020,69.22
Bengkalis,2021,69.28
Bengkalis,2022,69.48
Bengkalis,2023,69.84
Bengkalis,2024,69.97
Bengkayang,2018,71.32
Bengkayang,2019,71.73
Bengkayang,2020,71.92
Bengkayang,2021,72.06
Bengkayang,2022,72.31
Bengkayang,2023,72.41
Bengkayang,2024,72.7
Bengkulu Selatan,2018,65.51
Bengkulu Selatan,2019,65.75
Bengkulu Selatan,2020,65.86
Bengkulu Selatan,2021,65.86
Bengkulu Selatan,2022,66.06
Bengkulu Selatan,2023,66.45
Bengkulu Selatan,2024,66.59
Bengkulu Tengah,2018,65.88
Bengkulu Tengah,2019,66.08
Bengkulu Tengah,2020,66.14
Bengkulu Tengah,2021,66.14
Bengkulu Tengah,2022,66.31
Bengkulu Tengah,2023,66.58
Bengkulu Tengah,2024,66.7
Bengkulu Utara,2018,65.71
Bengkulu Utara,2019,66.0
Bengkulu Utara,2020,66.16
Bengkulu Utara,2021,66.2
Bengkulu Utara,2022,66.36
Bengkulu Utara,2023,66.83
Bengkulu Utara,2024,67.05
Berau,2018,69.68
Berau,2019,69.96
Berau,2020,70.1
Berau,2021,70.34
Berau,2022,70.34
Berau,2023,70.45
Berau,2024,70.62
Biak Numfor,2018,66.06
Biak Numfor,2019,66.16
Biak Numfor,2020,66.17
Biak Numfor,2021,66.17
Biak Numfor,2022,66.23
Biak Numfor,2023,66.81
Biak Numfor,2024,66.92
Bima,2018,63.71
Bima,2019,64.11
Bima,2020,64.42
Bima,2021,64.59
Bima,2022,64.9
Bima,2023,65.34
Bima,2024,65.59
Bintan,2018,68.2
Bintan,2019,68.27
Bintan,2020,68.34
Bintan,2021,68.41
Bintan,2022,68.66
Bintan,2023,69.16
Bintan,2024,69.28
Bireuen,2018,68.92
Bireuen,2019,69.15
Bireuen,2020,69.23
Bireuen,2021,69.26
Bireuen,2022,69.45
Bireuen,2023,69.72
Bireuen,2024,69.88
Blitar,2018,71.2
Blitar,2019,71.44
Blitar,2020,71.58
Blitar,2021,71.69
Blitar,2022,72.01
Blitar,2023,72.59
Blitar,2024,72.76
Blora,2018,72.22
Blora,2019,72.32
Blora,2020,72.54
Blora,2021,72.66
Blora,2022,72.78
Blora,2023,72.95
Blora,2024,73.26
Boalemo,2018,66.2
Boalemo,2019,66.79
Boalemo,2020,67.06
Boalemo,2021,67.34
Boalemo,2022,67.66
Boalemo,2023,67.99
Boalemo,2024,68.19
Bogor,2018,68.85
Bogor,2019,69.01
Bogor,2020,69.24
Bogor,2021,69.52
Bogor,2022,69.72
Bogor,2023,69.97
Bogor,2024,70.2
Bojonegoro,2018,69.05
Bojonegoro,2019,69.35
Bojonegoro,2020,69.57
Bojonegoro,2021,69.75
Bojonegoro,2022,70.15
Bojonegoro,2023,70.61
Bojonegoro,2024,70.79
Bolaang Mongondow,2018,66.83
Bolaang Mongondow,2019,67.18
Bolaang Mongondow,2020,67.33
Bolaang Mongondow,2021,67.43
Bolaang Mongondow,2022,67.72
Bolaang Mongondow,2023,68.15
Bolaang Mongondow,2024,68.39
Bolaang Mongondow Selatan,2018,62.29
Bolaang Mongondow Selatan,2019,62.48
Bolaang Mongondow Selatan,2020,62.58
Bolaang Mongondow Selatan,2021,62.67
Bolaang Mongondow Selatan,2022,62.95
Bolaang Mongondow Selatan,2023,63.07
Bolaang Mongondow Selatan,2024,63.23
Bolaang Mongondow Timur,2018,65.53
Bolaang Mongondow Timur,2019,65.77
Bolaang Mongondow Timur,2020,65.8
Bolaang Mongondow Timur,2021,65.83
Bolaang Mongondow Timur,2022,66.06
Bolaang Mongondow Timur,2023,66.57
Bolaang Mongondow Timur,2024,66.79
Bolaang Mongondow Utara,2018,65.18
Bolaang Mongondow Utara,2019,65.51
Bolaang Mongondow Utara,2020,65.63
Bolaang Mongondow Utara,2021,65.7
Bolaang Mongondow Utara,2022,65.97
Bolaang Mongondow Utara,2023,66.39
Bolaang Mongondow Utara,2024,66.62
Bombana,2018,66.13
Bombana,2019,66.5
Bombana,2020,66.75
Bombana,2021,66.93
Bombana,2022,67.02
Bombana,2023,67.19
Bombana,2024,67.56
Bondowoso,2018,64.27
Bondowoso,2019,64.54
Bondowoso,2020,64.71
Bondowoso,2021,64.85
Bondowoso,2022,65.18
Bondowoso,2023,65.66
Bondowoso,2024,65.82
Bone,2018,64.5
Bone,2019,64.87
Bone,2020,65.04
Bone,2021,65.16
Bone,2022,65.35
Bone,2023,65.91
Bone,2024,66.16
Bone Bolango,2018,65.98
Bone Bolango,2019,66.34
Bone Bolango,2020,66.36
Bone Bolango,2021,66.38
Bone Bolango,2022,66.56
Bone Bolango,2023,67.31
Bone Bolango,2024,67.56
Boven Digoel,2018,57.32
Boven Digoel,2019,57.78
Boven Digoel,2020,58.16
Boven Digoel,2021,58.53
Boven Digoel,2022,58.97
Boven Digoel,2023,59.17
Boven Digoel,2024,59.37
Boyolali,2018,73.94
Boyolali,2019,73.98
Boyolali,2020,74.15
Boyolali,2021,74.24
Boyolali,2022,74.32
Boyolali,2023,74.39
Boyolali,2024,74.75
Brebes,2018,66.75
Brebes,2019,67.01
Brebes,2020,67.4
Brebes,2021,67.64
Brebes,2022,67.83
Brebes,2023,68.03
Brebes,2024,68.37
Buleleng,2018,69.35
Buleleng,2019,69.68
Buleleng,2020,69.87
Buleleng,2021,69.99
Buleleng,2022,70.29
Buleleng,2023,70.74
Buleleng,2024,70.95
Bulukumba,2018,65.24
Bulukumba,2019,65.66
Bulukumba,2020,65.88
Bulukumba,2021,66.05
Bulukumba,2022,66.29
Bulukumba,2023,66.91
Bulukumba,2024,67.07
Bulungan,2018,71.48
Bulungan,2019,71.53
Bulungan,2020,71.61
Bulungan,2021,71.69
Bulungan,2022,71.71
Bulungan,2023,71.72
Bulungan,2024,71.75
Bungo,2018,65.4
Bungo,2019,65.58
Bungo,2020,65.77
Bungo,2021,65.87
Bungo,2022,66.14
Bungo,2023,66.48
Bungo,2024,66.77
Buol,2018,65.56
Buol,2019,66.13
Buol,2020,66.74
Buol,2021,67.04
Buol,2022,67.19
Buol,2023,67.8
Buol,2024,68.07
Buru,2018,64.17
Buru,2019,64.32
Buru,2020,64.41
Buru,2021,64.43
Buru,2022,64.65
Buru,2023,65.1
Buru,2024,65.28
Buru Selatan,2018,63.93
Buru Selatan,2019,64.13
Buru Selatan,2020,64.28
Buru Selatan,2021,64.37
Buru Selatan,2022,64.65
Buru Selatan,2023,65.04
Buru Selatan,2024,65.22
Buton,2018,65.56
Buton,2019,65.88
Buton,2020,66.1
Buton,2021,66.23
Buton,2022,66.27
Buton,2023,66.39
Buton,2024,66.73
Buton Selatan,2018,65.4
Buton Selatan,2019,65.47
Buton Selatan,2020,65.5
Buton Selatan,2021,65.54
Buton Selatan,2022,65.59
Buton Selatan,2023,65.66
Buton Selatan,2024,66.02
Buton Tengah,2018,65.4
Buton Tengah,2019,65.47
Buton Tengah,2020,65.5
Buton Tengah,2021,65.53
Buton Tengah,2022,65.62
Buton Tengah,2023,65.7
Buton Tengah,2024,66.08
Buton Utara,2018,68.57
Buton Utara,2019,68.73
Buton Utara,2020,68.77
Buton Utara,2021,68.81
Buton Utara,2022,68.86
Buton Utara,2023,68.91
Buton Utara,2024,69.16
Ciamis,2018,69.31
Ciamis,2019,69.58
Ciamis,2020,69.92
Ciamis,2021,70.19
Ciamis,2022,70.39
Ciamis,2023,70.61
Ciamis,2024,70.9
Cianjur,2018,67.67
Cianjur,2019,67.89
Cianjur,2020,68.17
Cianjur,2021,68.45
Cianjur,2022,68.62
Cianjur,2023,68.87
Cianjur,2024,69.03
Cilacap,2018,71.43
Cilacap,2019,71.58
Cilacap,2020,71.85
Cilacap,2021,72.05
Cilacap,2022,72.25
Cilacap,2023,72.48
Cilacap,2024,72.79
Cirebon,2018,69.66
Cirebon,2019,69.83
Cirebon,2020,70.08
Cirebon,2021,70.34
Cirebon,2022,70.54
Cirebon,2023,70.79
Cirebon,2024,71.03
Dairi,2018,66.36
Dairi,2019,66.75
Dairi,2020,66.99
Dairi,2021,67.2
Dairi,2022,67.58
Dairi,2023,68.18
Dairi,2024,68.35
Deiyai,2018,62.86
Deiyai,2019,63.13
Deiyai,2020,63.32
Deiyai,2021,63.48
Deiyai,2022,63.72
Deiyai,2023,64.04
Deiyai,2024,64.17
Deli Serdang,2018,69.3
Deli Serdang,2019,69.61
Deli Serdang,2020,69.76
Deli Serdang,2021,69.88
Deli Serdang,2022,70.17
Deli Serdang,2023,70.35
Deli Serdang,2024,70.52
Demak,2018,73.45
Demak,2019,73.46
Demak,2020,73.59
Demak,2021,73.64
Demak,2022,73.69
Demak,2023,73.77
Demak,2024,74.07
Dharmasraya,2018,68.71
Dharmasraya,2019,69.09
Dharmasraya,2020,69.35
Dharmasraya,2021,69.55
Dharmasraya,2022,69.91
Dharmasraya,2023,70.29
Dharmasraya,2024,70.63
Dogiyai,2018,63.34
Dogiyai,2019,63.62
Dogiyai,2020,63.8
Dogiyai,2021,63.97
Dogiyai,2022,64.19
Dogiyai,2023,64.48
Dogiyai,2024,64.58
Dompu,2018,64.19
Dompu,2019,64.59
Dompu,2020,64.89
Dompu,2021,65.07
Dompu,2022,65.38
Dompu,2023,65.82
Dompu,2024,66.05
Donggala,2018,64.37
Donggala,2019,64.84
Donggala,2020,65.34
Donggala,2021,65.53
Donggala,2022,65.63
Donggala,2023,65.91
Donggala,2024,66.07
Empat Lawang,2018,62.58
Empat Lawang,2019,62.84
Empat Lawang,2020,63.09
Empat Lawang,2021,63.2
Empat Lawang,2022,63.45
Empat Lawang,2023,63.84
Empat Lawang,2024,63.97
Ende,2018,62.77
Ende,2019,63.19
Ende,2020,63.36
Ende,2021,63.56
Ende,2022,63.89
Ende,2023,64.22
Ende,2024,64.39
Enrekang,2018,68.53
Enrekang,2019,68.82
Enrekang,2020,68.9
Enrekang,2021,68.92
Enrekang,2022,69.11
Enrekang,2023,69.41
Enrekang,2024,69.57
Fakfak,2018,66.08
Fakfak,2019,66.37
Fakfak,2020,66.51
Fakfak,2021,66.58
Fakfak,2022,66.74
Fakfak,2023,67.08
Fakfak,2024,67.09
Flores Timur,2018,62.73
Flores Timur,2019,63.12
Flores Timur,2020,63.26
Flores Timur,2021,63.42
Flores Timur,2022,63.72
Flores Timur,2023,64.07
Flores Timur,2024,64.31
Garut,2018,69.01
Garut,2019,69.21
Garut,2020,69.49
Garut,2021,69.74
Garut,2022,69.74
Garut,2023,70.12
Garut,2024,70.32
Gayo Lues,2018,63.15
Gayo Lues,2019,63.4
Gayo Lues,2020,63.5
Gayo Lues,2021,63.55
Gayo Lues,2022,63.76
Gayo Lues,2023,64.02
Gayo Lues,2024,64.13
Gianyar,2018,71.31
Gianyar,2019,71.62
Gianyar,2020,71.78
Gianyar,2021,71.87
Gianyar,2022,72.16
Gianyar,2023,72.75
Gianyar,2024,72.94
Gorontalo,2018,65.07
Gorontalo,2019,65.42
Gorontalo,2020,65.45
Gorontalo,2021,65.46
Gorontalo,2022,65.63
Gorontalo,2023,66.15
Gorontalo,2024,67.16
Gorontalo Utara,2018,63.36
Gorontalo Utara,2019,63.8
Gorontalo Utara,2020,63.91
Gorontalo Utara,2021,64.02
Gorontalo Utara,2022,64.3
Gorontalo Utara,2023,64.76
Gorontalo Utara,2024,65.03
Gowa,2018,68.07
Gowa,2019,68.35
Gowa,2020,68.42
Gowa,2021,68.43
Gowa,2022,68.61
Gowa,2023,68.96
Gowa,2024,69.13
Gresik,2018,70.48
Gresik,2019,70.64
Gresik,2020,70.69
Gresik,2021,70.71
Gresik,2022,70.95
Gresik,2023,71.2
Gresik,2024,71.33
Grobogan,2018,72.65
Grobogan,2019,72.71
Grobogan,2020,72.9
Grobogan,2021,73.0
Grobogan,2022,73.1
Grobogan,2023,73.3
Grobogan,2024,73.59
Gunung Kidul,2018,72.01
Gunung Kidul,2019,72.11
Gunung Kidul,2020,72.21
Gunung Kidul,2021,72.26
Gunung Kidul,2022,72.27
Gunung Kidul,2023,72.49
Gunung Kidul,2024,72.78
Gunung Mas,2018,68.23
Gunung Mas,2019,68.29
Gunung Mas,2020,68.34
Gunung Mas,2021,68.38
Gunung Mas,2022,68.56
Gunung Mas,2023,69.03
Gunung Mas,2024,69.17
Halmahera Barat,2018,63.79
Halmahera Barat,2019,64.13
Halmahera Barat,2020,64.28
Halmahera Barat,2021,64.37
Halmahera Barat,2022,64.63
Halmahera Barat,2023,64.99
Halmahera Barat,2024,65.2
Halmahera Selatan,2018,63.44
Halmahera Selatan,2019,63.77
Halmahera Selatan,2020,63.9
Halmahera Selatan,2021,63.97
Halmahera Selatan,2022,64.22
Halmahera Selatan,2023,64.59
Halmahera Selatan,2024,64.79
Halmahera Tengah,2018,61.21
Halmahera Tengah,2019,61.69
Halmahera Tengah,2020,61.99
Halmahera Tengah,2021,62.24
Halmahera Tengah,2022,62.5
Halmahera Tengah,2023,63.18
Halmahera Tengah,2024,63.47
Halmahera Timur,2018,66.14
Halmahera Timur,2019,66.61
Halmahera Timur,2020,66.89
Halmahera Timur,2021,67.11
Halmahera Timur,2022,67.51
Halmahera Timur,2023,67.97
Halmahera Timur,2024,68.12
Halmahera Utara,2018,67.13
Halmahera Utara,2019,67.44
Halmahera Utara,2020,67.55
Halmahera Utara,2021,67.6
Halmahera Utara,2022,67.82
Halmahera Utara,2023,68.19
Halmahera Utara,2024,68.43
Hulu Sungai Selatan,2018,63.61
Hulu Sungai Selatan,2019,63.83
Hulu Sungai Selatan,2020,64.01
Hulu Sungai Selatan,2021,64.19
Hulu Sungai Selatan,2022,64.53
Hulu Sungai Selatan,2023,64.98
Hulu Sungai Selatan,2024,65.25
Hulu Sungai Tengah,2018,63.55
Hulu Sungai Tengah,2019,63.83
Hulu Sungai Tengah,2020,64.06
Hulu Sungai Tengah,2021,64.3
Hulu Sungai Tengah,2022,64.56
Hulu Sungai Tengah,2023,64.94
Hulu Sungai Tengah,2024,65.19
Hulu Sungai Utara,2018,61.29
Hulu Sungai Utara,2019,61.62
Hulu Sungai Utara,2020,61.92
Hulu Sungai Utara,2021,62.22
Hulu Sungai Utara,2022,62.6
Hulu Sungai Utara,2023,63.09
Hulu Sungai Utara,2024,63.38
Humbang Hasundutan,2018,66.65
Humbang Hasundutan,2019,67.03
Humbang Hasundutan,2020,67.25
Humbang Hasundutan,2021,67.45
Humbang Hasundutan,2022,67.83
Humbang Hasundutan,2023,68.35
Humbang Hasundutan,2024,68.58
Indragiri Hilir,2018,65.3
Indragiri Hilir,2019,65.63
Indragiri Hilir,2020,65.81
Indragiri Hilir,2021,65.94
Indragiri Hilir,2022,66.19
Indragiri Hilir,2023,66.68
Indragiri Hilir,2024,66.77
Indragiri Hulu,2018,67.95
Indragiri Hulu,2019,68.17
Indragiri Hulu,2020,68.24
Indragiri Hulu,2021,68.24
Indragiri Hulu,2022,68.38
Indragiri Hulu,2023,68.77
Indragiri Hulu,2024,68.94
Indramayu,2018,69.09
Indramayu,2019,69.37
Indramayu,2020,69.72
Indramayu,2021,70.01
Indramayu,2022,70.24
Indramayu,2023,70.5
Indramayu,2024,70.8
Intan Jaya,2018,63.37
Intan Jaya,2019,63.52
Intan Jaya,2020,63.58
Intan Jaya,2021,63.61
Intan Jaya,2022,63.89
Intan Jaya,2023,64.22
Intan Jaya,2024,64.27
Jayapura,2018,64.8
Jayapura,2019,64.91
Jayapura,2020,64.93
Jayapura,2021,64.93
Jayapura,2022,64.98
Jayapura,2023,65.84
Jayapura,2024,66.12
Jayawijaya,2018,57.15
Jayawijaya,2019,57.54
Jayawijaya,2020,57.84
Jayawijaya,2021,58.13
Jayawijaya,2022,58.47
Jayawijaya,2023,58.71
Jayawijaya,2024,58.86
Jember,2018,66.7
Jember,2019,66.96
Jember,2020,67.11
Jember,2021,67.24
Jember,2022,67.58
Jember,2023,68.11
Jember,2024,68.28
Jembrana,2018,69.92
Jembrana,2019,70.23
Jembrana,2020,70.4
Jembrana,2021,70.5
Jembrana,2022,70.79
Jembrana,2023,71.14
Jembrana,2024,71.34
Jeneponto,2018,63.9
Jeneponto,2019,64.24
Jeneponto,2020,64.38
Jeneponto,2021,64.47
Jeneponto,2022,64.72
Jeneponto,2023,65.07
Jeneponto,2024,65.23
Jepara,2018,73.86
Jepara,2019,73.89
Jepara,2020,74.04
Jepara,2021,74.11
Jepara,2022,74.18
Jepara,2023,74.24
Jepara,2024,74.54
Jombang,2018,70.05
Jombang,2019,70.29
Jombang,2020,70.43
Jombang,2021,70.53
Jombang,2022,70.85
Jombang,2023,71.15
Jombang,2024,71.28
Kaimana,2018,62.28
Kaimana,2019,62.67
Kaimana,2020,62.92
Kaimana,2021,63.06
Kaimana,2022,63.28
Kaimana,2023,63.74
Kaimana,2024,63.96
Kampar,2018,68.34
Kampar,2019,68.62
Kampar,2020,68.75
Kampar,2021,68.81
Kampar,2022,69.02
Kampar,2023,69.49
Kampar,2024,69.62
Kapuas,2018,66.59
Kapuas,2019,66.65
Kapuas,2020,66.71
Kapuas,2021,66.76
Kapuas,2022,66.96
Kapuas,2023,67.3
Kapuas,2024,67.41
Kapuas Hulu,2018,70.12
Kapuas Hulu,2019,70.46
Kapuas Hulu,2020,70.57
Kapuas Hulu,2021,70.63
Kapuas Hulu,2022,70.79
Kapuas Hulu,2023,70.91
Kapuas Hulu,2024,71.03
Karanganyar,2018,75.58
Karanganyar,2019,75.59
Karanganyar,2020,75.72
Karanganyar,2021,75.81
Karanganyar,2022,75.89
Karanganyar,2023,75.94
Karanganyar,2024,76.25
Karangasem,2018,68.02
Karangasem,2019,68.32
Karangasem,2020,68.47
Karangasem,2021,68.57
Karangasem,2022,68.85
Karangasem,2023,69.31
Karangasem,2024,69.59
Karawang,2018,69.81
Karawang,2019,69.99
Karawang,2020,70.25
Karawang,2021,70.5
Karawang,2022,70.69
Karawang,2023,70.93
Karawang,2024,71.1
Karimun,2018,68.49
Karimun,2019,68.69
Karimun,2020,68.91
Karimun,2021,69.11
Karimun,2022,69.5
Karimun,2023,70.06
Karimun,2024,70.24
Karo,2018,68.95
Karo,2019,69.27
Karo,2020,69.42
Karo,2021,69.55
Karo,2022,69.85
Karo,2023,70.32
Karo,2024,70.48
Katingan,2018,63.64
Katingan,2019,63.71
Katingan,2020,63.77
Katingan,2021,63.84
