Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Barito Kuala,2022,7.96,7.3
Barito Kuala,2023,8.16,7.32
Barito Kuala,2024,8.19,7.55
Barito Selatan,2018,9.13,8.43
Barito Selatan,2019,9.14,8.45
Barito Selatan,2020,9.25,8.47
Barito Selatan,2021,9.43,8.59
Barito Selatan,2022,9.5,8.64
Barito Selatan,2023,9.51,8.89
Barito Selatan,2024,9.64,8.92
Barito Timur,2018,9.65,8.75
Barito Timur,2019,9.66,8.92
Barito Timur,2020,9.67,8.93
Barito Timur,2021,9.68,8.97
Barito Timur,2022,9.77,9.08
Barito Timur,2023,9.9,9.24
Barito Timur,2024,9.93,9.39
Barito Utara,2018,8.94,8.19
Barito Utara,2019,8.95,8.2
Barito Utara,2020,9.03,8.31
Barito Utara,2021,9.09,8.45
Barito Utara,2022,9.1,8.6
Barito Utara,2023,9.11,8.61
Barito Utara,2024,9.12,8.62
Barru,2018,8.07,7.68
Barru,2019,8.16,7.79
Barru,2020,8.39,8.08
Barru,2021,8.4,8.09
Barru,2022,8.41,8.15
Barru,2023,8.69,8.46
Barru,2024,8.96,8.72
Batang,2018,7.32,6.16
Batang,2019,7.33,6.17
Batang,2020,7.43,6.53
Batang,2021,7.44,6.54
Batang,2022,7.55,6.55
Batang,2023,7.56,6.77
Batang,2024,7.57,6.78
Batang Hari,2018,8.27,7.35
Batang Hari,2019,8.28,7.72
Batang Hari,2020,8.55,7.98
Batang Hari,2021,8.56,7.99
Batang Hari,2022,8.57,8.08
Batang Hari,2023,8.59,8.09
Batang Hari,2024,8.71,8.22
Batu Bara,2018,8.12,7.57
Batu Bara,2019,8.36,7.68
Batu Bara,2020,8.37,7.86
Batu Bara,2021,8.38,7.87
Batu Bara,2022,8.53,8.16
Batu Bara,2023,8.74,8.42
Batu Bara,2024,8.75,8.43
Bekasi,2018,9.47,8.34
Bekasi,2019,9.48,8.34
Bekasi,2020,9.76,8.62
Bekasi,2021,9.77,8.82
Bekasi,2022,9.79,9.07
Bekasi,2023,9.8,9.17
Bekasi,2024,9.99,9.34
Belitung,2018,8.49,7.8
Belitung,2019,8.82,8.06
Belitung,2020,8.94,8.07
Belitung,2021,8.95,8.08
Belitung,2022,8.96,8.36
Belitung,2023,9.08,8.65
Belitung,2024,9.1,8.8
Belitung Timur,2018,8.38,7.85
Belitung Timur,2019,8.39,7.86
Belitung Timur,2020,8.46,8.05
