Kabupaten/Kota,Tahun,Garis Kemiskinan
Bolaang Mongondow,2022,355639.0
Bolaang Mongondow,2023,394032.0
Bolaang Mongondow,2024,415628.0
Bolaang Mongondow Selatan,2018,295875.0
Bolaang Mongondow Selatan,2019,316305.0
Bolaang Mongondow Selatan,2020,327648.0
Bolaang Mongondow Selatan,2021,345819.0
Bolaang Mongondow Selatan,2022,358465.0
Bolaang Mongondow Selatan,2023,397381.0
Bolaang Mongondow Selatan,2024,419865.0
Bolaang Mongondow Timur,2018,302924.0
Bolaang Mongondow Timur,2019,323989.0
Bolaang Mongondow Timur,2020,335241.0
Bolaang Mongondow Timur,2021,353872.0
Bolaang Mongondow Timur,2022,368578.0
Bolaang Mongondow Timur,2023,411409.0
Bolaang Mongondow Timur,2024,433873.0
Bolaang Mongondow Utara,2018,238645.0
Bolaang Mongondow Utara,2019,254835.0
Bolaang Mongondow Utara,2020,264227.0
Bolaang Mongondow Utara,2021,275369.0
Bolaang Mongondow Utara,2022,283627.0
Bolaang Mongondow Utara,2023,316327.0
Bolaang Mongondow Utara,2024,334448.0
Bombana,2018,288201.0
Bombana,2019,308396.0
Bombana,2020,325949.0
Bombana,2021,346726.0
Bombana,2022,368576.0
Bombana,2023,406706.0
Bombana,2024,423183.0
Bondowoso,2018,363443.0
Bondowoso,2019,380350.0
Bondowoso,2020,408352.0
Bondowoso,2021,423150.0
Bondowoso,2022,449760.0
Bondowoso,2023,494000.0
Bondowoso,2024,517741.0
Bone,2018,309076.0
Bone,2019,325422.0
Bone,2020,345009.0
Bone,2021,360177.0
Bone,2022,380513.0
Bone,2023,408244.0
Bone,2024,423727.0
Bone Bolango,2018,363982.0
Bone Bolango,2019,380029.0
Bone Bolango,2020,424275.0
Bone Bolango,2021,449543.0
Bone Bolango,2022,475874.0
Bone Bolango,2023,505252.0
Bone Bolango,2024,531286.0
Boven Digoel,2018,452723.0
Boven Digoel,2019,458012.0
Boven Digoel,2020,486179.0
Boven Digoel,2021,520245.0
Boven Digoel,2022,550445.0
Boven Digoel,2023,585228.0
Boven Digoel,2024,622315.0
Boyolali,2018,304575.0
Boyolali,2019,332996.0
Boyolali,2020,347520.0
Boyolali,2021,361922.0
Boyolali,2022,383030.0
Boyolali,2023,420339.0
Boyolali,2024,442071.0
Brebes,2018,405932.0
Brebes,2019,414642.0
Brebes,2020,431897.0
Brebes,2021,445853.0
Brebes,2022,472326.0
Brebes,2023,513339.0
Brebes,2024,542495.0
Buleleng,2018,395678.0
Buleleng,2019,401377.0
Buleleng,2020,424602.0
Buleleng,2021,461018.0
Buleleng,2022,496390.0
Buleleng,2023,537262.0
Buleleng,2024,570129.0
Bulukumba,2018,310753.0
Bulukumba,2019,330161.0
Bulukumba,2020,351180.0
Bulukumba,2021,369022.0
Bulukumba,2022,390040.0
Bulukumba,2023,406882.0
Bulukumba,2024,422111.0
Bulungan,2018,413294.0
Bulungan,2019,448548.0
Bulungan,2020,472569.0
Bulungan,2021,486524.0
Bulungan,2022,514320.0
Bulungan,2023,551925.0
Bulungan,2024,572546.0
Bungo,2018,366226.0
Bungo,2019,390439.0
Bungo,2020,422801.0
Bungo,2021,436020.0
Bungo,2022,470545.0
Bungo,2023,517119.0
Bungo,2024,607714.0
Buol,2018,332163.0
Buol,2019,351135.0
Buol,2020,375794.0
Buol,2021,387444.0
Buol,2022,410824.0
Buol,2023,438363.0
Buol,2024,477640.0
Buru,2018,420083.0
Buru,2019,463169.0
Buru,2020,492055.0
Buru,2021,503254.0
Buru,2022,530858.0
Buru,2023,584277.0
Buru,2024,610346.0
Buru Selatan,2018,542747.0
Buru Selatan,2019,596469.0
Buru Selatan,2020,628659.0
Buru Selatan,2021,644441.0
Buru Selatan,2022,677044.0
Buru Selatan,2023,743721.0
Buru Selatan,2024,769919.0
Buton,2018,233201.0
Buton,2019,254013.0
Buton,2020,262541.0
Buton,2021,270212.0
Buton,2022,279627.0
Buton,2023,302183.0
Buton,2024,313831.0
Buton Selatan,2018,214859.0
Buton Selatan,2019,235847.0
Buton Selatan,2020,248184.0
Buton Selatan,2021,253877.0
Buton Selatan,2022,264666.0
Buton Selatan,2023,290203.0
Buton Selatan,2024,300991.0
Buton Tengah,2018,231289.0
Buton Tengah,2019,251702.0
Buton Tengah,2020,264699.0
Buton Tengah,2021,273354.0
Buton Tengah,2022,275058.0
Buton Tengah,2023,299593.0
Buton Tengah,2024,310721.0
Buton Utara,2018,306437.0
Buton Utara,2019,331555.0
Buton Utara,2020,345039.0
Buton Utara,2021,355288.0
Buton Utara,2022,373792.0
Buton Utara,2023,403834.0
Buton Utara,2024,422483.0
Ciamis,2018,357382.0
Ciamis,2019,363750.0
Ciamis,2020,378108.0
Ciamis,2021,389676.0
Ciamis,2022,405294.0
Ciamis,2023,442108.0
Ciamis,2024,467497.0
Cianjur,2018,340882.0
Cianjur,2019,350760.0
Cianjur,2020,371699.0
Cianjur,2021,387631.0
Cianjur,2022,406829.0
Cianjur,2023,437327.0
Cianjur,2024,466509.0
Cilacap,2018,320106.0
Cilacap,2019,337572.0
Cilacap,2020,351735.0
Cilacap,2021,363367.0
Cilacap,2022,384955.0
Cilacap,2023,419429.0
Cilacap,2024,441093.0
Cirebon,2018,370747.0
Cirebon,2019,381372.0
Cirebon,2020,393452.0
Cirebon,2021,404635.0
Cirebon,2022,416914.0
Cirebon,2023,451853.0
Cirebon,2024,475046.0
Dairi,2018,325176.0
Dairi,2019,341511.0
Dairi,2020,380275.0
Dairi,2021,408893.0
Dairi,2022,436713.0
Dairi,2023,463360.0
Dairi,2024,502924.0
Deiyai,2018,561857.0
Deiyai,2019,579263.0
Deiyai,2020,608868.0
Deiyai,2021,627742.0
Deiyai,2022,647902.0
Deiyai,2023,709749.0
Deiyai,2024,770492.0
Deli Serdang,2018,381173.0
Deli Serdang,2019,390440.0
Deli Serdang,2020,413202.0
Deli Serdang,2021,428123.0
Deli Serdang,2022,448489.0
Deli Serdang,2023,479509.0
Deli Serdang,2024,508139.0
Demak,2018,402211.0
Demak,2019,411202.0
Demak,2020,432533.0
Demak,2021,445176.0
Demak,2022,471818.0
Demak,2023,511145.0
Demak,2024,535134.0
Dharmasraya,2018,414096.0
Dharmasraya,2019,439117.0
Dharmasraya,2020,477421.0
Dharmasraya,2021,503183.0
Dharmasraya,2022,530693.0
Dharmasraya,2023,581058.0
Dharmasraya,2024,622190.0
Dogiyai,2018,477674.0
Dogiyai,2019,492905.0
Dogiyai,2020,512654.0
Dogiyai,2021,557009.0
Dogiyai,2022,592213.0
Dogiyai,2023,653007.0
Dogiyai,2024,709423.0
Dompu,2018,284188.0
Dompu,2019,328740.0
Dompu,2020,362142.0
Dompu,2021,370120.0
Dompu,2022,404413.0
Dompu,2023,442451.0
Dompu,2024,469647.0
Donggala,2018,308212.0
Donggala,2019,336404.0
Donggala,2020,360483.0
Donggala,2021,369784.0
Donggala,2022,395028.0
Donggala,2023,421493.0
Donggala,2024,438396.0
Empat Lawang,2018,306546.0
Empat Lawang,2019,315699.0
Empat Lawang,2020,341007.0
Empat Lawang,2021,360378.0
Empat Lawang,2022,384199.0
Empat Lawang,2023,411191.0
Empat Lawang,2024,421747.0
Ende,2018,358986.0
Ende,2019,363508.0
Ende,2020,392591.0
Ende,2021,428328.0
Ende,2022,473403.0
Ende,2023,518939.0
Ende,2024,528259.0
Enrekang,2018,312674.0
Enrekang,2019,331667.0
Enrekang,2020,338731.0
Enrekang,2021,352147.0
Enrekang,2022,371669.0
Enrekang,2023,408198.0
Enrekang,2024,427556.0
Fakfak,2018,498184.0
Fakfak,2019,544783.0
Fakfak,2020,578510.0
Fakfak,2021,596406.0
Fakfak,2022,628418.0
Fakfak,2023,671021.0
Fakfak,2024,725257.0
Flores Timur,2018,281757.0
Flores Timur,2019,279268.0
Flores Timur,2020,301611.0
Flores Timur,2021,329340.0
Flores Timur,2022,364117.0
Flores Timur,2023,405486.0
Flores Timur,2024,412744.0
Garut,2018,282683.0
Garut,2019,301202.0
Garut,2020,310437.0
Garut,2021,320050.0
Garut,2022,335134.0
Garut,2023,367681.0
Garut,2024,393464.0
Gayo Lues,2018,368583.0
Gayo Lues,2019,387893.0
Gayo Lues,2020,425529.0
Gayo Lues,2021,438689.0
Gayo Lues,2022,470221.0
Gayo Lues,2023,514836.0
Gayo Lues,2024,557201.0
Gianyar,2018,378561.0
Gianyar,2019,382380.0
Gianyar,2020,400079.0
Gianyar,2021,407945.0
Gianyar,2022,434163.0
Gianyar,2023,468307.0
Gianyar,2024,500797.0
Gorontalo,2018,409179.0
Gorontalo,2019,425827.0
Gorontalo,2020,475102.0
Gorontalo,2021,502964.0
Gorontalo,2022,531294.0
Gorontalo,2023,568430.0
Gorontalo,2024,605743.0
Gorontalo Utara,2018,267806.0
Gorontalo Utara,2019,278746.0
Gorontalo Utara,2020,311200.0
Gorontalo Utara,2021,327531.0
Gorontalo Utara,2022,346557.0
Gorontalo Utara,2023,371302.0
Gorontalo Utara,2024,387535.0
Gowa,2018,365503.0
Gowa,2019,385820.0
Gowa,2020,390917.0
Gowa,2021,408435.0
Gowa,2022,429222.0
Gowa,2023,456719.0
Gowa,2024,475305.0
Gresik,2018,438704.0
Gresik,2019,466154.0
Gresik,2020,492628.0
Gresik,2021,505499.0
Gresik,2022,536544.0
Gresik,2023,588316.0
Gresik,2024,608828.0
Grobogan,2018,366192.0
Grobogan,2019,375521.0
Grobogan,2020,395001.0
Grobogan,2021,404456.0
Grobogan,2022,428597.0
Grobogan,2023,464614.0
Grobogan,2024,489208.0
Gunung Kidul,2018,288748.0
Gunung Kidul,2019,301125.0
Gunung Kidul,2020,319851.0
Gunung Kidul,2021,325907.0
Gunung Kidul,2022,350739.0
Gunung Kidul,2023,382249.0
Gunung Kidul,2024,401209.0
Gunung Mas,2018,388864.0
Gunung Mas,2019,403045.0
Gunung Mas,2020,438881.0
Gunung Mas,2021,456984.0
Gunung Mas,2022,479550.0
Gunung Mas,2023,526341.0
Gunung Mas,2024,562332.0
Halmahera Barat,2018,316381.0
Halmahera Barat,2019,324849.0
Halmahera Barat,2020,339283.0
Halmahera Barat,2021,358707.0
Halmahera Barat,2022,379108.0
Halmahera Barat,2023,414870.0
Halmahera Barat,2024,455327.0
Halmahera Selatan,2018,290627.0
Halmahera Selatan,2019,310161.0
Halmahera Selatan,2020,324767.0
Halmahera Selatan,2021,343323.0
Halmahera Selatan,2022,362100.0
Halmahera Selatan,2023,400768.0
Halmahera Selatan,2024,449334.0
Halmahera Tengah,2018,429805.0
Halmahera Tengah,2019,454180.0
Halmahera Tengah,2020,466973.0
Halmahera Tengah,2021,491657.0
Halmahera Tengah,2022,507555.0
Halmahera Tengah,2023,552350.0
Halmahera Tengah,2024,593903.0
Halmahera Timur,2018,510899.0
Halmahera Timur,2019,545238.0
Halmahera Timur,2020,569464.0
Halmahera Timur,2021,600339.0
Halmahera Timur,2022,624983.0
Halmahera Timur,2023,631233.0
Halmahera Timur,2024,655936.0
Halmahera Utara,2018,228092.0
Halmahera Utara,2019,238878.0
Halmahera Utara,2020,248544.0
Halmahera Utara,2021,263507.0
Halmahera Utara,2022,301041.0
Halmahera Utara,2023,378968.0
Halmahera Utara,2024,425857.0
Hulu Sungai Selatan,2018,444455.0
Hulu Sungai Selatan,2019,461581.0
Hulu Sungai Selatan,2020,528622.0
Hulu Sungai Selatan,2021,494203.0
Hulu Sungai Selatan,2022,516857.0
Hulu Sungai Selatan,2023,547855.0
Hulu Sungai Selatan,2024,583549.0
Hulu Sungai Tengah,2018,354214.0
Hulu Sungai Tengah,2019,365008.0
Hulu Sungai Tengah,2020,417778.0
Hulu Sungai Tengah,2021,425438.0
Hulu Sungai Tengah,2022,444331.0
Hulu Sungai Tengah,2023,475655.0
Hulu Sungai Tengah,2024,513950.0
Hulu Sungai Utara,2018,420783.0
Hulu Sungai Utara,2019,436997.0
Hulu Sungai Utara,2020,488237.0
Hulu Sungai Utara,2021,501994.0
Hulu Sungai Utara,2022,526919.0
Hulu Sungai Utara,2023,561429.0
Hulu Sungai Utara,2024,597894.0
Humbang Hasundutan,2018,329189.0
Humbang Hasundutan,2019,336500.0
Humbang Hasundutan,2020,374768.0
Humbang Hasundutan,2021,397237.0
Humbang Hasundutan,2022,419180.0
Humbang Hasundutan,2023,451625.0
Humbang Hasundutan,2024,487256.0
Indragiri Hilir,2018,435202.0
Indragiri Hilir,2019,450728.0
Indragiri Hilir,2020,495305.0
Indragiri Hilir,2021,518283.0
Indragiri Hilir,2022,568879.0
Indragiri Hilir,2023,597122.0
Indragiri Hilir,2024,629570.0
Indragiri Hulu,2018,457871.0
Indragiri Hulu,2019,474298.0
