Kabupaten/Kota,Tahun,Pengeluaran Perkapita Buah-Buahan
Bengkulu Tengah,2022,5201.14
Bengkulu Tengah,2023,5808.0
Bengkulu Tengah,2024,8525.0
Bengkulu Utara,2018,6006.0
Bengkulu Utara,2019,4317.0
Bengkulu Utara,2020,6069.0
Bengkulu Utara,2021,5906.0
Bengkulu Utara,2022,7420.77
Bengkulu Utara,2023,6637.22
Bengkulu Utara,2024,9730.0
Berau,2018,9601.0
Berau,2019,15053.0
Berau,2020,10744.0
Berau,2021,9057.0
Berau,2022,9600.56
Berau,2023,12348.27
Berau,2024,11214.0
Biak Numfor,2018,3987.0
Biak Numfor,2019,4955.0
Biak Numfor,2020,11322.0
Biak Numfor,2021,5116.0
Biak Numfor,2022,4378.1
Biak Numfor,2023,5000.47
Biak Numfor,2024,4719.0
Bima,2018,5155.0
Bima,2019,4480.0
Bima,2020,4162.0
Bima,2021,6223.0
Bima,2022,5364.98
Bima,2023,7630.0
Bima,2024,7682.0
Bintan,2018,4482.0
Bintan,2019,5037.0
Bintan,2020,5846.0
Bintan,2021,5066.0
Bintan,2022,7917.76
Bintan,2023,5144.92
Bintan,2024,7609.0
Bireuen,2018,4780.0
Bireuen,2019,5499.0
Bireuen,2020,5691.0
Bireuen,2021,8455.0
Bireuen,2022,10612.13
Bireuen,2023,7543.48
Bireuen,2024,7497.0
Blitar,2018,6240.0
Blitar,2019,5574.0
Blitar,2020,5312.0
Blitar,2021,4598.0
Blitar,2022,5014.33
Blitar,2023,6546.07
Blitar,2024,7179.0
Blora,2018,3786.0
Blora,2019,5373.0
Blora,2020,5000.0
Blora,2021,5037.0
Blora,2022,5672.97
Blora,2023,5755.71
Blora,2024,6715.0
Boalemo,2018,2785.0
Boalemo,2019,4248.0
Boalemo,2020,5089.0
Boalemo,2021,3411.0
Boalemo,2022,3853.06
Boalemo,2023,4917.08
Boalemo,2024,9107.0
Bogor,2018,8015.0
Bogor,2019,6564.0
Bogor,2020,5656.0
Bogor,2021,6393.0
Bogor,2022,7429.8
Bogor,2023,6417.83
Bogor,2024,8432.0
Bojonegoro,2018,4463.0
Bojonegoro,2019,4083.0
Bojonegoro,2020,4278.0
Bojonegoro,2021,4870.0
Bojonegoro,2022,4968.92
Bojonegoro,2023,5750.32
Bojonegoro,2024,5945.0
Bolaang Mongondow,2018,3617.0
Bolaang Mongondow,2019,9579.0
Bolaang Mongondow,2020,10116.0
Bolaang Mongondow,2021,4781.0
Bolaang Mongondow,2022,6505.94
Bolaang Mongondow,2023,5772.41
Bolaang Mongondow,2024,11944.0
Bolaang Mongondow Selatan,2018,4873.0
Bolaang Mongondow Selatan,2019,7437.0
Bolaang Mongondow Selatan,2020,10002.0
Bolaang Mongondow Selatan,2021,5041.0
Bolaang Mongondow Selatan,2022,8358.82
Bolaang Mongondow Selatan,2023,10068.8
Bolaang Mongondow Selatan,2024,7601.0
Bolaang Mongondow Timur,2018,4941.0
Bolaang Mongondow Timur,2019,9526.0
Bolaang Mongondow Timur,2020,12511.0
Bolaang Mongondow Timur,2021,5765.0
Bolaang Mongondow Timur,2022,5746.93
Bolaang Mongondow Timur,2023,8934.48
Bolaang Mongondow Timur,2024,11453.0
Bolaang Mongondow Utara,2018,3237.0
Bolaang Mongondow Utara,2019,5923.0
Bolaang Mongondow Utara,2020,5704.0
Bolaang Mongondow Utara,2021,5385.0
Bolaang Mongondow Utara,2022,4776.11
Bolaang Mongondow Utara,2023,4892.78
Bolaang Mongondow Utara,2024,8437.0
Bombana,2018,5392.0
Bombana,2019,7824.0
Bombana,2020,7440.0
Bombana,2021,3073.0
Bombana,2022,5189.14
Bombana,2023,5230.58
Bombana,2024,11181.0
Bondowoso,2018,4747.0
Bondowoso,2019,3279.0
Bondowoso,2020,3760.0
Bondowoso,2021,4457.0
Bondowoso,2022,4160.2
Bondowoso,2023,6012.98
Bondowoso,2024,7335.0
Bone,2018,4128.0
Bone,2019,5431.0
Bone,2020,4939.0
Bone,2021,2985.0
Bone,2022,5290.18
Bone,2023,4259.64
Bone,2024,6602.0
Bone Bolango,2018,3830.0
Bone Bolango,2019,5974.0
Bone Bolango,2020,7157.0
Bone Bolango,2021,4923.0
Bone Bolango,2022,4336.36
Bone Bolango,2023,4684.6
Bone Bolango,2024,6949.0
Boven Digoel,2018,7298.0
Boven Digoel,2019,17690.0
Boven Digoel,2020,8649.0
Boven Digoel,2021,2537.0
Boven Digoel,2022,8910.99
Boven Digoel,2023,6250.96
Boven Digoel,2024,12218.0
Boyolali,2018,5139.0
Boyolali,2019,4650.0
Boyolali,2020,4880.0
Boyolali,2021,5204.0
Boyolali,2022,5533.8
Boyolali,2023,6377.69
Boyolali,2024,7864.0
Brebes,2018,5988.0
Brebes,2019,5059.0
Brebes,2020,5019.0
Brebes,2021,4651.0
Brebes,2022,5286.64
Brebes,2023,5719.25
Brebes,2024,6117.0
Buleleng,2018,7742.0
Buleleng,2019,6501.0
Buleleng,2020,7992.0
Buleleng,2021,7229.0
Buleleng,2022,7525.92
Buleleng,2023,6784.95
Buleleng,2024,9003.0
Bulukumba,2018,11414.0
Bulukumba,2019,9209.0
Bulukumba,2020,9198.0
Bulukumba,2021,8125.0
Bulukumba,2022,10394.31
Bulukumba,2023,9360.29
Bulukumba,2024,13161.0
Bulungan,2018,5526.0
Bulungan,2019,6989.0
Bulungan,2020,10042.0
Bulungan,2021,7588.0
Bulungan,2022,5396.12
Bulungan,2023,12263.53
Bulungan,2024,11905.0
Bungo,2018,5836.0
Bungo,2019,5363.0
Bungo,2020,5565.0
Bungo,2021,5375.0
Bungo,2022,6502.4
Bungo,2023,7700.33
Bungo,2024,20638.0
Buol,2018,2757.0
Buol,2019,9549.0
Buol,2020,9926.0
Buol,2021,4116.0
Buol,2022,7629.04
Buol,2023,4963.06
Buol,2024,7971.0
Buru,2018,7286.0
Buru,2019,7710.0
Buru,2020,7967.0
Buru,2021,3521.0
Buru,2022,5304.56
Buru,2023,10017.34
Buru,2024,11280.0
Buru Selatan,2018,4128.0
Buru Selatan,2019,5589.0
Buru Selatan,2020,7196.0
Buru Selatan,2021,4292.0
Buru Selatan,2022,6762.04
Buru Selatan,2023,5264.16
Buru Selatan,2024,7552.0
Buton,2018,2945.0
Buton,2019,4548.0
Buton,2020,5700.0
Buton,2021,2873.0
Buton,2022,4309.3
Buton,2023,4282.52
Buton,2024,7895.0
Buton Selatan,2018,1865.0
Buton Selatan,2019,4167.0
Buton Selatan,2020,5446.0
Buton Selatan,2021,2088.0
Buton Selatan,2022,3048.79
Buton Selatan,2023,3147.49
Buton Selatan,2024,5527.0
Buton Tengah,2018,4480.0
Buton Tengah,2019,4697.0
Buton Tengah,2020,4234.0
Buton Tengah,2021,2988.0
Buton Tengah,2022,4291.48
Buton Tengah,2023,4133.76
Buton Tengah,2024,5255.0
Buton Utara,2018,4610.0
Buton Utara,2019,5214.0
Buton Utara,2020,6786.0
Buton Utara,2021,3222.0
Buton Utara,2022,5185.9
Buton Utara,2023,4522.33
Buton Utara,2024,7081.0
Ciamis,2018,8967.0
Ciamis,2019,7677.0
Ciamis,2020,6991.0
Ciamis,2021,5517.0
Ciamis,2022,6569.29
Ciamis,2023,7067.85
Ciamis,2024,11979.0
Cianjur,2018,6873.0
Cianjur,2019,4735.0
Cianjur,2020,5264.0
Cianjur,2021,5357.0
Cianjur,2022,4476.65
Cianjur,2023,5697.97
Cianjur,2024,9679.0
Cilacap,2018,5556.0
Cilacap,2019,5182.0
Cilacap,2020,4883.0
Cilacap,2021,3887.0
Cilacap,2022,4973.38
Cilacap,2023,5842.99
Cilacap,2024,6445.0
Cirebon,2018,4622.0
Cirebon,2019,4551.0
Cirebon,2020,5428.0
Cirebon,2021,4064.0
Cirebon,2022,6087.76
Cirebon,2023,6202.79
Cirebon,2024,6628.0
Dairi,2018,4320.0
Dairi,2019,5200.0
Dairi,2020,5454.0
Dairi,2021,4528.0
Dairi,2022,5718.48
Dairi,2023,7204.92
Dairi,2024,6396.0
Deiyai,2018,2471.0
Deiyai,2019,978.0
Deiyai,2020,673.0
Deiyai,2021,3604.0
Deiyai,2022,4111.25
Deiyai,2023,6416.94
Deiyai,2024,10349.0
Deli Serdang,2018,6060.0
Deli Serdang,2019,6913.0
Deli Serdang,2020,7419.0
Deli Serdang,2021,6236.0
Deli Serdang,2022,7505.4
Deli Serdang,2023,7259.24
Deli Serdang,2024,7165.0
Demak,2018,5726.0
Demak,2019,7170.0
Demak,2020,7044.0
Demak,2021,6936.0
Demak,2022,7860.33
Demak,2023,7813.25
Demak,2024,6398.0
Dharmasraya,2018,5477.0
Dharmasraya,2019,5345.0
Dharmasraya,2020,6633.0
Dharmasraya,2021,5695.0
Dharmasraya,2022,7029.7
Dharmasraya,2023,6239.9
Dharmasraya,2024,17839.0
Dogiyai,2018,1572.0
Dogiyai,2019,1227.0
Dogiyai,2020,1306.0
Dogiyai,2021,1435.0
Dogiyai,2022,1726.54
Dogiyai,2023,8310.24
Dogiyai,2024,17795.0
Dompu,2018,5855.0
Dompu,2019,4060.0
Dompu,2020,5950.0
Dompu,2021,5786.0
Dompu,2022,5282.64
Dompu,2023,6782.93
Dompu,2024,7094.0
Donggala,2018,3430.0
Donggala,2019,7784.0
Donggala,2020,7487.0
Donggala,2021,4032.0
Donggala,2022,3527.45
Donggala,2023,4194.69
Donggala,2024,7628.0
Empat Lawang,2018,4394.0
Empat Lawang,2019,3047.0
Empat Lawang,2020,5077.0
Empat Lawang,2021,3436.0
Empat Lawang,2022,4333.72
Empat Lawang,2023,4964.73
Empat Lawang,2024,9186.0
Ende,2018,3311.0
Ende,2019,2925.0
Ende,2020,3545.0
Ende,2021,3718.0
Ende,2022,4291.44
Ende,2023,4843.16
Ende,2024,4485.0
Enrekang,2018,4144.0
Enrekang,2019,7890.0
Enrekang,2020,9406.0
Enrekang,2021,3572.0
Enrekang,2022,4584.5
Enrekang,2023,7862.17
Enrekang,2024,16801.0
Fakfak,2018,15317.0
Fakfak,2019,11074.0
Fakfak,2020,23574.0
Fakfak,2021,6544.0
Fakfak,2022,12767.31
Fakfak,2023,10235.22
Fakfak,2024,15995.0
Flores Timur,2018,1882.0
Flores Timur,2019,2556.0
Flores Timur,2020,2937.0
Flores Timur,2021,2572.0
Flores Timur,2022,3611.13
Flores Timur,2023,3688.43
Flores Timur,2024,4450.0
Garut,2018,5026.0
Garut,2019,3751.0
Garut,2020,4137.0
Garut,2021,3611.0
Garut,2022,4611.47
Garut,2023,5279.32
Garut,2024,6602.0
Gayo Lues,2018,5998.0
Gayo Lues,2019,9219.0
Gayo Lues,2020,7678.0
Gayo Lues,2021,9139.0
Gayo Lues,2022,7629.51
Gayo Lues,2023,8835.76
Gayo Lues,2024,8731.0
Gianyar,2018,7866.0
Gianyar,2019,7425.0
Gianyar,2020,11413.0
Gianyar,2021,9261.0
Gianyar,2022,9971.36
Gianyar,2023,8778.08
Gianyar,2024,14206.0
Gorontalo,2018,3023.0
Gorontalo,2019,4527.0
Gorontalo,2020,6013.0
Gorontalo,2021,4324.0
Gorontalo,2022,4490.43
Gorontalo,2023,5590.88
Gorontalo,2024,5937.0
Gorontalo Utara,2018,1560.0
Gorontalo Utara,2019,4534.0
Gorontalo Utara,2020,5006.0
Gorontalo Utara,2021,3267.0
Gorontalo Utara,2022,4655.05
Gorontalo Utara,2023,5477.63
Gorontalo Utara,2024,7519.0
Gowa,2018,6110.0
Gowa,2019,5981.0
Gowa,2020,7009.0
Gowa,2021,4774.0
Gowa,2022,5705.33
Gowa,2023,6177.75
Gowa,2024,10935.0
Gresik,2018,7232.0
Gresik,2019,6105.0
Gresik,2020,7476.0
Gresik,2021,8278.0
Gresik,2022,8464.55
Gresik,2023,9496.53
Gresik,2024,11016.0
Grobogan,2018,4525.0
Grobogan,2019,4993.0
Grobogan,2020,4559.0
Grobogan,2021,4227.0
Grobogan,2022,6220.19
Grobogan,2023,6082.7
Grobogan,2024,7285.0
Gunung Kidul,2018,5197.0
Gunung Kidul,2019,4292.0
Gunung Kidul,2020,4620.0
Gunung Kidul,2021,5092.0
Gunung Kidul,2022,5797.21
Gunung Kidul,2023,5862.58
Gunung Kidul,2024,6372.0
Gunung Mas,2018,6984.0
Gunung Mas,2019,7276.0
Gunung Mas,2020,6307.0
Gunung Mas,2021,4099.0
Gunung Mas,2022,4896.39
Gunung Mas,2023,5498.31
Gunung Mas,2024,8568.0
Halmahera Barat,2018,5229.0
Halmahera Barat,2019,9815.0
Halmahera Barat,2020,12900.0
Halmahera Barat,2021,5532.0
Halmahera Barat,2022,9071.07
Halmahera Barat,2023,6963.17
Halmahera Barat,2024,9036.0
Halmahera Selatan,2018,6633.0
Halmahera Selatan,2019,9670.0
Halmahera Selatan,2020,10030.0
Halmahera Selatan,2021,4411.0
Halmahera Selatan,2022,7298.73
Halmahera Selatan,2023,7154.56
Halmahera Selatan,2024,11051.0
Halmahera Tengah,2018,7856.0
Halmahera Tengah,2019,10598.0
Halmahera Tengah,2020,8589.0
Halmahera Tengah,2021,4614.0
Halmahera Tengah,2022,5404.98
Halmahera Tengah,2023,10990.62
Halmahera Tengah,2024,13114.0
Halmahera Timur,2018,6874.0
Halmahera Timur,2019,8873.0
Halmahera Timur,2020,10567.0
Halmahera Timur,2021,6187.0
Halmahera Timur,2022,4899.12
Halmahera Timur,2023,6668.38
Halmahera Timur,2024,11973.0
Halmahera Utara,2018,3644.0
Halmahera Utara,2019,5728.0
Halmahera Utara,2020,12147.0
Halmahera Utara,2021,4781.0
Halmahera Utara,2022,7945.43
Halmahera Utara,2023,8372.49
Halmahera Utara,2024,12600.0
Hulu Sungai Selatan,2018,5209.0
Hulu Sungai Selatan,2019,6568.0
Hulu Sungai Selatan,2020,6276.0
Hulu Sungai Selatan,2021,4109.0
Hulu Sungai Selatan,2022,4387.76
Hulu Sungai Selatan,2023,4130.71
Hulu Sungai Selatan,2024,9124.0
Hulu Sungai Tengah,2018,4780.0
Hulu Sungai Tengah,2019,5632.0
Hulu Sungai Tengah,2020,5993.0
Hulu Sungai Tengah,2021,5053.0
Hulu Sungai Tengah,2022,3369.67
Hulu Sungai Tengah,2023,6313.2
Hulu Sungai Tengah,2024,10989.0
Hulu Sungai Utara,2018,5667.0
Hulu Sungai Utara,2019,5283.0
Hulu Sungai Utara,2020,4598.0
Hulu Sungai Utara,2021,3903.0
Hulu Sungai Utara,2022,4342.84
Hulu Sungai Utara,2023,4743.69
Hulu Sungai Utara,2024,7216.0
Humbang Hasundutan,2018,5432.0
Humbang Hasundutan,2019,5329.0
Humbang Hasundutan,2020,5326.0
Humbang Hasundutan,2021,7741.0
Humbang Hasundutan,2022,7349.31
Humbang Hasundutan,2023,7066.99
Humbang Hasundutan,2024,9631.0
Indragiri Hilir,2018,5156.0
Indragiri Hilir,2019,5061.0
Indragiri Hilir,2020,6729.0
Indragiri Hilir,2021,5592.0
Indragiri Hilir,2022,6705.29
Indragiri Hilir,2023,5295.81
Indragiri Hilir,2024,7742.0
Indragiri Hulu,2018,5851.0
Indragiri Hulu,2019,6334.0
Indragiri Hulu,2020,5875.0
Indragiri Hulu,2021,6107.0
Indragiri Hulu,2022,5856.74
Indragiri Hulu,2023,7435.1
Indragiri Hulu,2024,8600.0
Indramayu,2018,6397.0
Indramayu,2019,6970.0
Indramayu,2020,6731.0
Indramayu,2021,7732.0
Indramayu,2022,7884.79
Indramayu,2023,9202.6
Indramayu,2024,8692.0
Intan Jaya,2018,3430.0
Intan Jaya,2019,2727.0
Intan Jaya,2020,3374.0
Intan Jaya,2021,4783.0
Intan Jaya,2022,3879.81
Intan Jaya,2023,12492.03
Intan Jaya,2024,10747.0
Jayapura,2018,9216.0
Jayapura,2019,5397.0
Jayapura,2020,9292.0
Jayapura,2021,5984.0
Jayapura,2022,7907.69
Jayapura,2023,14115.25
Jayapura,2024,5247.0
Jayawijaya,2018,6542.0
Jayawijaya,2019,4254.0
Jayawijaya,2020,6649.0
Jayawijaya,2021,5945.0
Jayawijaya,2022,8838.23
Jayawijaya,2023,10699.34
Jayawijaya,2024,8185.0
Jember,2018,5359.0
Jember,2019,4109.0
Jember,2020,5807.0
Jember,2021,4691.0
Jember,2022,4772.73
Jember,2023,6534.52
Jember,2024,7380.0
Jembrana,2018,9174.0
Jembrana,2019,6033.0
Jembrana,2020,10261.0
Jembrana,2021,5945.0
Jembrana,2022,6518.11
Jembrana,2023,6723.07
Jembrana,2024,8224.0
Jeneponto,2018,4588.0
Jeneponto,2019,5246.0
Jeneponto,2020,5989.0
Jeneponto,2021,4079.0
Jeneponto,2022,4771.52
Jeneponto,2023,5009.78
Jeneponto,2024,6941.0
Jepara,2018,4577.0
Jepara,2019,3935.0
Jepara,2020,3959.0
Jepara,2021,5053.0
Jepara,2022,6607.45
Jepara,2023,5899.89
