Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Serang,6,2021,0.75,4.94,32.21,0.25,28.07,7.67,0.75,64.64,0.0
Kota Tangerang,6,2021,0.0,5.22,20.88,0.0,8.04,10.57,0.03,71.6,0.0
Kota Cilegon,6,2021,0.0,3.69,19.39,0.0,14.62,9.81,0.13,66.67,0.0
Kota Serang,5,2021,0.0,6.06,33.98,0.0,22.99,8.95,0.16,68.0,0.0
Kota Tangerang Selatan,6,2021,0.0,2.29,2.37,0.0,21.83,10.79,0.03,72.47,0.0
Jembrana,6,2021,1.15,4.51,31.65,0.0,15.58,7.74,0.91,72.35,0.0
Tabanan,6,2021,0.56,4.27,10.56,0.0,11.09,8.4,0.47,73.65,0.0
Badung,6,2021,1.14,2.02,11.29,0.19,4.86,9.96,0.13,75.1,0.0
Gianyar,6,2021,1.01,4.08,9.05,0.0,3.21,8.83,0.16,73.68,0.0
Klungkung,6,2021,1.13,4.87,21.37,0.19,17.72,7.47,0.25,71.25,0.0
Bangli,5,2021,2.57,4.19,30.03,0.09,33.38,7.02,0.38,70.52,0.0
Karangasem,6,2021,1.0,5.91,24.07,0.35,26.52,6.01,0.67,70.47,0.0
Buleleng,6,2021,1.87,5.32,37.83,0.22,21.36,7.11,0.66,71.83,0.0
Kota Denpasar,6,2021,0.0,2.14,5.04,0.11,0.92,11.23,0.02,74.82,0.0
Lombok Barat,5,2021,0.8,14.28,22.71,0.3,29.1,6.67,0.79,66.94,0.0
Lombok Tengah,6,2021,0.5,13.44,26.87,0.15,24.82,6.48,0.6,66.21,0.0
Lombok Timur,5,2021,0.76,15.24,31.9,0.1,32.7,7.11,0.43,65.97,0.0
Sumbawa,6,2021,0.16,13.65,18.5,0.31,18.09,7.78,2.78,67.54,0.0
Dompu,6,2021,0.14,12.16,19.08,0.57,32.03,8.55,1.68,66.82,0.0
Bima,6,2021,0.24,14.49,29.06,0.34,32.15,7.75,3.6,66.33,0.0
Sumbawa Barat,6,2021,0.27,13.34,16.92,0.0,12.82,8.83,2.15,68.07,0.0
Lombok Utara,5,2021,0.59,26.99,35.52,0.0,37.42,6.92,0.96,67.17,0.0
Kota Mataram,6,2021,0.0,8.47,12.51,0.11,4.25,9.63,0.02,71.76,0.0
Kota Bima,5,2021,0.0,8.35,13.12,0.14,12.78,10.8,0.35,70.38,0.0
Kupang,4,2021,0.74,22.77,46.08,10.86,33.86,7.5,6.56,64.63,0.0
Timor Tengah Selatan,3,2021,0.63,27.49,58.73,38.28,47.47,6.43,4.17,66.42,0.0
Timor Tengah Utara,4,2021,0.89,22.28,62.25,8.35,32.28,8.39,2.14,66.96,0.0
Belu,5,2021,0.62,15.37,39.3,9.47,31.18,7.95,1.56,64.61,0.0
Alor,4,2021,1.11,21.09,60.02,7.38,57.02,8.52,2.55,61.48,0.0
Flores Timur,5,2021,1.28,10.84,42.72,1.05,21.4,7.44,1.22,65.2,0.0
Sikka,5,2021,0.89,13.12,39.3,14.42,24.43,7.27,1.16,67.24,0.0
Ende,5,2021,1.06,23.76,43.48,5.1,15.99,8.02,3.1,65.29,0.0
Ngada,6,2021,0.43,12.51,39.34,7.02,24.44,8.96,2.38,68.04,0.0
Manggarai,5,2021,0.57,20.34,46.76,8.13,24.38,7.69,1.23,67.03,0.0
Sumba Timur,4,2021,0.54,29.65,45.6,7.1,37.64,7.86,10.02,65.13,0.0
Sumba Barat,4,2021,0.74,28.17,39.39,22.68,38.34,7.25,1.11,67.08,0.0
Lembata,5,2021,0.48,26.14,40.25,6.75,33.84,7.81,1.99,67.07,0.0
Rote Ndao,4,2021,0.88,27.54,51.74,6.74,18.52,8.18,2.53,64.6,0.0
Manggarai Barat,5,2021,0.31,17.71,39.95,10.08,35.68,7.22,3.42,67.38,0.0
Nagekeo,5,2021,0.63,12.61,34.59,4.05,41.61,8.27,2.12,67.13,0.0
Sumba Tengah,4,2021,0.4,34.49,48.3,17.6,61.46,7.9,4.27,68.38,0.0
Sumba Barat Daya,3,2021,0.48,28.0,74.81,35.4,69.85,6.59,1.67,68.53,0.0
Manggarai Timur,4,2021,0.53,26.52,74.66,36.14,49.1,7.3,2.51,68.04,0.0
Sabu Raijua,2,2021,2.25,30.18,58.23,5.76,45.18,7.72,1.15,60.64,0.0
Malaka,4,2021,0.41,16.04,49.28,9.87,59.88,7.26,1.62,64.97,0.0
Kota Kupang,6,2021,0.0,8.96,6.48,0.02,12.28,11.55,0.11,69.55,0.0
Sambas,5,2021,0.72,7.7,29.13,0.17,91.34,6.08,5.25,68.93,0.0
Mempawah,5,2021,0.71,4.95,23.78,0.69,79.21,7.75,4.43,71.04,0.0
Sanggau,6,2021,1.01,4.46,16.29,8.04,54.39,7.29,13.78,71.42,0.0
Ketapang,5,2021,0.84,10.29,22.09,6.44,57.17,7.27,18.63,71.1,0.0
Sintang,5,2021,1.64,9.27,25.56,5.3,44.36,7.23,12.09,71.71,0.0
Kapuas Hulu,5,2021,1.43,8.99,27.22,1.88,44.21,7.64,23.46,72.52,0.0
Bengkayang,6,2021,0.44,6.62,24.42,5.05,56.09,7.26,4.27,73.83,0.0
Landak,5,2021,0.44,11.12,26.25,13.14,59.02,7.3,8.95,72.84,0.0
Sekadau,5,2021,1.07,5.87,28.7,11.62,61.27,6.77,8.85,71.84,0.0
Melawi,3,2021,2.88,12.04,33.73,10.32,55.94,6.77,17.68,72.97,0.0
Kayong Utara,5,2021,0.46,9.56,21.43,0.76,75.01,6.15,10.96,68.28,0.0
Kubu Raya,5,2021,0.95,4.42,17.73,1.34,86.47,7.18,5.59,70.59,0.0
Kota Pontianak,5,2021,0.0,4.7,8.76,0.0,55.49,10.11,0.05,72.96,0.0
Kota Singkawang,5,2021,0.0,4.53,10.99,0.2,40.28,8.18,0.34,72.06,0.0
Kotawaringin Barat,4,2021,4.89,3.59,14.33,0.39,16.48,8.39,10.68,70.59,0.0
Kotawaringin Timur,6,2021,1.2,5.62,18.17,0.53,28.18,8.06,12.73,69.85,0.0
Kapuas,6,2021,0.32,5.04,34.11,2.24,46.43,8.17,9.94,68.74,0.0
Barito Selatan,6,2021,1.24,4.45,29.22,1.64,32.91,8.83,11.47,67.09,0.0
Barito Utara,6,2021,0.4,5.17,15.64,2.57,27.54,8.96,9.27,71.3,0.0
Katingan,6,2021,0.59,4.79,38.67,1.15,32.59,8.55,23.87,65.78,0.0
Seruyan,5,2021,2.67,6.85,13.81,1.12,18.8,8.14,21.22,69.26,0.0
Sukamara,5,2021,3.25,3.23,13.96,1.66,20.05,8.27,10.43,71.53,0.0
Lamandau,6,2021,1.37,3.09,17.68,3.12,22.05,8.47,11.6,69.36,0.0
Gunung Mas,3,2021,5.0,4.75,27.23,5.96,39.33,9.56,16.15,70.4,0.0
Pulang Pisau,6,2021,0.36,4.09,24.46,0.17,41.13,8.52,15.38,68.04,0.0
Murung Raya,4,2021,2.29,5.85,16.32,9.33,56.77,8.15,28.62,69.51,0.0
Barito Timur,6,2021,1.28,6.09,17.23,1.65,34.03,9.02,5.77,68.22,0.0
Kota Palangkaraya,6,2021,0.0,3.44,8.75,0.18,8.59,11.31,1.42,73.21,0.0
Tanah Laut,6,2021,0.34,4.26,20.83,0.2,43.82,7.88,2.94,69.45,0.0
Kotabaru,6,2021,0.93,4.22,27.33,1.18,31.41,7.26,10.1,69.21,0.0
Banjar,6,2021,0.53,2.55,28.1,0.26,33.9,7.31,2.39,67.21,0.0
Barito Kuala,6,2021,0.23,4.51,37.75,0.5,41.61,7.3,4.04,66.09,0.0
Tapin,6,2021,0.27,3.06,28.7,0.16,24.66,7.67,3.43,70.4,0.0
Hulu Sungai Selatan,6,2021,0.35,5.17,26.68,0.0,36.26,7.9,1.64,65.97,0.0
Hulu Sungai Tengah,6,2021,0.33,5.64,37.33,0.49,34.91,8.15,1.47,66.01,0.0
Hulu Sungai Utara,6,2021,0.43,6.14,11.57,0.44,25.41,7.93,1.1,63.83,0.0
Tabalong,6,2021,0.67,5.72,25.13,0.0,24.22,9.53,4.19,70.44,0.0
Tanah Bumbu,6,2021,0.7,4.6,15.77,0.54,12.08,8.19,3.44,70.34,0.0
Balangan,6,2021,0.85,5.32,26.45,0.91,26.45,7.76,3.27,67.72,0.0
Kota Banjarmasin,6,2021,0.0,4.39,15.03,0.0,4.71,10.11,0.02,71.13,0.0
Kota Banjarbaru,6,2021,0.0,4.01,12.89,0.0,22.4,10.79,0.35,71.99,0.0
Paser,6,2021,0.94,9.23,19.57,1.1,24.19,8.36,10.08,72.62,0.0
Kutai Kartanegara,6,2021,1.01,7.31,6.17,0.12,3.71,9.19,12.64,72.34,0.0
Berau,6,2021,0.75,5.19,5.74,0.46,5.09,9.49,18.48,72.06,0.0
Kutai Barat,3,2021,4.72,9.29,15.24,0.75,20.8,8.53,14.43,72.86,0.0
Kutai Timur,4,2021,3.5,9.55,13.56,2.25,13.16,9.15,19.0,73.16,0.0
Penajam Paser Utara,6,2021,0.64,7.36,12.78,0.0,7.4,8.35,4.44,71.41,0.0
Mahakam Ulu,3,2021,5.0,11.44,18.13,4.22,18.17,8.62,55.25,72.1,0.0
Kota Balikpapan,6,2021,0.0,2.57,3.37,0.0,2.59,10.44,0.18,74.49,0.0
Kota Samarinda,6,2021,0.0,4.76,5.04,0.22,2.22,10.34,0.21,74.27,0.0
Kota Bontang,6,2021,0.0,4.38,4.36,0.0,1.11,10.91,0.16,74.28,0.0
Bulungan,6,2021,1.55,9.06,14.4,0.68,24.14,8.58,15.75,72.66,0.0
Malinau,5,2021,2.07,6.63,13.31,0.17,18.5,9.29,54.16,71.45,0.0
Nunukan,6,2021,1.65,6.36,17.54,0.85,27.39,8.16,14.1,71.34,0.0
Tana Tidung,3,2021,4.59,4.81,14.42,0.04,40.27,8.06,19.09,71.42,0.0
Kota Tarakan,6,2021,0.0,6.24,5.04,0.0,5.83,9.86,0.23,73.97,0.0
Bolaang Mongondow,6,2021,0.14,7.27,20.05,0.36,33.19,8.33,4.12,69.36,0.0
Minahasa,6,2021,0.53,7.3,20.08,0.0,28.54,9.91,0.96,71.08,0.0
Kepulauan Sangihe,3,2021,5.0,11.14,32.78,3.07,28.21,8.74,0.57,70.1,0.0
Kepulauan Talaud,6,2021,0.71,9.49,17.44,0.56,35.18,9.97,2.1,70.16,0.0
Minahasa Selatan,6,2021,0.32,9.14,44.95,0.0,26.47,9.71,2.04,69.92,0.0
Minahasa Utara,6,2021,0.43,7.0,26.68,0.07,10.73,10.28,1.0,71.38,0.0
Minahasa Tenggara,6,2021,0.29,12.3,33.21,0.0,16.79,9.17,1.8,70.15,0.0
Bolaang Mongondow Utara,6,2021,0.27,8.41,25.39,0.0,34.16,9.08,3.13,67.66,0.0
Kep. Siau Tagulandang Biaro,3,2021,5.0,8.94,17.28,0.18,55.36,9.37,0.63,70.73,0.0
Bolaang Mongondow Timur,6,2021,0.46,5.88,25.0,0.3,39.65,8.42,2.57,67.89,0.0
Bolaang Mongondow Selatan,6,2021,1.05,12.77,28.52,0.63,23.5,8.53,3.48,64.49,0.0
Kota Manado,6,2021,0.0,5.86,7.94,0.13,2.19,10.82,0.05,71.87,0.0
Kota Bitung,6,2021,0.0,6.41,20.27,0.0,9.88,9.95,0.37,71.07,0.0
Kota Tomohon,6,2021,0.0,5.6,8.88,0.2,15.43,11.33,0.13,71.93,0.0
Kota Kotamobagu,6,2021,0.0,5.42,8.22,0.0,6.74,10.12,0.13,70.47,0.0
Banggai,6,2021,0.33,7.39,17.55,0.45,22.83,8.95,5.39,70.88,0.0
Poso,6,2021,0.32,15.45,15.88,0.0,19.14,9.58,5.09,71.18,0.0
Donggala,5,2021,0.66,17.39,26.5,1.78,40.06,8.15,4.54,67.33,0.0
Tolitoli,6,2021,0.5,12.85,27.76,1.9,21.99,8.77,3.13,65.9,0.0
Buol,6,2021,0.38,13.93,27.93,2.7,19.19,9.06,5.64,68.76,0.0
Morowali,6,2021,0.6,13.43,13.83,1.3,18.12,9.3,2.85,69.18,0.0
Banggai Kepulauan,4,2021,3.33,14.04,30.38,6.74,10.26,8.85,3.38,66.31,0.0
Parigi Moutong,5,2021,0.31,15.85,29.01,6.54,35.67,7.74,3.2,64.3,0.0
Tojo Una-Una,6,2021,0.55,16.39,38.85,5.11,9.98,8.33,5.89,65.67,0.0
Sigi,5,2021,0.37,12.45,29.03,3.64,48.13,8.62,6.77,69.99,0.0
Banggai Laut,2,2021,5.0,14.6,34.51,13.28,18.4,8.64,1.18,65.38,0.0
Morowali Utara,6,2021,0.48,14.1,25.49,5.23,23.11,8.61,13.43,69.61,0.0
Kota Palu,6,2021,0.0,6.8,5.85,0.0,7.57,11.35,0.14,71.04,0.0
Kepulauan Selayar,5,2021,2.11,12.48,34.88,0.9,14.03,8.49,1.21,68.46,0.0
Bulukumba,6,2021,0.29,7.1,42.97,0.81,23.78,8.42,1.0,67.92,0.0
Bantaeng,6,2021,0.27,8.95,41.9,0.14,9.98,7.52,0.39,70.54,0.0
Jeneponto,6,2021,0.23,14.58,43.2,0.38,16.24,7.24,0.51,66.39,0.0
Takalar,6,2021,0.39,8.44,24.7,0.14,16.49,8.01,0.69,67.18,0.0
Gowa,6,2021,0.29,7.38,29.52,0.38,28.38,8.53,1.28,70.43,0.0
Sinjai,6,2021,0.42,9.0,23.49,1.68,18.67,8.3,0.75,67.3,0.0
Bone,6,2021,0.16,10.68,21.24,0.31,28.11,7.56,2.58,67.07,0.0
Maros,6,2021,0.3,9.74,29.41,1.14,19.98,8.21,1.79,69.02,0.0
Pangkajene Dan Kepulauan,6,2021,0.46,13.96,30.79,0.84,27.6,7.93,0.53,66.66,0.0
Barru,6,2021,0.23,8.26,30.23,2.11,13.55,8.78,1.02,69.02,0.0
Soppeng,6,2021,0.11,7.59,25.55,0.63,47.37,8.18,2.13,69.65,0.0
Wajo,6,2021,0.11,6.95,28.9,0.41,29.86,7.12,1.6,67.35,0.0
Sidenreng Rappang,6,2021,0.12,5.05,22.71,0.1,35.39,8.04,1.26,69.83,0.0
Pinrang,6,2021,0.13,8.86,30.43,0.11,27.44,7.9,1.64,69.61,0.0
Enrekang,6,2021,0.38,12.17,46.36,0.67,28.91,9.19,1.57,70.91,0.0
Luwu,6,2021,0.24,12.65,29.02,2.42,34.52,8.93,2.46,70.34,0.0
Tana Toraja,5,2021,0.84,12.1,44.41,1.64,59.86,8.71,1.96,73.3,0.0
Luwu Utara,6,2021,0.28,13.41,40.04,0.56,40.19,7.75,7.63,68.51,0.0
Luwu Timur,6,2021,0.21,6.85,16.87,1.08,28.79,9.22,4.83,70.53,0.0
Toraja Utara,6,2021,0.68,12.01,40.66,0.32,38.63,8.52,1.04,73.39,0.0
Kota Makassar,6,2021,0.0,4.54,12.07,0.16,1.36,11.08,0.02,72.09,0.0
Kota Pare Pare,6,2021,0.0,5.44,10.01,0.0,10.75,10.53,0.08,71.27,0.0
Kota Palopo,6,2021,0.0,7.85,14.47,0.0,4.96,10.85,0.2,70.88,0.0
Kolaka,6,2021,0.69,11.63,29.24,1.02,16.26,9.45,3.06,71.06,0.0
Konawe,6,2021,0.22,12.2,23.27,0.56,12.38,9.01,3.45,70.27,0.0
Muna,6,2021,1.03,12.83,35.5,2.82,24.82,8.38,1.15,70.39,0.0
Buton,5,2021,1.47,13.21,42.72,0.85,14.96,8.34,2.74,68.25,0.0
Konawe Selatan,6,2021,0.51,10.74,29.14,1.08,19.12,7.94,5.24,70.8,0.0
Bombana,6,2021,0.35,10.01,25.59,0.66,7.94,8.35,5.34,68.91,0.0
Wakatobi,4,2021,2.5,14.31,27.75,0.46,31.08,8.36,1.11,70.41,0.0
Kolaka Utara,6,2021,0.99,12.96,34.42,1.05,13.72,8.92,4.77,70.36,0.0
Konawe Utara,5,2021,1.35,13.53,34.88,0.0,16.37,9.79,13.36,69.51,0.0
Buton Utara,5,2021,1.19,14.1,32.39,2.17,16.15,8.87,3.61,70.93,0.0
Kolaka Timur,6,2021,0.21,13.47,30.96,0.78,27.37,8.98,6.37,72.67,0.0
Konawe Kepulauan,5,2021,1.57,17.01,40.84,1.24,12.81,9.59,4.02,68.43,0.0
Muna Barat,6,2021,0.65,13.3,52.79,1.33,24.6,7.52,1.79,70.34,0.0
Buton Tengah,5,2021,1.36,15.32,44.79,0.33,7.39,6.59,1.5,67.66,0.0
Buton Selatan,5,2021,1.23,14.11,42.68,1.5,31.8,8.07,0.94,67.66,0.0
Kota Kendari,6,2021,0.0,4.34,9.27,0.17,7.66,11.93,0.12,73.77,0.0
Kota Bau Bau,6,2021,0.0,7.15,11.75,0.1,6.32,10.82,0.2,71.19,0.0
Gorontalo,6,2021,0.44,17.56,7.24,1.05,21.0,8.08,1.29,67.58,0.0
Boalemo,6,2021,0.09,18.57,26.87,2.25,17.5,7.71,2.47,69.07,0.0
Bone Bolango,6,2021,0.51,15.81,9.73,0.41,18.37,9.16,2.38,68.46,0.0
Pahuwato,6,2021,0.11,17.62,21.88,0.76,7.06,7.71,6.33,64.07,0.0
Gorontalo Utara,6,2021,0.17,16.88,18.41,1.94,19.09,7.97,2.8,65.87,0.0
Kota Gorontalo,6,2021,0.0,5.59,1.87,0.0,6.25,10.54,0.07,72.49,0.0
Mamuju Utara,6,2021,1.03,4.48,20.53,2.67,29.1,8.37,6.02,66.2,0.0
Mamuju,6,2021,0.36,6.92,24.78,0.79,27.32,8.41,3.04,67.52,0.0
Mamasa,5,2021,0.52,13.38,40.48,2.18,78.63,8.42,2.97,70.87,0.0
Polewali Mandar,5,2021,0.38,15.26,36.1,1.14,33.39,7.65,0.88,62.38,0.0
Majene,5,2021,1.58,13.73,28.65,0.65,24.85,8.84,0.97,61.56,0.0
Mamuju Tengah,6,2021,0.26,6.79,15.68,1.01,34.53,8.12,4.08,68.33,0.0
Maluku Tengah,5,2021,1.15,19.83,21.73,1.28,35.15,10.06,5.19,66.42,0.0
Maluku Tenggara,2,2021,5.0,22.57,6.97,7.7,21.97,9.89,1.38,65.07,0.0
Maluku Tenggara Barat,2,2021,5.0,27.11,21.58,6.29,22.53,9.79,11.69,63.42,0.0
Buru,6,2021,0.47,16.64,11.65,6.62,34.14,8.72,5.62,66.41,0.0
Seram Bagian Timur,3,2021,2.29,23.04,26.32,14.33,33.67,8.79,6.63,59.41,0.0
Seram Bagian Barat,3,2021,2.39,25.11,26.67,5.61,45.1,9.09,5.02,61.69,0.0
Kepulauan Aru,1,2021,5.0,26.26,15.78,23.14,36.41,9.0,14.33,62.87,0.0
Maluku Barat Daya,4,2021,1.13,29.15,8.49,7.49,29.0,9.09,8.28,62.38,0.0
Buru Selatan,3,2021,3.95,15.75,26.15,8.99,26.97,8.26,7.23,66.27,0.0
Kota Ambon,6,2021,0.0,4.51,2.35,0.13,11.98,11.87,0.17,70.52,0.0
Kota Tual,3,2021,0.0,22.51,4.48,2.03,15.41,10.65,0.75,65.47,0.0
Halmahera Barat,3,2021,5.0,8.82,13.93,0.38,39.41,8.96,2.7,66.25,0.0
Halmahera Tengah,2,2021,5.0,13.56,12.28,1.62,37.44,9.08,8.53,63.91,0.0
Halmahera Utara,4,2021,4.13,4.45,9.8,2.04,39.62,8.57,6.15,69.56,0.0
Halmahera Selatan,2,2021,5.0,5.21,18.33,8.73,37.64,7.83,7.62,65.86,0.0
Kepulauan Sula,3,2021,5.0,8.35,18.17,2.57,28.73,9.11,9.78,63.3,0.0
Halmahera Timur,5,2021,0.65,15.45,18.14,1.3,56.75,8.28,10.79,68.88,0.0
Pulau Morotai,4,2021,2.85,6.46,15.28,0.53,37.99,7.63,5.45,67.18,0.0
Pulau Taliabu,2,2021,5.0,7.3,20.46,14.25,53.22,8.17,3.82,62.1,0.0
Kota Ternate,6,2021,0.0,3.46,1.75,0.0,8.0,11.41,0.12,70.97,0.0
Kota Tidore Kepulauan,4,2021,0.0,6.52,10.62,0.0,35.28,10.05,2.77,69.34,0.0
Merauke,6,2021,0.27,10.03,16.64,5.73,29.61,8.75,91.58,67.0,0.0
Jayawijaya,1,2021,5.0,37.22,26.02,48.86,79.64,5.17,5.63,59.64,0.0
Jayapura,3,2021,4.49,12.44,11.17,1.9,29.31,9.84,21.07,67.05,0.0
Nabire,4,2021,2.34,24.15,21.4,7.79,19.07,9.77,14.56,68.06,0.0
Kepulauan Yapen,2,2021,5.0,26.3,17.09,24.54,31.22,9.13,5.01,69.12,0.0
Biak Numfor,2,2021,5.0,24.57,11.32,0.69,27.83,10.1,3.3,68.25,0.0
Puncak Jaya,1,2021,5.0,34.74,52.61,38.72,65.12,2.06,28.98,65.15,0.0
Paniai,1,2021,5.0,36.71,0.32,32.09,93.45,3.91,23.24,66.44,0.0
Mimika,3,2021,5.0,14.26,15.61,10.47,18.61,10.05,12.08,72.32,0.0
Sarmi,2,2021,5.0,13.87,55.06,4.28,42.04,8.95,32.65,66.36,0.0
Keerom,4,2021,2.6,16.32,23.7,13.12,34.87,7.63,21.99,66.69,0.0
Pegunungan Bintang,1,2021,5.0,30.15,65.22,52.39,58.08,4.14,63.2,64.44,0.0
Yahukimo,1,2021,5.0,37.34,51.36,70.27,88.78,3.79,84.13,65.93,0.0
Tolikara,1,2021,5.0,32.04,61.48,14.64,92.26,2.07,17.29,65.71,0.0
Waropen,2,2021,3.08,29.54,37.55,4.38,45.88,8.99,52.51,66.33,0.0
Boven Digoel,1,2021,5.0,19.41,20.79,10.0,39.54,8.24,39.21,59.97,0.0
Mappi,1,2021,5.0,25.04,43.45,25.11,76.99,5.53,51.88,65.11,0.0
Asmat,1,2021,5.0,25.49,39.46,40.38,93.45,4.6,73.62,58.05,0.0
Supiori,1,2021,5.0,36.91,53.99,8.4,86.9,8.84,2.73,65.94,0.0
Mamberamo Raya,1,2021,5.0,28.38,80.7,13.04,79.59,5.12,100.0,57.77,0.0
Mamberamo Tengah,1,2021,5.0,36.41,75.66,1.59,97.6,3.26,50.61,63.59,0.0
Yalimo,1,2021,5.0,32.82,28.61,35.16,71.53,4.99,30.85,65.42,0.0
Lanny Jaya,1,2021,5.0,38.13,59.52,6.6,93.63,1.36,14.52,66.06,0.0
Nduga,1,2021,5.0,36.72,32.47,57.09,99.71,2.42,100.0,55.27,0.0
Puncak,1,2021,5.0,36.96,91.88,54.87,98.12,1.98,38.28,65.74,0.0
Dogiyai,1,2021,5.0,28.62,26.26,87.02,98.7,2.78,66.71,65.73,0.0
Intan Jaya,1,2021,5.0,40.71,38.93,16.34,99.23,1.78,87.43,65.6,0.0
Deiyai,1,2021,5.0,41.76,6.39,53.55,99.24,2.83,100.0,65.24,0.0
Kota Jayapura,5,2021,0.0,11.16,4.39,0.93,3.38,11.11,0.5,70.45,0.0
Sorong,3,2021,3.03,27.48,17.09,1.55,36.28,9.15,9.48,66.1,0.0
Manokwari,5,2021,2.02,20.14,6.05,0.0,21.28,9.7,3.14,68.68,0.0
Fakfak,2,2021,5.0,22.27,32.72,3.53,43.55,10.45,21.57,68.47,0.0
Sorong Selatan,1,2021,5.0,18.28,43.89,9.86,64.23,8.68,16.2,66.25,0.0
Raja Ampat,2,2021,5.0,17.01,39.31,8.9,44.27,8.64,24.57,64.74,0.0
Teluk Bintuni,1,2021,5.0,29.39,25.86,3.23,37.12,9.69,46.11,60.83,0.0
Teluk Wondama,1,2021,5.0,30.91,43.3,4.42,73.65,10.06,17.96,60.1,0.0
Kaimana,2,2021,5.0,15.5,29.1,11.68,41.9,9.45,27.07,64.81,0.0
Tambrauw,1,2021,5.0,32.8,51.62,26.56,73.91,7.34,100.0,60.13,0.0
Maybrat,1,2021,5.0,30.78,27.71,11.15,64.01,9.42,40.76,65.19,0.0
Manokwari Selatan,4,2021,1.22,28.88,29.6,2.5,38.83,8.39,28.12,67.58,0.0
Pegunungan Arfak,1,2021,5.0,33.81,35.28,44.69,61.36,5.49,52.33,67.24,0.0
Kota Sorong,6,2021,0.0,14.99,6.27,0.2,3.55,10.82,0.67,70.7,0.0
Aceh Selatan,5,2022,0.78,13.18,52.86,0.0,46.34,8.75,2.43,64.4,27.3
Aceh Tenggara,6,2022,0.28,13.41,38.71,0.0,41.55,9.62,2.87,68.22,34.1
Aceh Timur,6,2022,0.52,14.45,32.76,0.0,33.96,8.66,2.01,68.74,38.2
Aceh Tengah,4,2022,2.57,15.26,28.92,0.24,42.25,10.1,2.45,68.86,34.3
Aceh Barat,6,2022,0.56,18.81,38.49,0.0,21.76,10.22,1.82,67.99,27.4
Aceh Besar,6,2022,0.36,14.05,42.98,0.26,16.28,10.47,1.74,69.79,32.4
Pidie,5,2022,0.39,19.59,48.92,0.1,38.86,8.91,0.74,66.95,39.3
Aceh Utara,6,2022,0.3,17.43,46.27,0.14,34.26,9.18,0.72,68.81,38.8
Simeulue,5,2022,0.97,18.98,35.65,0.49,16.13,9.63,2.13,65.28,25.9
Aceh Singkil,3,2022,3.97,20.36,42.55,0.0,40.41,9.18,2.41,67.43,29.6
Bireuen,6,2022,0.47,13.25,55.71,0.44,30.81,9.47,0.52,71.26,24.3
Aceh Barat Daya,6,2022,0.36,16.34,41.58,0.0,28.54,8.95,1.46,65.06,33.2
Gayo Lues,5,2022,0.64,19.64,39.67,0.0,24.93,8.63,9.9,65.53,42.9
Aceh Jaya,6,2022,0.31,13.23,45.81,0.56,29.9,8.74,4.56,67.19,33.7
Nagan Raya,5,2022,0.71,18.23,49.36,0.0,27.0,8.89,2.39,69.24,32.5
Aceh Tamiang,6,2022,0.74,13.34,34.54,0.21,18.58,9.37,1.18,69.63,30.8
Bener Meriah,2,2022,5.0,19.16,23.94,0.0,39.7,10.18,0.96,69.26,40.0
Pidie Jaya,6,2022,0.29,19.55,53.05,0.17,35.7,9.56,0.65,70.18,29.0
Kota Banda Aceh,6,2022,0.0,7.61,4.24,0.0,0.23,13.26,0.02,71.52,23.4
Kota Sabang,5,2022,0.0,15.32,25.7,0.0,6.22,11.06,0.41,70.56,23.8
Kota Lhokseumawe,5,2022,0.0,11.16,23.87,0.0,3.55,11.53,0.09,71.64,27.4
Kota Langsa,5,2022,0.0,10.96,12.54,0.0,8.85,11.19,0.21,69.43,25.5
Kota Subulussalam,1,2022,0.0,17.65,31.22,0.0,50.76,9.08,1.98,64.07,41.8
Tapanuli Tengah,5,2022,1.27,12.67,40.39,3.13,45.6,9.08,1.39,67.24,25.3
Tapanuli Utara,6,2022,0.32,9.72,57.61,0.2,53.68,9.96,2.45,68.76,26.7
Tapanuli Selatan,5,2022,0.55,8.8,47.64,5.03,55.63,9.07,5.79,64.97,30.8
Nias,5,2022,0.7,16.82,25.99,7.6,65.66,6.98,1.82,69.78,32.1
Langkat,5,2022,1.24,10.12,37.53,0.0,25.98,8.62,1.83,68.97,31.5
Karo,6,2022,0.21,8.79,55.65,0.83,44.61,10.1,1.44,71.58,25.3
Deli Serdang,6,2022,0.85,4.01,21.84,0.0,14.7,10.18,0.5,71.77,12.5
Simalungun,6,2022,0.51,8.81,35.03,0.56,35.87,9.42,1.76,71.37,28.0
Asahan,5,2022,2.15,9.35,26.39,0.4,29.64,8.95,1.87,68.37,18.9
Labuhanbatu,6,2022,1.48,8.74,27.2,0.01,32.1,9.63,1.13,69.95,27.0
Dairi,6,2022,0.3,8.31,38.01,0.32,39.12,9.67,1.98,69.19,34.2
Toba Samosir,6,2022,0.26,8.99,47.88,0.55,28.55,10.64,2.09,70.29,24.8
Mandailing Natal,4,2022,1.17,9.49,51.54,1.6,52.61,8.88,2.92,62.65,47.7
Nias Selatan,4,2022,0.9,16.92,42.57,10.78,68.33,6.98,1.31,68.86,36.7
