Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Sarolangun,5,2018,1.18,8.87,41.72,1.0,42.37,7.91,7.31,68.83,37.3
Batanghari,4,2018,1.84,10.33,62.8,2.39,51.04,7.87,6.76,70.12,28.1
Muaro Jambi,4,2018,3.59,4.37,64.54,0.42,45.43,8.43,5.34,70.9,16.1
Tanjung Jabung Barat,5,2018,1.52,11.32,38.4,4.38,35.54,7.64,9.25,67.75,29.2
Tanjung Jabung Timur,5,2018,0.57,12.58,51.13,3.21,41.98,6.74,4.78,65.69,21.5
Bungo,5,2018,1.54,5.82,38.19,1.98,37.81,7.99,3.05,67.27,21.9
Tebo,6,2018,0.17,6.79,44.92,3.81,51.63,7.33,9.95,69.67,24.1
Kota Jambi,6,2018,50.0,8.84,46.95,0.06,14.34,10.14,0.05,72.33,21.9
Kota Sungai Penuh,5,2018,0.36,2.78,54.75,0.04,11.22,10.16,1.0,71.71,27.6
Ogan Komering Ulu,5,2018,1.09,12.95,38.58,2.28,42.33,8.92,2.92,67.66,24.3
Ogan Komering Ilir,5,2018,0.29,15.75,40.87,2.92,49.17,7.18,8.34,68.04,22.6
Muara Enim,5,2018,0.97,13.19,58.42,0.85,50.07,7.57,5.32,68.14,14.9
Lahat,5,2018,0.6,16.81,41.91,0.19,60.12,8.71,4.45,65.25,28.2
Musi Rawas,6,2018,0.29,14.24,24.8,0.94,52.93,7.48,4.79,67.34,25.9
Musi Banyuasin,5,2018,0.6,16.75,42.14,4.22,38.93,7.87,8.63,68.14,21.4
Banyuasin,6,2018,0.16,11.47,65.4,0.96,34.29,7.36,8.77,68.36,32.8
Ogan Komering Ulu Timur,6,2018,0.17,11.0,28.44,0.41,55.22,7.49,0.97,68.44,26.7
Ogan Komering Ulu Selatan,5,2018,0.38,10.98,38.62,5.95,65.46,7.87,4.77,66.24,22.5
Ogan Ilir,5,2018,0.52,13.58,50.08,4.99,38.55,7.75,1.8,64.72,29.5
Empat Lawang,5,2018,0.47,12.44,49.36,3.9,60.75,7.76,6.34,64.32,27.7
Penukal Abab Lematang Ilir,5,2018,1.59,14.53,48.55,0.39,48.92,6.89,2.42,67.7,18.6
Musi Rawas Utara,4,2018,1.57,19.49,39.88,0.33,60.29,6.62,7.55,64.99,32.8
Kota Palembang,6,2018,50.0,11.4,48.51,0.0,4.22,9.79,0.06,70.1,14.5
Kota Pagar Alam,2,2018,0.74,8.89,54.93,2.27,59.74,9.58,1.0,65.87,26.5
Kota Lubuklinggau,3,2018,50.0,13.12,51.75,0.13,54.29,9.46,0.42,68.64,18.9
Kota Prabumulih,4,2018,50.0,11.42,52.2,1.11,47.76,9.41,0.28,69.67,19.3
Bengkulu Selatan,5,2018,0.51,21.06,36.87,0.28,56.52,8.72,1.12,67.24,30.9
Rejang Lebong,5,2018,0.51,16.97,39.91,4.7,64.71,8.44,2.16,67.65,29.0
Bengkulu Utara,5,2018,0.7,13.11,41.67,1.11,48.42,7.83,3.73,67.42,35.8
Kaur,4,2018,0.6,21.54,50.92,3.5,64.62,7.98,7.44,65.92,23.7
Seluma,5,2018,0.56,20.73,41.19,3.35,64.0,7.85,2.78,66.85,23.3
Mukomuko,5,2018,0.54,12.2,44.75,1.3,42.13,8.03,4.51,65.93,33.4
Lebong,5,2018,0.6,11.83,54.62,2.76,57.91,7.66,4.51,62.46,34.4
Kepahiang,5,2018,0.66,15.95,30.04,1.16,52.07,8.12,1.34,67.12,29.3
Bengkulu Tengah,5,2018,0.78,8.41,50.31,2.59,52.32,7.25,2.37,67.64,34.8
Kota Bengkulu,5,2018,50.0,19.18,40.89,0.0,24.92,11.63,0.07,69.52,23.5
Lampung Selatan,6,2018,0.32,15.16,43.0,0.12,44.15,7.87,0.48,68.65,30.3
Lampung Tengah,5,2018,0.13,12.9,41.64,0.38,58.98,7.4,1.82,69.28,37.0
Lampung Utara,5,2018,0.1,21.55,38.14,0.2,65.9,8.43,1.58,68.48,34.9
Lampung Barat,5,2018,0.58,14.32,40.15,3.56,60.06,7.53,3.8,66.86,37.3
Tulang Bawang,6,2018,0.17,10.09,58.83,3.9,44.96,7.69,3.41,69.41,24.4
Tanggamus,5,2018,0.55,13.25,31.3,2.87,62.39,7.09,2.78,67.8,37.3
Lampung Timur,6,2018,0.15,16.35,40.76,0.3,50.04,7.57,3.72,70.11,23.5
Way Kanan,5,2018,0.21,14.06,32.38,1.0,71.08,7.15,3.45,68.74,30.7
Pesawaran,5,2018,0.38,16.48,40.61,1.38,59.06,7.71,2.46,68.29,35.1
Pringsewu,6,2018,0.62,11.3,31.24,0.77,39.36,7.96,0.53,69.14,25.8
Mesuji,6,2018,0.18,7.66,27.36,0.0,38.45,7.0,4.79,67.49,31.7
Tulang Bawang Barat,6,2018,0.1,8.11,20.68,0.14,55.77,7.34,2.08,69.35,27.2
Pesisir Barat,5,2018,0.41,15.61,54.87,6.0,65.98,7.82,7.05,62.54,29.8
Kota Bandar Lampung,5,2018,50.0,9.94,48.04,0.0,14.77,10.22,0.09,70.84,33.4
Kota Metro,5,2018,50.0,9.89,44.17,0.25,37.29,10.63,0.06,71.13,26.6
Bangka,3,2018,4.91,5.1,22.78,1.4,29.52,8.26,2.49,70.56,27.7
Belitung,3,2018,5.0,7.77,20.02,0.88,16.02,8.12,4.15,70.44,27.6
Bangka Selatan,4,2018,2.77,3.92,31.81,0.57,34.44,6.57,7.29,67.13,30.1
Bangka Tengah,3,2018,5.0,6.07,26.02,0.85,26.46,6.97,3.98,70.49,25.6
Bangka Barat,4,2018,3.73,2.98,26.21,0.27,31.03,7.43,3.9,69.56,25.0
Belitung Timur,3,2018,5.0,6.81,22.78,1.73,20.75,8.39,4.94,71.37,29.3
Kota Pangkalpinang,6,2018,50.0,4.8,43.92,0.0,10.42,9.44,0.11,72.64,26.7
Bintan,3,2018,5.0,6.01,19.35,0.54,35.31,8.58,1.98,70.12,19.5
Karimun,3,2018,5.0,7.41,12.61,2.16,38.6,7.92,1.3,70.32,19.8
Natuna,3,2018,5.0,4.64,23.64,4.3,29.09,8.55,3.6,64.33,19.7
Lingga,2,2018,5.0,13.84,22.86,5.12,42.81,6.35,5.18,61.14,33.2
Kepulauan Anambas,2,2018,5.0,6.87,27.08,2.61,43.82,6.77,1.5,66.76,24.6
Kota Batam,6,2018,50.0,4.81,47.46,0.3,2.39,10.79,0.44,73.19,20.7
Kota Tanjungpinang,5,2018,50.0,9.29,50.44,0.36,20.44,10.07,0.15,71.84,20.8
Kepulauan Seribu,3,2018,5.0,12.98,69.22,0.0,2.24,8.04,0.05,68.04,23.9
Jakarta Pusat,6,2018,50.0,3.78,41.71,0.0,7.14,10.6,0.0,73.83,29.2
Jakarta Utara,6,2018,50.0,5.59,38.22,0.0,2.24,10.19,0.02,72.99,23.7
Jakarta Barat,6,2018,50.0,3.45,37.41,0.0,7.83,9.99,0.02,73.37,20.4
Jakarta Selatan,6,2018,50.0,3.14,38.28,0.0,15.48,11.2,0.01,73.84,17.8
Jakarta Timur,6,2018,50.0,3.31,44.7,0.0,10.74,11.09,0.02,74.18,25.7
Bogor,4,2018,2.42,8.57,27.2,0.0,48.48,7.57,0.56,70.7,28.5
Sukabumi,5,2018,0.64,8.04,43.68,0.7,56.96,7.04,1.2,70.26,37.6
Cianjur,5,2018,0.64,11.41,50.0,0.18,64.24,7.09,0.86,69.49,35.7
Bandung,5,2018,1.72,7.36,38.94,0.0,30.52,8.32,0.63,73.13,38.7
Garut,5,2018,0.45,11.27,55.51,0.11,57.97,7.38,0.96,70.84,43.1
Tasikmalaya,5,2018,0.51,10.84,60.89,0.4,59.45,7.29,1.25,68.71,33.4
Ciamis,5,2018,0.7,8.2,56.06,0.22,55.57,7.66,1.21,71.07,29.0
Kuningan,5,2018,0.63,13.27,56.52,0.0,49.19,7.45,0.55,72.88,28.5
Cirebon,5,2018,1.31,12.97,46.35,0.0,36.29,6.95,0.28,71.49,25.6
Majalengka,6,2018,0.52,12.6,52.54,0.0,39.41,7.02,0.57,69.39,30.2
Sumedang,6,2018,0.6,10.53,32.8,0.0,44.02,8.17,0.93,72.0,28.1
Indramayu,6,2018,0.4,13.67,55.49,0.26,15.7,6.03,0.98,70.86,29.9
Subang,6,2018,0.48,10.77,35.27,0.0,46.8,7.26,1.22,71.71,25.5
Purwakarta,5,2018,0.92,9.06,40.66,0.0,47.14,8.02,0.55,70.42,30.8
Karawang,6,2018,0.67,10.25,25.24,0.0,20.63,7.37,0.36,71.64,26.1
Bekasi,6,2018,1.92,4.73,23.07,0.0,9.17,8.52,0.36,73.3,23.7
Bandung Barat,5,2018,1.43,11.49,40.35,0.0,53.4,8.06,0.81,71.87,34.3
Pangandaran,6,2018,0.66,10.0,48.31,0.36,40.4,7.52,1.44,70.56,28.1
Kota Bogor,6,2018,50.0,7.11,44.68,0.0,19.78,9.59,0.04,73.01,25.0
Kota Sukabumi,5,2018,50.0,8.48,48.76,0.34,27.51,9.42,0.03,71.95,23.1
Kota Bandung,6,2018,50.0,4.17,41.48,0.0,14.86,10.15,0.02,73.86,25.8
Kota Cirebon,6,2018,50.0,9.66,47.92,0.0,5.48,9.58,0.02,71.86,26.5
Kota Bekasi,6,2018,50.0,4.79,44.24,0.0,17.6,10.49,0.04,74.63,15.0
Kota Depok,6,2018,50.0,2.34,41.68,0.0,23.66,10.46,0.05,74.04,14.9
Kota Cimahi,6,2018,50.0,5.76,47.92,0.0,20.92,10.86,0.03,73.61,25.6
Kota Tasikmalaya,4,2018,50.0,14.8,48.94,0.0,33.77,9.28,0.1,71.48,38.2
Kota Banjar,5,2018,50.0,7.06,50.16,0.0,26.18,8.65,0.15,70.39,28.0
Cilacap,6,2018,0.5,13.94,31.45,0.43,38.97,6.67,0.77,73.24,27.2
Banyumas,5,2018,1.15,17.05,29.48,0.0,47.17,7.68,0.31,73.33,24.5
Purbalingga,5,2018,0.81,18.8,32.41,0.2,48.67,7.11,0.49,72.91,28.2
Banjarnegara,5,2018,0.79,17.21,37.99,0.16,59.95,6.6,0.78,73.79,30.1
Kebumen,5,2018,0.59,19.6,36.06,0.23,56.95,7.37,0.5,72.98,31.3
Purworejo,6,2018,0.51,13.81,29.85,0.09,51.99,7.79,0.55,74.26,25.8
Wonosobo,6,2018,0.56,20.32,25.37,0.11,38.02,6.84,0.8,71.3,32.5
Magelang,6,2018,0.75,12.42,28.32,0.17,47.73,7.18,0.91,73.39,37.6
Boyolali,6,2018,0.64,11.96,20.77,0.16,47.03,7.33,0.63,75.72,25.9
Klaten,6,2018,0.69,14.15,35.66,0.0,47.06,7.99,0.28,76.62,27.2
Sukoharjo,6,2018,0.61,8.75,23.04,0.0,35.16,8.78,0.2,77.49,23.8
Wonogiri,6,2018,0.2,12.9,35.78,0.0,44.42,6.63,1.02,76.0,23.9
Karanganyar,6,2018,0.52,12.28,24.41,0.0,44.48,7.79,0.56,77.31,22.6
Sragen,6,2018,0.37,14.02,30.73,0.0,34.3,6.95,0.47,75.55,25.2
Grobogan,6,2018,0.35,13.27,46.12,0.24,21.78,6.82,0.78,74.46,37.6
