Kabupaten/Kota,Tahun,Pengeluaran Perkapita Kacang-Kacangan
Bengkulu Tengah,2021,2050.2
Bengkulu Tengah,2022,2168.41
Bengkulu Tengah,2023,2414.76
Bengkulu Tengah,2024,2442.0
Bengkulu Utara,2018,2572.49
Bengkulu Utara,2019,2638.68
Bengkulu Utara,2020,2476.16
Bengkulu Utara,2021,2799.25
Bengkulu Utara,2022,2814.71
Bengkulu Utara,2023,3021.01
Bengkulu Utara,2024,3159.0
Berau,2018,3403.5
Berau,2019,3953.9
Berau,2020,3806.78
Berau,2021,3662.37
Berau,2022,4192.69
Berau,2023,4139.43
Berau,2024,3434.0
Biak Numfor,2018,2026.95
Biak Numfor,2019,2043.84
Biak Numfor,2020,2856.93
Biak Numfor,2021,2368.35
Biak Numfor,2022,1989.02
Biak Numfor,2023,1784.61
Biak Numfor,2024,2083.0
Bima,2018,1259.47
Bima,2019,1360.62
Bima,2020,1241.54
Bima,2021,1654.85
Bima,2022,1610.13
Bima,2023,1429.37
Bima,2024,1538.0
Bintan,2018,2810.82
Bintan,2019,2909.9
Bintan,2020,2752.81
Bintan,2021,2881.48
Bintan,2022,3519.26
Bintan,2023,3834.24
Bintan,2024,3654.0
Bireuen,2018,1268.88
Bireuen,2019,1294.04
Bireuen,2020,1488.06
Bireuen,2021,2008.42
Bireuen,2022,1708.89
Bireuen,2023,1700.43
Bireuen,2024,1591.0
Blitar,2018,2651.25
Blitar,2019,2857.29
Blitar,2020,2512.24
Blitar,2021,2997.37
Blitar,2022,2687.81
Blitar,2023,3235.08
Blitar,2024,3365.0
Blora,2018,2681.19
Blora,2019,2830.14
Blora,2020,2636.59
Blora,2021,3305.52
Blora,2022,3416.99
Blora,2023,3524.24
Blora,2024,3702.0
Boalemo,2018,1234.54
Boalemo,2019,1447.68
Boalemo,2020,1551.56
Boalemo,2021,1710.66
Boalemo,2022,1679.94
Boalemo,2023,1765.87
Boalemo,2024,2356.0
Bogor,2018,2575.05
Bogor,2019,2402.01
Bogor,2020,2449.02
Bogor,2021,2770.86
Bogor,2022,3311.26
Bogor,2023,2902.87
Bogor,2024,3339.0
Bojonegoro,2018,3339.81
Bojonegoro,2019,3183.37
Bojonegoro,2020,3430.66
Bojonegoro,2021,3704.52
Bojonegoro,2022,3546.35
Bojonegoro,2023,3755.59
Bojonegoro,2024,3563.0
Bolaang Mongondow,2018,1961.24
Bolaang Mongondow,2019,1797.35
Bolaang Mongondow,2020,1740.0
Bolaang Mongondow,2021,2059.81
Bolaang Mongondow,2022,2141.16
Bolaang Mongondow,2023,2891.34
Bolaang Mongondow,2024,2889.0
Bolaang Mongondow Selatan,2018,1032.14
Bolaang Mongondow Selatan,2019,1092.11
Bolaang Mongondow Selatan,2020,931.03
Bolaang Mongondow Selatan,2021,1046.23
Bolaang Mongondow Selatan,2022,1221.49
Bolaang Mongondow Selatan,2023,1562.18
Bolaang Mongondow Selatan,2024,1377.0
Bolaang Mongondow Timur,2018,1832.3
Bolaang Mongondow Timur,2019,1661.6
Bolaang Mongondow Timur,2020,1686.25
Bolaang Mongondow Timur,2021,1922.54
Bolaang Mongondow Timur,2022,2401.78
Bolaang Mongondow Timur,2023,2054.93
Bolaang Mongondow Timur,2024,2260.0
Bolaang Mongondow Utara,2018,1505.83
Bolaang Mongondow Utara,2019,1590.91
Bolaang Mongondow Utara,2020,1598.96
Bolaang Mongondow Utara,2021,2051.3
Bolaang Mongondow Utara,2022,1661.26
Bolaang Mongondow Utara,2023,1482.68
Bolaang Mongondow Utara,2024,1377.0
Bombana,2018,997.32
Bombana,2019,944.5
Bombana,2020,993.75
Bombana,2021,1140.47
Bombana,2022,862.43
Bombana,2023,1069.55
Bombana,2024,970.0
Bondowoso,2018,3959.77
Bondowoso,2019,4294.33
Bondowoso,2020,3710.19
Bondowoso,2021,4257.18
Bondowoso,2022,4671.0
Bondowoso,2023,5198.33
Bondowoso,2024,5060.0
Bone,2018,969.47
Bone,2019,1208.57
Bone,2020,1105.37
Bone,2021,1307.64
Bone,2022,1506.19
Bone,2023,1229.47
Bone,2024,1311.0
Bone Bolango,2018,1155.66
Bone Bolango,2019,1174.13
Bone Bolango,2020,1332.45
Bone Bolango,2021,1395.93
Bone Bolango,2022,1348.02
Bone Bolango,2023,1359.4
Bone Bolango,2024,1554.0
Boven Digoel,2018,2694.94
Boven Digoel,2019,3754.06
Boven Digoel,2020,1951.85
Boven Digoel,2021,1816.19
Boven Digoel,2022,1889.26
Boven Digoel,2023,2597.17
Boven Digoel,2024,5063.0
Boyolali,2018,3079.56
Boyolali,2019,3142.65
Boyolali,2020,3029.18
Boyolali,2021,4090.05
Boyolali,2022,3558.12
Boyolali,2023,3938.84
Boyolali,2024,4228.0
Brebes,2018,2996.34
Brebes,2019,2908.82
Brebes,2020,2455.72
Brebes,2021,2973.78
Brebes,2022,3500.52
Brebes,2023,3742.68
Brebes,2024,3522.0
Buleleng,2018,2907.39
Buleleng,2019,2712.73
Buleleng,2020,2610.97
Buleleng,2021,2816.12
Buleleng,2022,2701.58
Buleleng,2023,2979.13
Buleleng,2024,2570.0
Bulukumba,2018,1369.54
Bulukumba,2019,1210.65
Bulukumba,2020,1750.42
Bulukumba,2021,1776.39
Bulukumba,2022,2087.62
Bulukumba,2023,1807.26
Bulukumba,2024,2040.0
Bulungan,2018,3353.55
Bulungan,2019,3588.94
Bulungan,2020,3395.26
Bulungan,2021,3520.02
Bulungan,2022,3680.32
Bulungan,2023,4126.15
Bulungan,2024,4202.0
Bungo,2018,2037.52
Bungo,2019,1952.45
Bungo,2020,1891.86
