Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Batu Bara,2018,16719.04
Batu Bara,2019,16505.13
Batu Bara,2020,17132.85
Batu Bara,2021,16783.37
Batu Bara,2022,17095.69
Batu Bara,2023,19567.17
Batu Bara,2024,22401.0
Bekasi,2018,14626.77
Bekasi,2019,15282.52
Bekasi,2020,14354.79
Bekasi,2021,15662.53
Bekasi,2022,16663.03
Bekasi,2023,16560.87
Bekasi,2024,20503.0
Belitung,2018,18099.0
Belitung,2019,17554.49
Belitung,2020,17706.29
Belitung,2021,18421.9
Belitung,2022,18857.9
Belitung,2023,19968.96
Belitung,2024,22268.0
Belitung Timur,2018,20239.17
Belitung Timur,2019,18558.1
Belitung Timur,2020,19523.49
Belitung Timur,2021,19716.16
Belitung Timur,2022,20282.84
Belitung Timur,2023,22150.98
Belitung Timur,2024,24923.0
Belu,2018,22342.93
Belu,2019,22373.77
Belu,2020,22887.69
Belu,2021,24462.24
Belu,2022,22615.8
Belu,2023,26646.39
Belu,2024,29098.0
Bener Meriah,2018,19351.98
Bener Meriah,2019,20692.56
Bener Meriah,2020,18897.46
Bener Meriah,2021,18022.19
Bener Meriah,2022,21750.33
Bener Meriah,2023,23636.98
Bener Meriah,2024,27326.0
Bengkalis,2018,14996.89
Bengkalis,2019,14848.88
Bengkalis,2020,15759.24
Bengkalis,2021,16162.84
Bengkalis,2022,15872.89
Bengkalis,2023,19352.34
Bengkalis,2024,22141.0
Bengkayang,2018,19961.88
Bengkayang,2019,17902.16
Bengkayang,2020,19317.55
Bengkayang,2021,19803.01
Bengkayang,2022,20675.74
Bengkayang,2023,23684.92
Bengkayang,2024,24566.0
Bengkulu Selatan,2018,17306.51
Bengkulu Selatan,2019,18138.55
Bengkulu Selatan,2020,21893.59
Bengkulu Selatan,2021,20568.12
Bengkulu Selatan,2022,19581.23
Bengkulu Selatan,2023,20173.88
Bengkulu Selatan,2024,24927.0
Bengkulu Tengah,2018,20074.39
Bengkulu Tengah,2019,17818.37
Bengkulu Tengah,2020,17931.02
Bengkulu Tengah,2021,19938.24
Bengkulu Tengah,2022,19133.02
Bengkulu Tengah,2023,21257.6
Bengkulu Tengah,2024,27153.0
Bengkulu Utara,2018,21793.67
Bengkulu Utara,2019,20394.04
Bengkulu Utara,2020,17834.13
Bengkulu Utara,2021,17849.11
Bengkulu Utara,2022,18435.88
Bengkulu Utara,2023,23777.47
Bengkulu Utara,2024,24226.0
Berau,2018,18477.07
Berau,2019,17643.78
Berau,2020,19035.51
Berau,2021,18630.35
Berau,2022,18616.12
Berau,2023,18878.9
Berau,2024,22727.0
Biak Numfor,2018,14069.77
Biak Numfor,2019,14621.91
Biak Numfor,2020,16689.16
Biak Numfor,2021,16105.77
Biak Numfor,2022,12144.65
Biak Numfor,2023,14258.73
Biak Numfor,2024,14840.0
Bima,2018,18099.24
Bima,2019,17641.85
Bima,2020,16018.12
Bima,2021,15403.69
Bima,2022,18005.69
Bima,2023,20620.63
Bima,2024,28206.0
Bintan,2018,14965.43
Bintan,2019,14004.54
Bintan,2020,13634.63
Bintan,2021,14104.22
Bintan,2022,14996.51
Bintan,2023,15879.54
Bintan,2024,16805.0
Bireuen,2018,17676.37
Bireuen,2019,16170.29
Bireuen,2020,14487.92
Bireuen,2021,16143.31
Bireuen,2022,17462.38
Bireuen,2023,20164.2
Bireuen,2024,21333.0
Blitar,2018,9993.11
Blitar,2019,10889.0
Blitar,2020,10486.25
Blitar,2021,12011.96
Blitar,2022,11697.87
Blitar,2023,12759.61
Blitar,2024,17043.0
Blora,2018,11911.32
Blora,2019,11970.01
Blora,2020,12734.15
Blora,2021,13596.28
Blora,2022,12368.28
Blora,2023,15782.66
Blora,2024,19006.0
Boalemo,2018,14134.14
Boalemo,2019,14487.97
Boalemo,2020,15957.24
Boalemo,2021,15674.98
Boalemo,2022,18245.08
Boalemo,2023,23040.66
Boalemo,2024,27387.0
Bogor,2018,13314.4
Bogor,2019,13888.86
Bogor,2020,14169.26
Bogor,2021,14529.78
Bogor,2022,15619.83
Bogor,2023,16373.36
Bogor,2024,18613.0
Bojonegoro,2018,15672.46
Bojonegoro,2019,14561.89
Bojonegoro,2020,14471.8
Bojonegoro,2021,14701.2
Bojonegoro,2022,14762.74
Bojonegoro,2023,18474.25
Bojonegoro,2024,20782.0
Bolaang Mongondow,2018,18117.86
Bolaang Mongondow,2019,19377.86
