Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Makanan Lainnya
Batang,2021,1950.72
Batang,2022,2209.5
Batang,2023,2546.74
Batang,2024,2806.0
Batang Hari,2018,2679.76
Batang Hari,2019,2486.32
Batang Hari,2020,2596.81
Batang Hari,2021,2537.69
Batang Hari,2022,2897.63
Batang Hari,2023,3458.22
Batang Hari,2024,3121.0
Batu Bara,2018,1172.85
Batu Bara,2019,1120.05
Batu Bara,2020,1188.18
Batu Bara,2021,1206.03
Batu Bara,2022,1434.5
Batu Bara,2023,1856.02
Batu Bara,2024,1799.0
Bekasi,2018,2615.23
Bekasi,2019,2989.43
Bekasi,2020,3451.11
Bekasi,2021,4199.13
Bekasi,2022,4311.84
Bekasi,2023,4170.13
Bekasi,2024,3450.0
Belitung,2018,4311.5
Belitung,2019,4336.14
Belitung,2020,4145.77
Belitung,2021,4577.28
Belitung,2022,4710.35
Belitung,2023,4862.25
Belitung,2024,4880.0
Belitung Timur,2018,4129.46
Belitung Timur,2019,4423.9
Belitung Timur,2020,4806.77
Belitung Timur,2021,5492.18
Belitung Timur,2022,4987.6
Belitung Timur,2023,5183.26
Belitung Timur,2024,4942.0
Belu,2018,1512.06
Belu,2019,1740.88
Belu,2020,1601.99
Belu,2021,2111.01
Belu,2022,2076.56
Belu,2023,1934.6
Belu,2024,1963.0
Bener Meriah,2018,1519.71
Bener Meriah,2019,1967.62
Bener Meriah,2020,2121.78
Bener Meriah,2021,1804.84
Bener Meriah,2022,2392.41
Bener Meriah,2023,2440.83
Bener Meriah,2024,3153.0
Bengkalis,2018,1869.72
Bengkalis,2019,2068.13
Bengkalis,2020,2259.51
Bengkalis,2021,2791.48
Bengkalis,2022,3196.48
Bengkalis,2023,3525.67
Bengkalis,2024,3248.0
Bengkayang,2018,2547.7
Bengkayang,2019,2237.93
Bengkayang,2020,2360.59
Bengkayang,2021,2651.87
Bengkayang,2022,3182.05
Bengkayang,2023,3411.35
Bengkayang,2024,3123.0
Bengkulu Selatan,2018,1764.22
Bengkulu Selatan,2019,2031.85
Bengkulu Selatan,2020,2027.7
Bengkulu Selatan,2021,2150.87
Bengkulu Selatan,2022,2871.19
Bengkulu Selatan,2023,2532.36
Bengkulu Selatan,2024,2669.0
Bengkulu Tengah,2018,2473.66
Bengkulu Tengah,2019,2025.61
Bengkulu Tengah,2020,2034.1
Bengkulu Tengah,2021,1897.03
Bengkulu Tengah,2022,2391.79
Bengkulu Tengah,2023,2742.67
Bengkulu Tengah,2024,2652.0
Bengkulu Utara,2018,1961.09
Bengkulu Utara,2019,2190.23
Bengkulu Utara,2020,2008.08
Bengkulu Utara,2021,2818.82
Bengkulu Utara,2022,3008.57
Bengkulu Utara,2023,3183.85
Bengkulu Utara,2024,2763.0
Berau,2018,4562.05
Berau,2019,4776.6
Berau,2020,4602.13
Berau,2021,4643.87
Berau,2022,5178.4
Berau,2023,5109.01
Berau,2024,4402.0
Biak Numfor,2018,1437.41
Biak Numfor,2019,1344.31
Biak Numfor,2020,2589.18
Biak Numfor,2021,1916.1
Biak Numfor,2022,1759.68
Biak Numfor,2023,2051.47
Biak Numfor,2024,1446.0
Bima,2018,1972.66
Bima,2019,2337.5
Bima,2020,2359.02
Bima,2021,2553.46
Bima,2022,2787.37
Bima,2023,2624.0
Bima,2024,2802.0
Bintan,2018,3588.54
Bintan,2019,3338.69
Bintan,2020,3394.96
Bintan,2021,4166.16
Bintan,2022,4183.62
Bintan,2023,4501.89
Bintan,2024,4544.0
Bireuen,2018,1014.94
Bireuen,2019,1103.81
Bireuen,2020,1196.73
Bireuen,2021,1810.82
Bireuen,2022,1976.45
Bireuen,2023,1865.66
Bireuen,2024,1698.0
Blitar,2018,1907.01
Blitar,2019,1716.51
Blitar,2020,1908.64
Blitar,2021,2426.48
Blitar,2022,2817.55
Blitar,2023,3227.27
Blitar,2024,2930.0
Blora,2018,1880.58
Blora,2019,2096.77
Blora,2020,1797.79
Blora,2021,2248.79
Blora,2022,2334.34
Blora,2023,2377.05
Blora,2024,2483.0
Boalemo,2018,1307.3
Boalemo,2019,1341.11
Boalemo,2020,1245.42
Boalemo,2021,1694.23
Boalemo,2022,1732.59
Boalemo,2023,2124.57
Boalemo,2024,2187.0
Bogor,2018,2531.15
Bogor,2019,2801.01
Bogor,2020,2895.99
Bogor,2021,3421.31
Bogor,2022,3906.25
Bogor,2023,3718.84
Bogor,2024,3536.0
Bojonegoro,2018,2043.41
Bojonegoro,2019,1661.59
Bojonegoro,2020,1961.3
Bojonegoro,2021,2139.05
Bojonegoro,2022,2604.22
Bojonegoro,2023,2883.68
Bojonegoro,2024,2763.0
Bolaang Mongondow,2018,1319.11
Bolaang Mongondow,2019,1417.87
Bolaang Mongondow,2020,1400.49
Bolaang Mongondow,2021,1500.88
Bolaang Mongondow,2022,2055.74
Bolaang Mongondow,2023,1926.92
Bolaang Mongondow,2024,2071.0
Bolaang Mongondow Selatan,2018,1297.42
Bolaang Mongondow Selatan,2019,1141.3
Bolaang Mongondow Selatan,2020,1279.63
Bolaang Mongondow Selatan,2021,1280.5
Bolaang Mongondow Selatan,2022,1713.54
Bolaang Mongondow Selatan,2023,1630.8
Bolaang Mongondow Selatan,2024,1461.0
Bolaang Mongondow Timur,2018,1640.54
Bolaang Mongondow Timur,2019,1443.77
Bolaang Mongondow Timur,2020,1538.81
Bolaang Mongondow Timur,2021,1809.97
Bolaang Mongondow Timur,2022,2324.51
Bolaang Mongondow Timur,2023,2066.31
Bolaang Mongondow Timur,2024,1900.0
Bolaang Mongondow Utara,2018,1392.25
Bolaang Mongondow Utara,2019,1399.45
Bolaang Mongondow Utara,2020,1777.35
Bolaang Mongondow Utara,2021,1906.88
Bolaang Mongondow Utara,2022,1669.73
Bolaang Mongondow Utara,2023,1915.14
Bolaang Mongondow Utara,2024,1912.0
Bombana,2018,2837.2
Bombana,2019,2590.07
Bombana,2020,2514.0
Bombana,2021,2705.07
Bombana,2022,2711.03
Bombana,2023,2670.6
Bombana,2024,2709.0
Bondowoso,2018,1426.2
Bondowoso,2019,1843.84
Bondowoso,2020,1890.41
Bondowoso,2021,2165.49
Bondowoso,2022,2254.36
Bondowoso,2023,2430.77
Bondowoso,2024,2512.0
Bone,2018,1646.74
Bone,2019,1712.48
Bone,2020,1559.55
Bone,2021,1869.77
Bone,2022,2059.79
Bone,2023,1964.41
Bone,2024,1746.0
Bone Bolango,2018,1281.63
Bone Bolango,2019,1540.19
Bone Bolango,2020,1761.6
Bone Bolango,2021,1823.85
Bone Bolango,2022,1460.24
Bone Bolango,2023,1549.16
Bone Bolango,2024,2058.0
Boven Digoel,2018,3068.73
Boven Digoel,2019,2722.44
Boven Digoel,2020,2960.52
Boven Digoel,2021,2423.57
Boven Digoel,2022,2520.26
Boven Digoel,2023,2623.01
Boven Digoel,2024,3981.0
Boyolali,2018,2083.22
Boyolali,2019,1961.34
Boyolali,2020,1981.2
Boyolali,2021,2401.68
Boyolali,2022,2456.03
Boyolali,2023,2869.18
Boyolali,2024,2808.0
Brebes,2018,2367.44
Brebes,2019,2350.72
Brebes,2020,1965.85
Brebes,2021,2630.72
Brebes,2022,2793.21
Brebes,2023,3031.71
Brebes,2024,2754.0
Buleleng,2018,1836.41
Buleleng,2019,1804.99
Buleleng,2020,2027.03
Buleleng,2021,2076.45
Buleleng,2022,2415.8
Buleleng,2023,1958.33
Buleleng,2024,1716.0
Bulukumba,2018,2182.22
Bulukumba,2019,1773.66
Bulukumba,2020,1806.19
Bulukumba,2021,1799.42
Bulukumba,2022,2392.47
Bulukumba,2023,2596.06
Bulukumba,2024,2483.0
Bulungan,2018,3530.62
Bulungan,2019,3379.82
Bulungan,2020,3959.84
Bulungan,2021,4105.68
Bulungan,2022,4410.72
Bulungan,2023,4357.93
Bulungan,2024,4272.0
Bungo,2018,2569.37
Bungo,2019,2260.77
Bungo,2020,2149.79
Bungo,2021,2596.19
Bungo,2022,2811.97
Bungo,2023,2824.56
Bungo,2024,2934.0
Buol,2018,1669.49
Buol,2019,1596.88
Buol,2020,1642.09
Buol,2021,1975.58
Buol,2022,1969.84
Buol,2023,1633.82
Buol,2024,2062.0
Buru,2018,1693.73
Buru,2019,1790.5
Buru,2020,1339.21
Buru,2021,2079.2
Buru,2022,1882.99
Buru,2023,2055.86
Buru,2024,1776.0
Buru Selatan,2018,1296.2
Buru Selatan,2019,1573.74
Buru Selatan,2020,1272.48
Buru Selatan,2021,1578.58
Buru Selatan,2022,1484.8
Buru Selatan,2023,1796.95
Buru Selatan,2024,2016.0
Buton,2018,1505.05
Buton,2019,1276.42
Buton,2020,1306.44
Buton,2021,1470.31
Buton,2022,1614.24
Buton,2023,2285.07
Buton,2024,1702.0
Buton Selatan,2018,1330.89
Buton Selatan,2019,1225.3
Buton Selatan,2020,1212.66
Buton Selatan,2021,1201.08
Buton Selatan,2022,1111.09
Buton Selatan,2023,1643.88
Buton Selatan,2024,1379.0
Buton Tengah,2018,1642.33
Buton Tengah,2019,1856.03
Buton Tengah,2020,1484.81
Buton Tengah,2021,1526.11
Buton Tengah,2022,1926.03
Buton Tengah,2023,1654.78
Buton Tengah,2024,1408.0
Buton Utara,2018,2165.32
Buton Utara,2019,1922.48
Buton Utara,2020,1968.27
Buton Utara,2021,2014.98
Buton Utara,2022,2457.53
Buton Utara,2023,2292.95
Buton Utara,2024,2499.0
Ciamis,2018,2435.65
Ciamis,2019,2307.87
Ciamis,2020,2468.03
Ciamis,2021,2864.97
Ciamis,2022,3331.48
Ciamis,2023,3546.1
Ciamis,2024,3418.0
Cianjur,2018,2633.72
Cianjur,2019,2345.82
Cianjur,2020,2576.41
Cianjur,2021,2889.39
Cianjur,2022,2519.51
Cianjur,2023,3233.55
Cianjur,2024,3591.0
Cilacap,2018,1674.83
Cilacap,2019,1601.94
Cilacap,2020,1626.3
Cilacap,2021,2052.68
Cilacap,2022,2470.1
Cilacap,2023,2524.49
Cilacap,2024,2592.0
Cirebon,2018,2093.41
Cirebon,2019,2374.83
Cirebon,2020,2351.01
Cirebon,2021,2649.0
Cirebon,2022,2920.09
Cirebon,2023,3166.73
Cirebon,2024,3250.0
Dairi,2018,1176.22
Dairi,2019,1097.93
Dairi,2020,944.92
Dairi,2021,1058.73
Dairi,2022,1435.84
Dairi,2023,1756.4
Dairi,2024,1430.0
Deiyai,2018,2053.93
Deiyai,2019,954.69
Deiyai,2020,4231.16
Deiyai,2021,1516.25
Deiyai,2022,2175.51
Deiyai,2023,2895.79
Deiyai,2024,3625.0
Deli Serdang,2018,1440.17
Deli Serdang,2019,1494.01
Deli Serdang,2020,1626.82
Deli Serdang,2021,1699.82
Deli Serdang,2022,2104.17
Deli Serdang,2023,2195.38
Deli Serdang,2024,1874.0
Demak,2018,2659.58
Demak,2019,2739.58
Demak,2020,2574.54
Demak,2021,3114.81
Demak,2022,3542.55
Demak,2023,3481.81
Demak,2024,3031.0
Dharmasraya,2018,1797.58
Dharmasraya,2019,2003.23
Dharmasraya,2020,2173.69
Dharmasraya,2021,2253.12
Dharmasraya,2022,2269.09
Dharmasraya,2023,2532.63
Dharmasraya,2024,2644.0
Dogiyai,2018,672.96
Dogiyai,2019,607.07
Dogiyai,2020,1059.0
Dogiyai,2021,1903.26
Dogiyai,2022,1846.35
Dogiyai,2023,2741.16
Dogiyai,2024,3570.0
Dompu,2018,1732.61
Dompu,2019,2011.86
Dompu,2020,2497.17
Dompu,2021,2418.08
Dompu,2022,2678.15
Dompu,2023,2079.88
Dompu,2024,2518.0
Donggala,2018,1760.59
Donggala,2019,1575.08
Donggala,2020,1703.15
Donggala,2021,2091.85
Donggala,2022,2066.67
Donggala,2023,2163.7
Donggala,2024,1988.0
Empat Lawang,2018,2098.96
Empat Lawang,2019,2192.88
Empat Lawang,2020,2167.49
Empat Lawang,2021,2469.39
Empat Lawang,2022,2678.68
Empat Lawang,2023,3075.29
Empat Lawang,2024,3148.0
Ende,2018,1328.14
Ende,2019,996.17
Ende,2020,1209.45
Ende,2021,1611.41
Ende,2022,1777.79
Ende,2023,1864.77
Ende,2024,1579.0
Enrekang,2018,1690.26
Enrekang,2019,1440.03
Enrekang,2020,1711.49
Enrekang,2021,2455.76
Enrekang,2022,2179.87
Enrekang,2023,2291.88
Enrekang,2024,2543.0
Fakfak,2018,2114.04
Fakfak,2019,2053.18
Fakfak,2020,2148.49
Fakfak,2021,2878.97
Fakfak,2022,3433.8
Fakfak,2023,3142.75
Fakfak,2024,2978.0
Flores Timur,2018,1094.46
Flores Timur,2019,951.84
Flores Timur,2020,1070.01
Flores Timur,2021,1305.72
Flores Timur,2022,1567.55
Flores Timur,2023,1708.8
Flores Timur,2024,1670.0
Garut,2018,3113.97
Garut,2019,3223.59
Garut,2020,2515.96
Garut,2021,2770.59
Garut,2022,3241.83
Garut,2023,3618.83
Garut,2024,3860.0
Gayo Lues,2018,1923.62
Gayo Lues,2019,2196.89
