Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minyak dan Kelapa
Bolaang Mongondow Timur,2018,3499.26
Bolaang Mongondow Timur,2019,2953.14
Bolaang Mongondow Timur,2020,3363.81
Bolaang Mongondow Timur,2021,4144.49
Bolaang Mongondow Timur,2022,6295.43
Bolaang Mongondow Timur,2023,5578.64
Bolaang Mongondow Timur,2024,4426.0
Bolaang Mongondow Utara,2018,2802.46
Bolaang Mongondow Utara,2019,2592.75
Bolaang Mongondow Utara,2020,2882.06
Bolaang Mongondow Utara,2021,3952.16
Bolaang Mongondow Utara,2022,4943.94
Bolaang Mongondow Utara,2023,4009.16
Bolaang Mongondow Utara,2024,4232.0
Bombana,2018,2891.73
Bombana,2019,2312.68
Bombana,2020,2530.53
Bombana,2021,2850.12
Bombana,2022,4217.82
Bombana,2023,3552.95
Bombana,2024,3307.0
Bondowoso,2018,2439.56
Bondowoso,2019,2555.92
Bondowoso,2020,3019.1
Bondowoso,2021,3300.59
Bondowoso,2022,4258.54
Bondowoso,2023,3949.19
Bondowoso,2024,3968.0
Bone,2018,1881.39
Bone,2019,2145.84
Bone,2020,2084.94
Bone,2021,2551.56
Bone,2022,3498.48
Bone,2023,3292.14
Bone,2024,3182.0
Bone Bolango,2018,3119.37
Bone Bolango,2019,2530.68
Bone Bolango,2020,3168.4
Bone Bolango,2021,3676.05
Bone Bolango,2022,4613.75
Bone Bolango,2023,4575.15
Bone Bolango,2024,5510.0
Boven Digoel,2018,4686.83
Boven Digoel,2019,5109.95
Boven Digoel,2020,4635.09
Boven Digoel,2021,4357.79
Boven Digoel,2022,5486.74
Boven Digoel,2023,5127.17
Boven Digoel,2024,5592.0
Boyolali,2018,3009.87
Boyolali,2019,2779.41
Boyolali,2020,3000.12
Boyolali,2021,3612.01
Boyolali,2022,4157.86
Boyolali,2023,3766.88
Boyolali,2024,4088.0
Brebes,2018,2138.07
Brebes,2019,1914.98
Brebes,2020,2060.63
Brebes,2021,2534.14
Brebes,2022,3492.15
Brebes,2023,3179.15
Brebes,2024,2993.0
Buleleng,2018,2955.61
Buleleng,2019,2764.93
Buleleng,2020,3057.61
Buleleng,2021,3249.82
Buleleng,2022,3830.46
Buleleng,2023,3193.03
Buleleng,2024,3269.0
Bulukumba,2018,3002.89
Bulukumba,2019,2465.42
Bulukumba,2020,3283.36
Bulukumba,2021,3563.38
Bulukumba,2022,4829.57
Bulukumba,2023,4270.37
Bulukumba,2024,3705.0
Bulungan,2018,3707.21
