Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Bener Meriah,2018,20.13
Bener Meriah,2019,19.3
Bener Meriah,2020,18.89
Bener Meriah,2021,19.16
Bener Meriah,2022,18.39
Bener Meriah,2023,18.31
Bener Meriah,2024,18.18
Bengkalis,2018,6.22
Bengkalis,2019,6.27
Bengkalis,2020,6.4
Bengkalis,2021,6.64
Bengkalis,2022,6.32
Bengkalis,2023,6.31
Bengkalis,2024,6.36
Bengkayang,2018,7.17
Bengkayang,2019,6.96
Bengkayang,2020,6.62
Bengkayang,2021,6.48
Bengkayang,2022,6.03
Bengkayang,2023,6.28
Bengkayang,2024,6.0
Bengkulu Selatan,2018,18.65
Bengkulu Selatan,2019,18.54
Bengkulu Selatan,2020,17.82
Bengkulu Selatan,2021,18.16
Bengkulu Selatan,2022,17.86
Bengkulu Selatan,2023,17.51
Bengkulu Selatan,2024,17.1
Bengkulu Tengah,2018,8.2
Bengkulu Tengah,2019,8.8
Bengkulu Tengah,2020,9.3
Bengkulu Tengah,2021,9.68
Bengkulu Tengah,2022,9.76
Bengkulu Tengah,2023,9.4
Bengkulu Tengah,2024,10.14
Bengkulu Utara,2018,11.81
Bengkulu Utara,2019,11.65
Bengkulu Utara,2020,11.67
Bengkulu Utara,2021,11.61
Bengkulu Utara,2022,11.48
Bengkulu Utara,2023,11.29
Bengkulu Utara,2024,10.96
Berau,2018,5.04
Berau,2019,5.04
Berau,2020,5.19
Berau,2021,5.88
Berau,2022,5.65
Berau,2023,5.54
Berau,2024,5.08
Biak Numfor,2018,25.72
Biak Numfor,2019,25.5
Biak Numfor,2020,24.57
Biak Numfor,2021,24.45
Biak Numfor,2022,24.48
Biak Numfor,2023,23.53
Biak Numfor,2024,23.46
Bima,2018,14.84
Bima,2019,14.76
Bima,2020,14.49
Bima,2021,14.88
Bima,2022,14.5
Bima,2023,14.39
Bima,2024,13.88
Bintan,2018,6.61
Bintan,2019,6.37
Bintan,2020,6.36
Bintan,2021,6.42
Bintan,2022,6.44
Bintan,2023,5.9
Bintan,2024,5.44
Bireuen,2018,14.31
Bireuen,2019,13.56
Bireuen,2020,13.06
Bireuen,2021,13.25
Bireuen,2022,12.51
Bireuen,2023,12.12
Bireuen,2024,12.1
Blitar,2018,9.72
Blitar,2019,8.94
Blitar,2020,9.33
Blitar,2021,9.65
Blitar,2022,8.71
Blitar,2023,8.69
Blitar,2024,8.16
Blora,2018,11.9
Blora,2019,11.32
Blora,2020,11.96
Blora,2021,12.39
Blora,2022,11.53
Blora,2023,11.49
Blora,2024,11.42
Boalemo,2018,20.33
Boalemo,2019,18.87
Boalemo,2020,18.57
Boalemo,2021,19.0
Boalemo,2022,18.74
Boalemo,2023,18.38
Boalemo,2024,17.83
Bogor,2018,7.14
Bogor,2019,6.66
Bogor,2020,7.69
Bogor,2021,8.13
Bogor,2022,7.73
Bogor,2023,7.27
Bogor,2024,7.05
Bojonegoro,2018,13.16
Bojonegoro,2019,12.38
Bojonegoro,2020,12.87
Bojonegoro,2021,13.27
Bojonegoro,2022,12.21
Bojonegoro,2023,12.18
Bojonegoro,2024,11.69
Bolaang Mongondow,2018,7.67
Bolaang Mongondow,2019,7.47
Bolaang Mongondow,2020,7.27
Bolaang Mongondow,2021,7.58
Bolaang Mongondow,2022,7.04
Bolaang Mongondow,2023,7.37
Bolaang Mongondow,2024,7.74
Bolaang Mongondow Selatan,2018,13.6
Bolaang Mongondow Selatan,2019,13.27
Bolaang Mongondow Selatan,2020,12.77
Bolaang Mongondow Selatan,2021,12.85
Bolaang Mongondow Selatan,2022,11.92
Bolaang Mongondow Selatan,2023,12.04
Bolaang Mongondow Selatan,2024,11.33
Bolaang Mongondow Timur,2018,6.03
Bolaang Mongondow Timur,2019,6.1
Bolaang Mongondow Timur,2020,5.88
Bolaang Mongondow Timur,2021,6.1
Bolaang Mongondow Timur,2022,5.85
Bolaang Mongondow Timur,2023,5.8
Bolaang Mongondow Timur,2024,5.87
Bolaang Mongondow Utara,2018,8.64
Bolaang Mongondow Utara,2019,8.45
Bolaang Mongondow Utara,2020,8.41
Bolaang Mongondow Utara,2021,8.03
Bolaang Mongondow Utara,2022,7.31
Bolaang Mongondow Utara,2023,7.9
Bolaang Mongondow Utara,2024,7.88
Bombana,2018,11.05
Bombana,2019,10.56
Bombana,2020,10.01
Bombana,2021,10.76
Bombana,2022,10.26
Bombana,2023,10.73
Bombana,2024,10.54
Bondowoso,2018,14.39
Bondowoso,2019,13.33
Bondowoso,2020,14.17
Bondowoso,2021,14.73
Bondowoso,2022,13.47
Bondowoso,2023,13.34
Bondowoso,2024,12.6
Bone,2018,10.55
Bone,2019,10.06
Bone,2020,10.68
Bone,2021,10.52
Bone,2022,10.58
Bone,2023,10.53
Bone,2024,9.58
Bone Bolango,2018,17.4
Bone Bolango,2019,16.12
Bone Bolango,2020,15.81
Bone Bolango,2021,16.3
Bone Bolango,2022,16.05
Bone Bolango,2023,15.51
Bone Bolango,2024,14.8
Boven Digoel,2018,20.35
Boven Digoel,2019,19.66
Boven Digoel,2020,19.41
Boven Digoel,2021,19.9
Boven Digoel,2022,20.04
Boven Digoel,2023,19.8
Boven Digoel,2024,19.24
Boyolali,2018,10.04
Boyolali,2019,9.53
Boyolali,2020,10.18
Boyolali,2021,10.62
Boyolali,2022,9.82
Boyolali,2023,9.81
Boyolali,2024,9.63
Brebes,2018,17.17
Brebes,2019,16.22
Brebes,2020,17.03
Brebes,2021,17.43
Brebes,2022,16.05
Brebes,2023,15.78
Brebes,2024,15.6
Buleleng,2018,5.36
Buleleng,2019,5.19
Buleleng,2020,5.32
Buleleng,2021,6.12
Buleleng,2022,6.21
Buleleng,2023,5.85
Buleleng,2024,5.39
Bulukumba,2018,7.48
Bulukumba,2019,7.26
Bulukumba,2020,7.1
Bulukumba,2021,7.43
Bulukumba,2022,7.39
Bulukumba,2023,7.22
Bulukumba,2024,6.71
Bulungan,2018,9.44
Bulungan,2019,8.78
Bulungan,2020,9.06
Bulungan,2021,10.03
Bulungan,2022,9.32
Bulungan,2023,8.99
Bulungan,2024,8.76
Bungo,2018,5.78
Bungo,2019,5.6
Bungo,2020,5.8
Bungo,2021,6.23
Bungo,2022,5.38
Bungo,2023,5.29
Bungo,2024,5.06
Buol,2018,16.08
Buol,2019,15.19
Buol,2020,13.93
Buol,2021,14.06
Buol,2022,12.85
Buol,2023,13.36
Buol,2024,13.08
Buru,2018,17.03
Buru,2019,16.74
Buru,2020,16.64
Buru,2021,17.28
Buru,2022,15.82
Buru,2023,16.53
Buru,2024,16.08
Buru Selatan,2018,16.31
Buru Selatan,2019,16.13
Buru Selatan,2020,15.75
Buru Selatan,2021,15.89
Buru Selatan,2022,14.75
Buru Selatan,2023,15.28
Buru Selatan,2024,14.91
Buton,2018,13.67
Buton,2019,13.65
Buton,2020,13.21
Buton,2021,13.92
Buton,2022,13.27
Buton,2023,13.77
Buton,2024,13.99
Buton Selatan,2018,14.82
Buton Selatan,2019,14.66
Buton Selatan,2020,14.11
Buton Selatan,2021,14.62
Buton Selatan,2022,14.41
Buton Selatan,2023,14.76
Buton Selatan,2024,14.28
Buton Tengah,2018,14.88
Buton Tengah,2019,15.77
Buton Tengah,2020,15.32
Buton Tengah,2021,15.8
Buton Tengah,2022,14.9
Buton Tengah,2023,15.43
Buton Tengah,2024,14.4
Buton Utara,2018,14.93
Buton Utara,2019,14.38
Buton Utara,2020,14.1
Buton Utara,2021,14.89
Buton Utara,2022,14.26
Buton Utara,2023,14.06
Buton Utara,2024,14.09
Ciamis,2018,7.22
Ciamis,2019,6.65
Ciamis,2020,7.62
Ciamis,2021,7.97
Ciamis,2022,7.72
Ciamis,2023,7.42
Ciamis,2024,7.39
Cianjur,2018,9.81
Cianjur,2019,9.15
Cianjur,2020,10.36
Cianjur,2021,11.18
Cianjur,2022,10.55
Cianjur,2023,10.22
Cianjur,2024,10.14
Cilacap,2018,11.25
Cilacap,2019,10.73
Cilacap,2020,11.46
Cilacap,2021,11.67
Cilacap,2022,11.02
Cilacap,2023,10.99
Cilacap,2024,10.68
Cirebon,2018,10.7
Cirebon,2019,9.94
Cirebon,2020,11.24
Cirebon,2021,12.3
Cirebon,2022,12.01
Cirebon,2023,11.2
Cirebon,2024,11.0
Dairi,2018,8.2
Dairi,2019,7.7
Dairi,2020,8.04
Dairi,2021,8.31
Dairi,2022,7.88
Dairi,2023,7.47
Dairi,2024,7.1
Deiyai,2018,43.49
Deiyai,2019,43.65
Deiyai,2020,41.76
Deiyai,2021,40.59
Deiyai,2022,40.31
Deiyai,2023,38.66
Deiyai,2024,39.01
Deli Serdang,2018,4.13
Deli Serdang,2019,3.89
Deli Serdang,2020,3.88
Deli Serdang,2021,4.01
Deli Serdang,2022,3.62
Deli Serdang,2023,3.44
Deli Serdang,2024,3.44
Demak,2018,12.54
Demak,2019,11.86
Demak,2020,12.54
Demak,2021,12.92
Demak,2022,12.09
Demak,2023,12.01
Demak,2024,11.89
Dharmasraya,2018,6.42
Dharmasraya,2019,6.29
Dharmasraya,2020,6.23
Dharmasraya,2021,6.67
Dharmasraya,2022,5.56
Dharmasraya,2023,5.56
Dharmasraya,2024,5.32
Dogiyai,2018,30.48
Dogiyai,2019,31.12
Dogiyai,2020,28.62
Dogiyai,2021,28.81
Dogiyai,2022,29.48
Dogiyai,2023,29.2
Dogiyai,2024,30.03
Dompu,2018,12.4
Dompu,2019,12.25
Dompu,2020,12.16
Dompu,2021,12.6
Dompu,2022,12.4
Dompu,2023,12.62
Dompu,2024,11.59
Donggala,2018,18.03
Donggala,2019,18.4
Donggala,2020,17.39
Donggala,2021,16.73
Donggala,2022,16.3
Donggala,2023,16.25
Donggala,2024,15.3
Empat Lawang,2018,12.25
Empat Lawang,2019,12.3
Empat Lawang,2020,12.63
Empat Lawang,2021,13.35
Empat Lawang,2022,12.03
Empat Lawang,2023,11.8
Empat Lawang,2024,10.78
Ende,2018,24.2
Ende,2019,23.18
Ende,2020,23.76
Ende,2021,24.13
Ende,2022,23.0
Ende,2023,22.86
Ende,2024,22.57
Enrekang,2018,12.49
Enrekang,2019,12.33
Enrekang,2020,12.17
Enrekang,2021,12.47
Enrekang,2022,12.39
Enrekang,2023,12.69
Enrekang,2024,11.25
Fakfak,2018,24.31
Fakfak,2019,23.25
Fakfak,2020,22.27
Fakfak,2021,22.86
Fakfak,2022,22.06
Fakfak,2023,21.38
Fakfak,2024,20.86
Flores Timur,2018,11.05
Flores Timur,2019,10.9
Flores Timur,2020,10.84
Flores Timur,2021,11.14
Flores Timur,2022,10.75
Flores Timur,2023,11.77
Flores Timur,2024,11.25
Garut,2018,9.27
Garut,2019,8.98
Garut,2020,9.98
Garut,2021,10.65
Garut,2022,10.42
Garut,2023,9.77
Garut,2024,9.68
Gayo Lues,2018,20.7
Gayo Lues,2019,19.87
Gayo Lues,2020,19.32
Gayo Lues,2021,19.64
Gayo Lues,2022,18.87
Gayo Lues,2023,18.82
Gayo Lues,2024,18.3
Gianyar,2018,4.19
Gianyar,2019,3.88
Gianyar,2020,4.08
Gianyar,2021,4.85
Gianyar,2022,4.7
Gianyar,2023,4.47
Gianyar,2024,4.0
Gorontalo,2018,19.84
Gorontalo,2019,18.06
Gorontalo,2020,17.56
Gorontalo,2021,17.89
Gorontalo,2022,17.71
Gorontalo,2023,17.48
Gorontalo,2024,16.43
Gorontalo Utara,2018,18.54
Gorontalo Utara,2019,16.95
Gorontalo Utara,2020,16.88
Gorontalo Utara,2021,17.23
Gorontalo Utara,2022,17.24
Gorontalo Utara,2023,17.03
Gorontalo Utara,2024,16.86
Gowa,2018,7.83
Gowa,2019,7.53
Gowa,2020,7.38
Gowa,2021,7.54
