Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minuman
Bengkalis,2024,5236.0
Bengkayang,2018,4651.32
Bengkayang,2019,4647.58
Bengkayang,2020,4775.09
Bengkayang,2021,4997.34
Bengkayang,2022,5652.68
Bengkayang,2023,5093.46
Bengkayang,2024,4925.0
Bengkulu Selatan,2018,3313.55
Bengkulu Selatan,2019,3732.53
Bengkulu Selatan,2020,4216.83
Bengkulu Selatan,2021,4037.76
Bengkulu Selatan,2022,4049.26
Bengkulu Selatan,2023,3815.85
Bengkulu Selatan,2024,4348.0
Bengkulu Tengah,2018,4466.26
Bengkulu Tengah,2019,3835.43
Bengkulu Tengah,2020,3715.1
Bengkulu Tengah,2021,4021.27
Bengkulu Tengah,2022,4156.08
Bengkulu Tengah,2023,4538.74
Bengkulu Tengah,2024,4850.0
Bengkulu Utara,2018,4373.49
Bengkulu Utara,2019,4139.99
Bengkulu Utara,2020,4420.98
Bengkulu Utara,2021,4654.46
Bengkulu Utara,2022,4455.39
Bengkulu Utara,2023,5227.7
Bengkulu Utara,2024,4910.0
Berau,2018,5860.8
Berau,2019,5112.08
Berau,2020,5552.42
Berau,2021,6288.07
Berau,2022,5794.35
Berau,2023,6122.34
Berau,2024,6111.0
Biak Numfor,2018,3706.01
Biak Numfor,2019,3421.35
Biak Numfor,2020,4560.6
Biak Numfor,2021,4310.2
Biak Numfor,2022,3713.72
Biak Numfor,2023,3654.39
Biak Numfor,2024,3227.0
Bima,2018,2446.96
Bima,2019,2880.35
Bima,2020,2850.09
Bima,2021,3123.62
Bima,2022,3053.58
Bima,2023,3306.32
Bima,2024,2713.0
Bintan,2018,4977.37
Bintan,2019,4369.96
Bintan,2020,4645.85
Bintan,2021,5145.2
Bintan,2022,4656.21
Bintan,2023,5512.86
Bintan,2024,5739.0
Bireuen,2018,2573.63
Bireuen,2019,2559.34
Bireuen,2020,2662.98
Bireuen,2021,3546.37
Bireuen,2022,3755.9
Bireuen,2023,3048.96
Bireuen,2024,3471.0
Blitar,2018,3575.33
Blitar,2019,3668.55
Blitar,2020,3645.38
Blitar,2021,4411.95
Blitar,2022,4233.27
Blitar,2023,4598.76
Blitar,2024,4813.0
Blora,2018,2997.5
Blora,2019,3061.53
Blora,2020,3222.42
Blora,2021,3700.96
Blora,2022,3513.23
Blora,2023,3594.0
Blora,2024,3468.0
Boalemo,2018,3124.17
Boalemo,2019,3155.19
Boalemo,2020,3758.73
Boalemo,2021,3627.92
Boalemo,2022,4020.13
Boalemo,2023,4422.7
Boalemo,2024,4667.0
Bogor,2018,3646.41
Bogor,2019,3850.72
Bogor,2020,3894.63
Bogor,2021,4226.2
Bogor,2022,4711.43
Bogor,2023,4344.55
Bogor,2024,4679.0
Bojonegoro,2018,3134.54
Bojonegoro,2019,3186.78
Bojonegoro,2020,3283.08
Bojonegoro,2021,3935.31
Bojonegoro,2022,3620.15
Bojonegoro,2023,3850.18
Bojonegoro,2024,4013.0
Bolaang Mongondow,2018,3587.35
Bolaang Mongondow,2019,3530.07
Bolaang Mongondow,2020,3931.63
Bolaang Mongondow,2021,4141.57
Bolaang Mongondow,2022,4343.55
Bolaang Mongondow,2023,4481.93
Bolaang Mongondow,2024,3942.0
Bolaang Mongondow Selatan,2018,4059.71
Bolaang Mongondow Selatan,2019,3662.47
Bolaang Mongondow Selatan,2020,3954.26
Bolaang Mongondow Selatan,2021,4600.34
Bolaang Mongondow Selatan,2022,4831.23
