Kabupaten/Kota,Tahun,Prevalensi Konsumsi Pangan Tidak Cukup
Bangli,2018,2.98
Karangasem,2018,5.76
Buleleng,2018,4.6
Kota Denpasar,2018,1.52
Lombok Barat,2018,4.13
Lombok Tengah,2018,6.15
Lombok Timur,2018,8.52
Sumbawa,2018,4.18
Dompu,2018,4.08
Bima,2018,7.5
Sumbawa Barat,2018,2.51
Lombok Utara,2018,4.91
Kota Mataram,2018,4.41
Kota Bima,2018,5.12
Sumba Barat,2018,12.84
Sumba Timur,2018,11.49
Kupang,2018,18.0
Timor Tengah Selatan,2018,12.48
Timor Tengah Utara,2018,12.84
Belu,2018,17.19
Alor,2018,14.98
Lembata,2018,19.49
Flores Timur,2018,17.43
Sikka,2018,14.74
Ende,2018,11.37
Ngada,2018,9.46
Manggarai,2018,11.61
Rote Ndao,2018,17.4
Manggarai Barat,2018,8.78
Sumba Tengah,2018,11.28
Sumba Barat Daya,2018,12.48
Nagekeo,2018,9.31
Manggarai Timur,2018,13.1
Sabu Raijua,2018,15.06
Malaka,2018,13.79
Kota Kupang,2018,11.06
Sambas,2018,20.36
Bengkayang,2018,20.19
Landak,2018,23.02
Mempawah,2018,17.96
Sanggau,2018,24.03
Ketapang,2018,16.59
Sintang,2018,20.86
Kapuas Hulu,2018,24.66
Sekadau,2018,24.73
Melawi,2018,25.22
Kayong Utara,2018,14.98
Kubu Raya,2018,18.86
Kota Pontianak,2018,7.65
Kota Singkawang,2018,9.58
Kotawaringin Barat,2018,6.22
Kotawaringin Timur,2018,8.9
Kapuas,2018,15.57
Barito Selatan,2018,10.74
Barito Utara,2018,8.22
Sukamara,2018,5.66
Lamandau,2018,5.58
Seruyan,2018,7.68
Katingan,2018,7.45
Pulang Pisau,2018,9.94
Gunung Mas,2018,4.97
Barito Timur,2018,9.23
Murung Raya,2018,6.04
Kota Palangka Raya,2018,6.67
Tanah Laut,2018,2.31
Kota Baru,2018,1.88
Banjar,2018,3.45
Barito Kuala,2018,4.12
Tapin,2018,2.76
Hulu Sungai Selatan,2018,4.15
Hulu Sungai Tengah,2018,4.87
Hulu Sungai Utara,2018,3.15
Tabalong,2018,2.57
Tanah Bumbu,2018,1.34
Balangan,2018,4.05
Kota Banjarmasin,2018,1.54
Kota Banjar Baru,2018,1.37
Paser,2018,15.71
Kutai Barat,2018,14.7
Kutai Kartanegara,2018,14.3
Kutai Timur,2018,9.31
Berau,2018,7.13
Penajam Paser Utara,2018,15.68
Mahakam Ulu,2018,9.98
Kota Balikpapan,2018,5.82
Kota Samarinda,2018,8.36
Kota Bontang,2018,6.3
Malinau,2018,10.9
Bulungan,2018,13.61
Tana Tidung,2018,11.27
Nunukan,2018,14.77
Kota Tarakan,2018,7.1
Bolaang Mongondow,2018,3.38
Minahasa,2018,3.17
Kepulauan Sangihe,2018,3.82
Kepulauan Talaud,2018,4.47
Minahasa Selatan,2018,5.68
Minahasa Utara,2018,2.92
Bolaang Mongondow Utara,2018,5.34
Siau Tagulandang Biaro,2018,3.73
Minahasa Tenggara,2018,4.18
Bolaang Mongondow Selatan,2018,4.95
Bolaang Mongondow Timur,2018,2.96
Kota Manado,2018,1.38
Kota Bitung,2018,1.88
Kota Tomohon,2018,1.72
Kota Kotamobagu,2018,2.7
Banggai Kepulauan,2018,10.51
Banggai,2018,6.33
Morowali,2018,2.75
Poso,2018,5.52
Donggala,2018,9.31
Toli-Toli,2018,7.47
Buol,2018,6.8
Parigi Moutong,2018,7.81
Tojo Una-Una,2018,5.91
Sigi,2018,7.05
Banggai Laut,2018,7.28
Morowali Utara,2018,6.09
Kota Palu,2018,5.72
Kepulauan Selayar,2018,6.34
Bulukumba,2018,7.75
Bantaeng,2018,8.08
Jeneponto,2018,9.08
Takalar,2018,6.12
Gowa,2018,6.02
Sinjai,2018,7.89
Maros,2018,4.52
Pangkajene dan Kepulauan,2018,4.42
Barru,2018,7.86
Bone,2018,11.06
Soppeng,2018,9.79
Wajo,2018,7.63
Sidenreng Rappang,2018,5.9
Pinrang,2018,6.46
Enrekang,2018,8.1
Luwu,2018,5.42
Tana Toraja,2018,6.61
Luwu Utara,2018,6.21
Luwu Timur,2018,5.3
Toraja Utara,2018,6.23
Kota Makasar,2018,2.57
Kota Parepare,2018,4.4
Kota Palopo,2018,2.55
Buton,2018,8.49
Muna,2018,8.7
Konawe,2018,5.42
Kolaka,2018,5.21
Konawe Selatan,2018,7.63
Bombana,2018,8.01
Wakatobi,2018,8.27
Kolaka Utara,2018,7.16
Buton Utara,2018,7.2
Konawe Utara,2018,6.7
Kolaka Timur,2018,7.1
Konawe Kepulauan,2018,6.47
Muna Barat,2018,13.11
Buton Tengah,2018,11.3
Buton Selatan,2018,7.9
Kota Kendari,2018,3.76
Kota Baubau,2018,7.77
Boalemo,2018,14.11
Gorontalo,2018,13.43
Pohuwato,2018,10.57
Bone Bolango,2018,8.08
Gorontalo Utara,2018,16.47
Kota Gorontalo,2018,7.25
Majene,2018,9.63
Polewali Mandar,2018,11.44
Mamasa,2018,14.41
Mamuju,2018,10.21
Mamuju Utara,2018,5.61
Mamuju Tengah,2018,8.32
Maluku Tenggara Barat,2018,40.28
Maluku Tenggara,2018,35.4
Maluku Tengah,2018,37.73
Buru,2018,31.38
Kepulauan Aru,2018,36.57
Seram Bagian Barat,2018,47.4
Seram Bagian Timur,2018,41.6
Maluku Barat Daya,2018,44.64
Buru Selatan,2018,48.47
Kota Ambon,2018,19.85
Kota Tual,2018,25.76
Halmahera Barat,2018,36.58
Halmahera Tengah,2018,27.86
Kepulauan Sula,2018,38.41
Halmahera Selatan,2018,27.74
Halmahera Utara,2018,35.8
Halmahera Timur,2018,34.69
Pulau Morotai,2018,33.78
Pulau Taliabu,2018,41.77
Kota Ternate,2018,17.99
Kota Tidore Kepulauan,2018,30.02
Fakfak,2018,24.46
Kaimana,2018,27.84
Teluk Wondama,2018,18.76
Teluk Bintuni,2018,14.38
Manokwari,2018,22.17
Manokwari Selatan,2018,20.49
Pegunungan Arfak,2018,48.41
Raja Ampat,2018,18.56
Sorong,2018,21.59
Sorong Selatan,2018,20.41
Maybrat,2018,20.05
Tambrauw,2018,37.01
Kota Sorong,2018,15.96
Jayapura,2018,33.03
Kepulauan Yapen,2018,37.13
Biak Numfor,2018,41.61
Sarmi,2018,40.18
Keerom,2018,50.74
Waropen,2018,12.18
Supiori,2018,51.61
Mamberamo Raya,2018,59.93
Kota Jayapura,2018,22.99
Merauke,2018,33.62
Boven Digoel,2018,32.02
Mappi,2018,40.61
Asmat,2018,53.96
Mimika,2018,20.43
Dogiyai,2018,65.69
Deiyai,2018,55.99
Nabire,2018,34.95
Paniai,2018,30.86
Intan Jaya,2018,34.3
Puncak,2018,35.21
Puncak Jaya,2018,21.06
Nduga,2018,26.22
Jayawijaya,2018,40.75
Lanny Jaya,2018,35.19
Tolikara,2018,65.47
Mamberamo Tengah,2018,46.6
Yalimo,2018,43.59
Yahukimo,2018,61.74
Pegunungan Bintang,2018,37.18
Simeulue,2019,13.08
Aceh Singkil,2019,8.35
Aceh Selatan,2019,11.08
Aceh Tenggara,2019,10.56
Aceh Timur,2019,10.42
Aceh Tengah,2019,7.06
Aceh Barat,2019,7.74
Aceh Besar,2019,7.1
Pidie,2019,9.31
Bireuen,2019,9.31
Aceh Utara,2019,13.46
Aceh Barat Daya,2019,11.29
Gayo Lues,2019,5.88
Aceh Tamiang,2019,13.66
Nagan Raya,2019,10.91
Aceh Jaya,2019,9.21
Bener Meriah,2019,7.17
Pidie Jaya,2019,6.61
Kota Banda Aceh,2019,3.75
Kota Sabang,2019,4.8
Kota Langsa,2019,6.82
Kota Lhokseumawe,2019,5.67
Kota Subulussalam,2019,8.15
Nias,2019,4.61
Mandailing Natal,2019,5.38
Tapanuli Selatan,2019,5.77
Tapanuli Tengah,2019,6.06
Tapanuli Utara,2019,5.98
Toba Samosir,2019,3.72
Labuhan Batu,2019,3.89
Asahan,2019,4.62
Simalungun,2019,6.12
Dairi,2019,4.01
Karo,2019,3.03
Deli Serdang,2019,4.47
Langkat,2019,7.31
Nias Selatan,2019,6.86
Humbang Hasundutan,2019,5.41
Pakpak Bharat,2019,4.01
Samosir,2019,4.81
Serdang Bedagai,2019,5.3
Batu Bara,2019,5.57
Padang Lawas Utara,2019,4.34
Padang Lawas,2019,3.52
Labuhan Batu Selatan,2019,3.79
Labuhan Batu Utara,2019,4.4
Nias Utara,2019,6.8
Nias Barat,2019,5.8
Kota Sibolga,2019,3.58
Kota Tanjung Balai,2019,4.14
Kota Pematang Siantar,2019,5.47
Kota Tebing Tinggi,2019,5.7
Kota Medan,2019,3.29
Kota Binjai,2019,5.96
Kota Padangsidimpuan,2019,3.72
Kota Gunungsitoli,2019,3.58
Kepulauan Mentawai,2019,8.15
Pesisir Selatan,2019,4.85
Solok,2019,5.04
Sijunjung,2019,5.8
Tanah Datar,2019,6.31
Padang Pariaman,2019,4.81
Agam,2019,5.49
Lima Puluh Kota,2019,5.3
Pasaman,2019,6.14
Solok Selatan,2019,5.79
Dharmasraya,2019,4.47
Pasaman Barat,2019,5.15
Kota Padang,2019,3.51
Kota Solok,2019,3.84
Kota Sawah Lunto,2019,4.65
Kota Padang Panjang,2019,3.58
Kota Bukittinggi,2019,3.0
Kota Payakumbuh,2019,3.22
Kota Pariaman,2019,3.3
Kuantan Singingi,2019,9.56
Indragiri Hulu,2019,8.07
Indragiri Hilir,2019,11.53
Pelalawan,2019,5.56
Siak,2019,7.4
Kampar,2019,7.99
Rokan Hulu,2019,6.98
Bengkalis,2019,10.07
Rokan Hilir,2019,8.6
Kepulauan Meranti,2019,9.74
Kota Pekanbaru,2019,7.42
Kota Dumai,2019,8.32
Kerinci,2019,12.98
Merangin,2019,9.39
Sarolangun,2019,8.8
Batang Hari,2019,9.7
Muaro Jambi,2019,9.48
Tanjung Jabung Timur,2019,10.82
Tanjung Jabung Barat,2019,10.65
Tebo,2019,9.63
Bungo,2019,7.46
Kota Jambi,2019,5.54
Kota Sungai Penuh,2019,7.03
Ogan Komering Ulu,2019,9.84
Ogan Komering Ilir,2019,8.62
Muara Enim,2019,7.74
Lahat,2019,9.73
Musi Rawas,2019,8.33
Musi Banyuasin,2019,7.98
Banyu Asin,2019,9.69
Ogan Komering Ulu Selatan,2019,12.09
Ogan Komering Ulu Timur,2019,8.33
Ogan Ilir,2019,9.82
Empat Lawang,2019,13.67
Penukal Abab Lematang Ilir,2019,9.02
Musi Rawas Utara,2019,7.51
Kota Palembang,2019,8.0
Kota Prabumulih,2019,11.19
Kota Pagar Alam,2019,13.21
Kota Lubuklinggau,2019,9.11
Bengkulu Selatan,2019,8.04
Rejang Lebong,2019,10.27
Bengkulu Utara,2019,6.77
Kaur,2019,7.51
Seluma,2019,9.73
Mukomuko,2019,4.78
Lebong,2019,9.37
Kepahiang,2019,11.23
Bengkulu Tengah,2019,6.07
Kota Bengkulu,2019,5.58
Lampung Barat,2019,8.95
Tanggamus,2019,11.79
Lampung Selatan,2019,10.43
Lampung Timur,2019,12.07
Lampung Tengah,2019,10.96
Lampung Utara,2019,11.71
Way Kanan,2019,10.62
Tulangbawang,2019,10.55
Pesawaran,2019,10.14
Pringsewu,2019,11.82
Mesuji,2019,9.07
Tulang Bawang Barat,2019,13.9
Pesisir Barat,2019,7.88
Kota Bandar Lampung,2019,7.22
Kota Metro,2019,9.01
Bangka,2019,8.02
Belitung,2019,6.86
Bangka Barat,2019,8.41
Bangka Tengah,2019,7.6
Bangka Selatan,2019,8.69
Belitung Timur,2019,7.43
Kota Pangkal Pinang,2019,7.47
Karimun,2019,5.12
Bintan,2019,6.72
Natuna,2019,8.55
Lingga,2019,9.65
Kepulauan Anambas,2019,4.66
Kota Batam,2019,3.04
Kota Tanjung Pinang,2019,4.24
Kep. Seribu,2019,1.99
Kota Jakarta Selatan,2019,1.27
Kota Jakarta Timur,2019,1.5
Kota Jakarta Pusat,2019,1.58
Kota Jakarta Barat,2019,1.42
Kota Jakarta Utara,2019,1.38
Bogor,2019,3.54
Sukabumi,2019,4.19
Cianjur,2019,6.02
Bandung,2019,3.77
Garut,2019,4.42
Tasikmalaya,2019,4.96
Ciamis,2019,5.15
Kuningan,2019,6.36
Cirebon,2019,5.77
Majalengka,2019,5.13
Sumedang,2019,4.9
Indramayu,2019,4.11
Subang,2019,4.18
Purwakarta,2019,3.73
Karawang,2019,3.42
Bekasi,2019,2.04
Bandung Barat,2019,4.2
Pangandaran,2019,4.1
Kota Bogor,2019,1.93
Kota Sukabumi,2019,2.92
Kota Bandung,2019,2.51
Kota Cirebon,2019,3.91
Kota Bekasi,2019,1.26
Kota Depok,2019,1.12
Kota Cimahi,2019,3.1
Kota Tasikmalaya,2019,3.03
Kota Banjar,2019,4.15
Cilacap,2019,12.76
Banyumas,2019,9.67
Purbalingga,2019,10.25
Banjarnegara,2019,11.69
Kebumen,2019,12.59
Purworejo,2019,17.6
Wonosobo,2019,14.12
Magelang,2019,14.54
Boyolali,2019,13.68
Klaten,2019,13.24
Sukoharjo,2019,9.01
Wonogiri,2019,15.05
Karanganyar,2019,9.86
Sragen,2019,12.69
Grobogan,2019,17.38
Blora,2019,15.17
Rembang,2019,13.28
Pati,2019,11.54
Kudus,2019,9.99
Jepara,2019,13.86
Demak,2019,8.0
Semarang,2019,9.65
Temanggung,2019,17.06
Kendal,2019,11.18
Batang,2019,11.2
Pekalongan,2019,8.89
Pemalang,2019,10.06
Tegal,2019,10.03
Brebes,2019,11.54
Kota Magelang,2019,10.48
Kota Surakarta,2019,6.35
Kota Salatiga,2019,5.79
Kota Semarang,2019,5.7
Kota Pekalongan,2019,8.19
Kota Tegal,2019,7.22
Kulon Progo,2019,10.4
Bantul,2019,7.14
Gunung Kidul,2019,11.73
Sleman,2019,4.69
Kota Yogyakarta,2019,4.3
Pacitan,2019,11.67
Ponorogo,2019,9.84
Trenggalek,2019,11.79
Tulungagung,2019,7.26
Blitar,2019,9.19
Kediri,2019,8.22
Malang,2019,7.95
Lumajang,2019,9.42
Jember,2019,9.24
Banyuwangi,2019,8.4
