Kabupaten/Kota,Tahun,Pengeluaran Perkapita Rokok dan Tembakau
Bone,2024,15637.0
Bone Bolango,2018,12515.78
Bone Bolango,2019,16167.02
Bone Bolango,2020,15709.07
Bone Bolango,2021,14143.3
Bone Bolango,2022,14517.14
Bone Bolango,2023,14608.18
Bone Bolango,2024,19564.0
Boven Digoel,2018,22084.92
Boven Digoel,2019,27295.1
Boven Digoel,2020,27425.85
Boven Digoel,2021,19985.61
Boven Digoel,2022,23725.38
Boven Digoel,2023,19640.09
Boven Digoel,2024,30667.0
Boyolali,2018,10453.52
Boyolali,2019,12480.29
Boyolali,2020,14391.25
Boyolali,2021,14259.59
Boyolali,2022,17707.99
Boyolali,2023,18245.47
Boyolali,2024,19845.0
Brebes,2018,13944.95
Brebes,2019,14093.74
Brebes,2020,16730.71
Brebes,2021,19795.46
Brebes,2022,21546.55
Brebes,2023,24360.3
Brebes,2024,21077.0
Buleleng,2018,8771.22
Buleleng,2019,9861.11
Buleleng,2020,8685.51
Buleleng,2021,9673.11
Buleleng,2022,9759.07
Buleleng,2023,13276.52
Buleleng,2024,14036.0
Bulukumba,2018,13477.08
Bulukumba,2019,12972.95
Bulukumba,2020,13081.63
Bulukumba,2021,12551.12
Bulukumba,2022,11973.96
Bulukumba,2023,14960.77
Bulukumba,2024,16192.0
Bulungan,2018,17929.21
Bulungan,2019,24111.44
Bulungan,2020,22633.02
Bulungan,2021,23537.46
Bulungan,2022,20071.6
Bulungan,2023,26223.12
Bulungan,2024,24605.0
Bungo,2018,17822.34
Bungo,2019,21093.15
Bungo,2020,20181.52
Bungo,2021,22068.56
Bungo,2022,26162.56
Bungo,2023,28670.59
Bungo,2024,34372.0
Buol,2018,14481.22
Buol,2019,16157.19
Buol,2020,16446.37
Buol,2021,19860.66
Buol,2022,20825.42
Buol,2023,26161.29
Buol,2024,24447.0
Buru,2018,17313.23
Buru,2019,18315.84
Buru,2020,19647.42
Buru,2021,17773.67
Buru,2022,18000.08
Buru,2023,18741.32
Buru,2024,29741.0
Buru Selatan,2018,6571.28
Buru Selatan,2019,14037.97
Buru Selatan,2020,11646.56
Buru Selatan,2021,11518.26
Buru Selatan,2022,10261.29
Buru Selatan,2023,10826.86
Buru Selatan,2024,12664.0
Buton,2018,5686.54
Buton,2019,8587.07
Buton,2020,9228.56
Buton,2021,8735.67
Buton,2022,7046.34
Buton,2023,12831.51
Buton,2024,10780.0
Buton Selatan,2018,8206.51
Buton Selatan,2019,11169.56
Buton Selatan,2020,9636.81
Buton Selatan,2021,7197.03
Buton Selatan,2022,10230.38
Buton Selatan,2023,11171.12
Buton Selatan,2024,8340.0
Buton Tengah,2018,10718.02
Buton Tengah,2019,7886.25
Buton Tengah,2020,4396.16
Buton Tengah,2021,4230.98
Buton Tengah,2022,10468.98
Buton Tengah,2023,10768.43
Buton Tengah,2024,9701.0
Buton Utara,2018,11080.6
Buton Utara,2019,12742.39
Buton Utara,2020,11960.14
Buton Utara,2021,11424.38
Buton Utara,2022,15230.34
Buton Utara,2023,15891.06
Buton Utara,2024,16582.0
Ciamis,2018,16973.31
Ciamis,2019,19254.03
Ciamis,2020,20898.74
Ciamis,2021,19333.73
Ciamis,2022,24834.05
Ciamis,2023,25894.65
Ciamis,2024,27939.0
Cianjur,2018,15727.49
Cianjur,2019,15471.21
Cianjur,2020,19358.43
Cianjur,2021,21012.79
Cianjur,2022,21376.38
Cianjur,2023,25559.27
Cianjur,2024,26964.0
Cilacap,2018,13260.14
Cilacap,2019,14864.65
Cilacap,2020,15287.14
Cilacap,2021,15979.33
Cilacap,2022,17511.26
Cilacap,2023,18404.1
Cilacap,2024,20057.0
Cirebon,2018,12997.15
Cirebon,2019,14523.24
Cirebon,2020,16088.41
Cirebon,2021,17994.6
Cirebon,2022,20104.94
Cirebon,2023,22736.5
Cirebon,2024,21488.0
Dairi,2018,19832.31
Dairi,2019,22258.53
Dairi,2020,20660.58
Dairi,2021,21054.7
Dairi,2022,23324.9
Dairi,2023,28817.61
Dairi,2024,28684.0
Deiyai,2018,9984.37
Deiyai,2019,1668.05
Deiyai,2020,7240.75
Deiyai,2021,4893.3
Deiyai,2022,320.68
Deiyai,2023,4173.2
Deiyai,2024,1190.0
Deli Serdang,2018,15675.32
Deli Serdang,2019,17808.84
Deli Serdang,2020,18523.34
Deli Serdang,2021,17284.12
Deli Serdang,2022,15593.69
Deli Serdang,2023,21023.48
Deli Serdang,2024,20631.0
Demak,2018,15242.38
Demak,2019,16874.65
Demak,2020,17188.31
Demak,2021,19031.88
Demak,2022,23611.67
Demak,2023,23737.25
Demak,2024,21876.0
Dharmasraya,2018,21594.96
Dharmasraya,2019,23353.16
Dharmasraya,2020,23036.4
Dharmasraya,2021,27499.25
Dharmasraya,2022,28587.43
Dharmasraya,2023,30516.96
Dharmasraya,2024,33379.0
Dogiyai,2018,4065.03
Dogiyai,2019,3317.13
Dogiyai,2020,1631.54
Dogiyai,2021,2006.85
Dogiyai,2022,295.52
Dogiyai,2023,6701.43
Dogiyai,2024,13293.0
Dompu,2018,13784.98
Dompu,2019,15269.82
Dompu,2020,17475.98
Dompu,2021,19203.59
Dompu,2022,20388.12
Dompu,2023,21416.9
Dompu,2024,26334.0
Donggala,2018,13824.08
Donggala,2019,15993.57
Donggala,2020,17738.46
Donggala,2021,19244.69
Donggala,2022,19273.67
Donggala,2023,18759.95
Donggala,2024,21891.0
Empat Lawang,2018,14512.17
Empat Lawang,2019,14002.53
Empat Lawang,2020,16069.13
Empat Lawang,2021,17437.4
Empat Lawang,2022,19481.01
Empat Lawang,2023,22135.52
Empat Lawang,2024,19590.0
Ende,2018,10312.95
Ende,2019,8417.75
Ende,2020,10832.14
Ende,2021,11089.3
Ende,2022,14908.31
Ende,2023,14780.72
Ende,2024,15737.0
Enrekang,2018,11283.13
Enrekang,2019,13177.21
Enrekang,2020,12455.47
Enrekang,2021,13891.89
Enrekang,2022,14652.97
Enrekang,2023,17039.26
Enrekang,2024,19234.0
Fakfak,2018,17280.76
Fakfak,2019,26302.9
Fakfak,2020,19229.68
Fakfak,2021,28195.92
Fakfak,2022,28376.81
Fakfak,2023,32061.12
Fakfak,2024,34753.0
Flores Timur,2018,10565.05
Flores Timur,2019,12847.53
Flores Timur,2020,12412.86
Flores Timur,2021,12302.68
Flores Timur,2022,15735.24
Flores Timur,2023,15044.7
Flores Timur,2024,13394.0
Garut,2018,20534.25
Garut,2019,20934.57
Garut,2020,20169.27
Garut,2021,19376.91
Garut,2022,20914.05
Garut,2023,22598.54
Garut,2024,24589.0
Gayo Lues,2018,19087.3
Gayo Lues,2019,23283.15
Gayo Lues,2020,19913.72
Gayo Lues,2021,19915.68
Gayo Lues,2022,21901.07
Gayo Lues,2023,21685.94
Gayo Lues,2024,28080.0
Gianyar,2018,8286.78
Gianyar,2019,9455.42
Gianyar,2020,9386.67
Gianyar,2021,9605.42
Gianyar,2022,10579.84
Gianyar,2023,12050.58
Gianyar,2024,12599.0
Gorontalo,2018,10968.65
Gorontalo,2019,14246.56
Gorontalo,2020,11625.42
Gorontalo,2021,15000.44
Gorontalo,2022,14848.97
Gorontalo,2023,20332.36
Gorontalo,2024,17966.0
Gorontalo Utara,2018,12992.35
Gorontalo Utara,2019,12276.97
Gorontalo Utara,2020,14413.07
Gorontalo Utara,2021,16274.67
Gorontalo Utara,2022,17652.83
Gorontalo Utara,2023,23260.32
Gorontalo Utara,2024,23667.0
Gowa,2018,14214.63
Gowa,2019,16279.47
Gowa,2020,15325.05
Gowa,2021,17487.49
Gowa,2022,18415.1
Gowa,2023,18680.62
Gowa,2024,23362.0
Gresik,2018,17741.61
Gresik,2019,15525.39
Gresik,2020,16796.18
Gresik,2021,18294.58
Gresik,2022,20061.91
Gresik,2023,27178.2
Gresik,2024,25535.0
Grobogan,2018,12114.71
Grobogan,2019,12940.39
Grobogan,2020,14984.08
Grobogan,2021,15365.63
Grobogan,2022,18539.28
Grobogan,2023,18316.08
Grobogan,2024,22210.0
Gunung Kidul,2018,10254.04
Gunung Kidul,2019,10022.96
Gunung Kidul,2020,10087.59
Gunung Kidul,2021,10444.13
Gunung Kidul,2022,11349.45
Gunung Kidul,2023,13865.48
Gunung Kidul,2024,14858.0
Gunung Mas,2018,25061.29
Gunung Mas,2019,25096.07
Gunung Mas,2020,25736.17
Gunung Mas,2021,28088.26
Gunung Mas,2022,29113.53
Gunung Mas,2023,29374.54
Gunung Mas,2024,30194.0
Halmahera Barat,2018,12175.32
Halmahera Barat,2019,14684.5
Halmahera Barat,2020,15328.31
Halmahera Barat,2021,12465.74
Halmahera Barat,2022,15659.65
Halmahera Barat,2023,17958.62
Halmahera Barat,2024,22791.0
Halmahera Selatan,2018,15342.99
Halmahera Selatan,2019,18270.66
Halmahera Selatan,2020,17341.3
Halmahera Selatan,2021,21227.14
Halmahera Selatan,2022,26711.38
Halmahera Selatan,2023,25897.5
Halmahera Selatan,2024,26382.0
Halmahera Tengah,2018,22502.29
Halmahera Tengah,2019,25493.24
Halmahera Tengah,2020,26867.47
Halmahera Tengah,2021,27203.31
Halmahera Tengah,2022,28241.99
Halmahera Tengah,2023,44603.75
Halmahera Tengah,2024,47983.0
Halmahera Timur,2018,14318.7
Halmahera Timur,2019,18306.7
Halmahera Timur,2020,18568.22
Halmahera Timur,2021,19627.87
Halmahera Timur,2022,24192.08
Halmahera Timur,2023,29101.83
Halmahera Timur,2024,35162.0
Halmahera Utara,2018,11615.02
Halmahera Utara,2019,13739.21
Halmahera Utara,2020,13705.97
Halmahera Utara,2021,17157.95
Halmahera Utara,2022,16286.28
Halmahera Utara,2023,21125.73
Halmahera Utara,2024,19822.0
Hulu Sungai Selatan,2018,10844.33
Hulu Sungai Selatan,2019,11306.48
Hulu Sungai Selatan,2020,11631.38
Hulu Sungai Selatan,2021,13618.17
Hulu Sungai Selatan,2022,13264.71
Hulu Sungai Selatan,2023,13949.09
Hulu Sungai Selatan,2024,15852.0
Hulu Sungai Tengah,2018,13063.98
Hulu Sungai Tengah,2019,13944.83
Hulu Sungai Tengah,2020,14243.0
Hulu Sungai Tengah,2021,14073.6
Hulu Sungai Tengah,2022,14433.57
Hulu Sungai Tengah,2023,16741.02
Hulu Sungai Tengah,2024,18044.0
Hulu Sungai Utara,2018,11094.63
Hulu Sungai Utara,2019,10269.26
Hulu Sungai Utara,2020,12085.46
