Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa tengah - kota salatiga,6,50.00,5.07,42.61,0.00,18.04,9.93,0.05,76.98,28.10,81.09,23,
jawa tengah - kota semarang,6,50.00,4.62,39.95,0.11,10.44,9.60,0.05,77.21,21.00,85.93,4,
jawa tengah - kota pekalongan,5,50.00,7.47,54.23,0.00,36.45,8.71,0.04,74.19,31.80,62.42,78,
jawa tengah - kota tegal,5,50.00,8.11,43.92,0.00,35.82,7.90,0.03,74.23,24.20,67.18,67,
di yogyakarta - kulon progo,6,0.70,20.03,42.78,0.65,42.58,8.61,0.52,75.06,23.60,76.59,126,
di yogyakarta - bantul,6,1.33,14.07,18.12,0.00,44.81,9.30,0.21,73.56,22.90,76.48,131,
di yogyakarta - gunungkidul,6,0.19,18.65,50.94,0.15,40.80,6.81,1.31,73.82,27.90,77.73,103,
di yogyakarta - sleman,6,0.98,8.13,16.96,0.00,43.81,10.37,0.11,74.63,10.60,83.49,11,
di yogyakarta - kota yogyakarta,6,50.00,7.64,40.76,0.00,31.46,11.09,0.01,74.35,23.00,76.82,36,
jawa timur - pacitan,6,0.30,15.42,47.15,0.15,47.60,7.10,1.48,71.31,21.10,77.35,112,
jawa timur - ponorogo,6,0.26,11.39,39.47,0.24,38.59,7.18,0.65,72.27,25.10,81.10,36,
jawa timur - trenggalek,6,0.41,12.96,43.68,0.00,60.77,7.21,0.90,73.15,24.30,76.35,136,
jawa timur - tulungagung,6,0.51,8.04,27.84,0.10,47.07,8.04,0.58,73.53,22.10,81.88,25,
jawa timur - blitar,6,0.55,9.80,36.03,0.33,52.48,7.29,0.93,72.99,23.30,78.64,78,
jawa timur - kediri,6,0.78,12.25,40.35,0.15,42.62,7.81,0.74,72.25,33.50,76.31,138,
jawa timur - malang,6,0.84,11.04,37.61,0.16,50.38,7.31,1.10,72.12,28.30,75.69,151,
jawa timur - lumajang,5,0.54,10.87,48.29,0.16,55.18,6.33,1.19,69.50,28.10,74.28,182,
jawa timur - jember,5,0.60,11.00,43.96,0.07,51.26,6.22,0.84,68.54,30.90,74.02,190,
